table_id,row_id,institution_id,2014,2015,2016,2017
9336,r001,1,6,7,8,9
9336,r002,2,1,2,3,4
9336,r003,3,8,9,10,11
9336,r004,4,5,6,7,8
9336,r005,5,2,3,4,5
9336,r006,6,4,5,6,7
9336,r007,7,3,4,5,6
9336,r008,8,1,2,3,4
9336,r009,9,4,5,6,NA
9336,r010,10,13,14,15,16
9336,r011,11,2,3,4,5
9336,r012,12,7,8,9,10
9336,r013,13,8,9,10,11
9336,r014,14,2,3,4,5
9336,r015,15,2,3,4,5
9336,r016,16,3,4,5,6
9336,r017,17,4,5,6,7
9336,r018,18,4,5,6,NA
9336,r019,19,2,3,4,5
9336,r020,20,1,2,3,4
9336,r021,21,2,3,4,5
