table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_amount
1461,r001,All business activities,All business activities,,1,21100–81000,"['435,403', '&nbsp;']"
1461,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['1,089', '&nbsp;']"
1461,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['63', '&nbsp;']"
1461,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['1,380', '&nbsp;']"
1461,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['515', '&nbsp;']"
1461,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['274', '&nbsp;']"
1461,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['6,178', '&nbsp;']"
1461,r008,All business activities -> Beverages manufacturing,All business activities,Beverages manufacturing,2,31210,"['787', 'i']"
1461,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['732', '&nbsp;']"
1461,r010,"All business activities -> Textiles, apparel, and leather products manufacturing",All business activities,"Textiles, apparel, and leather products manufacturing",2,31990,"['1,332', '&nbsp;']"
1461,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['288', '&nbsp;']"
1461,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['1,544', '&nbsp;']"
1461,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['340', '&nbsp;']"
1461,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['625', '&nbsp;']"
1461,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['93', '&nbsp;']"
1461,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['452', '&nbsp;']"
1461,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['3,472', '&nbsp;']"
1461,r018,"All business activities -> Resins, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resins, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['1,402', '&nbsp;']"
1461,r019,"All business activities -> Pesticides, fertilizers, and other agricultural chemicals manufacturing",All business activities,"Pesticides, fertilizers, and other agricultural chemicals manufacturing",2,32530,"['2,336', 'i']"
1461,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",2,32541,"['70,246', '&nbsp;']"
1461,r021,All business activities -> In vitro diagnostic substances manufacturing,All business activities,In vitro diagnostic substances manufacturing,2,32542,"['1,340', '&nbsp;']"
1461,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostic substances) manufacturing,All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostic substances) manufacturing,2,32543,"['24,603', '&nbsp;']"
1461,r023,"All business activities -> Soaps, cleaning compounds, and toilet preparations manufacturing",All business activities,"Soaps, cleaning compounds, and toilet preparations manufacturing",2,32591,"['3,361', '&nbsp;']"
1461,r024,"All business activities -> Paints, adhesives, and other chemicals manufacturing",All business activities,"Paints, adhesives, and other chemicals manufacturing",2,32592,"['2,121', '&nbsp;']"
1461,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['3,935', '&nbsp;']"
1461,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['1,203', '&nbsp;']"
1461,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['664', '&nbsp;']"
1461,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['720', '&nbsp;']"
1461,r029,All business activities -> Fabricated metal products manufacturing,All business activities,Fabricated metal products manufacturing,2,33200,"['2,613', '&nbsp;']"
1461,r030,All business activities -> Agricultural machinery and equipment manufacturing,All business activities,Agricultural machinery and equipment manufacturing,2,33311,"['1,977', '&nbsp;']"
1461,r031,All business activities -> Construction machinery manufacturing,All business activities,Construction machinery manufacturing,2,33312,"['1,464', '&nbsp;']"
1461,r032,"All business activities -> Mining, oil, and gas field machinery and equipment manufacturing",All business activities,"Mining, oil, and gas field machinery and equipment manufacturing",2,33319,"['1,529', '&nbsp;']"
1461,r033,All business activities -> Semiconductor machinery manufacturing,All business activities,Semiconductor machinery manufacturing,2,33321,"['3,688', '&nbsp;']"
1461,r034,All business activities -> Industrial machinery manufacturing (except semiconductor machinery),All business activities,Industrial machinery manufacturing (except semiconductor machinery),2,33322,"['894', '&nbsp;']"
1461,r035,All business activities -> Photographic and photocopying equipment manufacturing,All business activities,Photographic and photocopying equipment manufacturing,2,33331,"['59', '&nbsp;']"
1461,r036,"All business activities -> Commercial, service industry, temperature control, and air-flow control machinery manufacturing",All business activities,"Commercial, service industry, temperature control, and air-flow control machinery manufacturing",2,33332,"['2,232', '&nbsp;']"
1461,r037,All business activities -> Digital cameras manufacturing,All business activities,Digital cameras manufacturing,2,33333,"['519', '&nbsp;']"
1461,r038,"All business activities -> Engine, turbine, and power transmission equipment manufacturing",All business activities,"Engine, turbine, and power transmission equipment manufacturing",2,33360,"['2,637', '&nbsp;']"
1461,r039,All business activities -> Metalworking and other general purpose machinery manufacturing,All business activities,Metalworking and other general purpose machinery manufacturing,2,33390,"['2,574', '&nbsp;']"
1461,r040,All business activities -> Computers and peripheral equipment manufacturing and magnetic and optical media,All business activities,Computers and peripheral equipment manufacturing and magnetic and optical media,2,33412,"['23,133', '&nbsp;']"
1461,r041,"All business activities -> Telephone apparatus manufacturing, including routers, modems, and gateways",All business activities,"Telephone apparatus manufacturing, including routers, modems, and gateways",2,33421,"['10,717', '&nbsp;']"
1461,r042,"All business activities -> Radio, television, and wireless communication equipment manufacturing",All business activities,"Radio, television, and wireless communication equipment manufacturing",2,33422,"['2,786', '&nbsp;']"
1461,r043,"All business activities -> Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",All business activities,"Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",2,33429,"['1,660', '&nbsp;']"
1461,r044,All business activities -> Audio and video equipment manufacturing,All business activities,Audio and video equipment manufacturing,2,33430,"['1,535', '&nbsp;']"
1461,r045,All business activities -> Semiconductor and other electronic components manufacturing,All business activities,Semiconductor and other electronic components manufacturing,2,33440,"['40,595', '&nbsp;']"
1461,r046,"All business activities -> Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",All business activities,"Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",2,33451,"['4,125', '&nbsp;']"
1461,r047,"All business activities -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments manufacturing",All business activities,"Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments manufacturing",2,33452,"['2,615', '&nbsp;']"
1461,r048,All business activities -> Measuring and control instruments manufacturing (not listed elsewhere),All business activities,Measuring and control instruments manufacturing (not listed elsewhere),2,33459,"['5,663', '&nbsp;']"
1461,r049,"All business activities -> Electrical equipment, appliances, and components manufacturing",All business activities,"Electrical equipment, appliances, and components manufacturing",2,33500,"['5,920', '&nbsp;']"
1461,r050,All business activities -> Motor vehicles manufacturing,All business activities,Motor vehicles manufacturing,2,33610,"['20,365', '&nbsp;']"
1461,r051,All business activities -> Motor vehicle body and trailer manufacturing,All business activities,Motor vehicle body and trailer manufacturing,2,33620,"['119', '&nbsp;']"
1461,r052,All business activities -> Motor vehicle parts manufacturing,All business activities,Motor vehicle parts manufacturing,2,33630,"['7,394', '&nbsp;']"
1461,r053,All business activities -> Aircraft manufacturing,All business activities,Aircraft manufacturing,2,33641,"['5,639', '&nbsp;']"
1461,r054,All business activities -> Aircraft engine and engine parts manufacturing,All business activities,Aircraft engine and engine parts manufacturing,2,33642,"['D', '&nbsp;']"
1461,r055,All business activities -> Other aircraft parts and auxiliary equipment manufacturing,All business activities,Other aircraft parts and auxiliary equipment manufacturing,2,33643,"['3,048', '&nbsp;']"
1461,r056,"All business activities -> Guided missiles, space vehicles, and related parts manufacturing",All business activities,"Guided missiles, space vehicles, and related parts manufacturing",2,33644,"['954', '&nbsp;']"
1461,r057,All business activities -> Railroad rolling stock manufacturing,All business activities,Railroad rolling stock manufacturing,2,33651,"['224', '&nbsp;']"
1461,r058,All business activities -> Ship and boat building,All business activities,Ship and boat building,2,33660,"['618', '&nbsp;']"
1461,r059,"All business activities -> Motorcycle, bicycle, and parts manufacturing",All business activities,"Motorcycle, bicycle, and parts manufacturing",2,33691,"['335', '&nbsp;']"
1461,r060,"All business activities -> Military armored vehicles, tanks, and tank components manufacturing",All business activities,"Military armored vehicles, tanks, and tank components manufacturing",2,33692,"['130', '&nbsp;']"
1461,r061,All business activities -> All other transportation equipment manufacturing,All business activities,All other transportation equipment manufacturing,2,33699,"['478', '&nbsp;']"
1461,r062,All business activities -> Furniture and related products manufacturing,All business activities,Furniture and related products manufacturing,2,33700,"['490', '&nbsp;']"
1461,r063,All business activities -> Medical equipment and supplies manufacturing,All business activities,Medical equipment and supplies manufacturing,2,33910,"['15,602', '&nbsp;']"
1461,r064,"All business activities -> Miscellaneous manufacturing not listed elsewhere (games, office supplies, slot machines, etc.)",All business activities,"Miscellaneous manufacturing not listed elsewhere (games, office supplies, slot machines, etc.)",2,33990,"['3,124', '&nbsp;']"
1461,r065,"All business activities -> Merchant wholesalers, durable goods",All business activities,"Merchant wholesalers, durable goods",2,42300,"['647', '&nbsp;']"
1461,r066,"All business activities -> Merchant wholesalers, nondurable goods",All business activities,"Merchant wholesalers, nondurable goods",2,42400,"['219', '&nbsp;']"
1461,r067,All business activities -> Wholesale electronic markets and agents and brokers (business to business),All business activities,Wholesale electronic markets and agents and brokers (business to business),2,42500,"['24', '&nbsp;']"
1461,r068,All business activities -> Retail trade (except electronic shopping and electronic auctions),All business activities,Retail trade (except electronic shopping and electronic auctions),2,44000,"['121', '&nbsp;']"
1461,r069,All business activities -> Electronic shopping and electronic auctions,All business activities,Electronic shopping and electronic auctions,2,45411,"['D', '&nbsp;']"
1461,r070,All business activities -> Transportation,All business activities,Transportation,2,48000,"['123', '&nbsp;']"
1461,r071,"All business activities -> Couriers, messengers, and express delivery services",All business activities,"Couriers, messengers, and express delivery services",2,49200,"['394', '&nbsp;']"
1461,r072,All business activities -> Warehousing and storage,All business activities,Warehousing and storage,2,49300,"['0', '&nbsp;']"
1461,r073,"All business activities -> Newspaper, periodical, book, and directory publishers (except Internet)",All business activities,"Newspaper, periodical, book, and directory publishers (except Internet)",2,51110,"['87', '&nbsp;']"
1461,r074,All business activities -> Software publishers (except Internet),All business activities,Software publishers (except Internet),2,51120,"['34,806', '&nbsp;']"
