table_id,row_id,_b_personnel_functions_b_full_path,_b_personnel_functions_b_level_1,_b_personnel_functions_b_level_2,_b_personnel_functions_b_level_3,_b_personnel_functions_b_hierarchy_depth,field_2020_headcount,field_2020_ftes,field_2021_headcount,field_2021_ftes,field_2022_headcount,field_2022_ftes,field_2023_headcount,field_2023_ftes
12725,r001,All personnel functions,All personnel functions,,,1,965442,457440,972579,471904,1037272,500603,1064295,518383
12725,r002,All personnel functions -> Female,All personnel functions,Female,,2,NA,na,NA,na,518986,na,536507,na
12725,r003,All personnel functions -> Male,All personnel functions,Male,,2,NA,na,NA,na,493670,na,503932,na
12725,r004,All personnel functions -> Sex unknown or not stated,All personnel functions,Sex unknown or not stated,,2,NA,na,NA,na,24616,na,23856,na
12725,r005,All personnel functions -> Researchers,All personnel functions,Researchers,,2,345339,180339,358483,188483,369591,196789,380165,200061
12725,r006,All personnel functions -> Researchers -> Female,All personnel functions,Researchers,Female,3,NA,na,NA,na,154300,na,162744,na
12725,r007,All personnel functions -> Researchers -> Male,All personnel functions,Researchers,Male,3,NA,na,NA,na,206881,na,209952,na
12725,r008,All personnel functions -> Researchers -> Sex unknown or not stated,All personnel functions,Researchers,Sex unknown or not stated,3,NA,na,NA,na,8410,na,7469,na
12725,r009,All personnel functions -> R&D technicians,All personnel functions,R&D technicians,,2,356499,178529,371958,183475,391541,181806,403388,195114
12725,r010,All personnel functions -> R&D technicians -> Female,All personnel functions,R&D technicians,Female,3,NA,na,NA,na,200954,na,207743,na
12725,r011,All personnel functions -> R&D technicians -> Male,All personnel functions,R&D technicians,Male,3,NA,na,NA,na,182083,na,188066,na
12725,r012,All personnel functions -> R&D technicians -> Sex unknown or not stated,All personnel functions,R&D technicians,Sex unknown or not stated,3,NA,na,NA,na,8504,na,7579,na
12725,r013,All personnel functions -> R&D support staff,All personnel functions,R&D support staff,,2,263604,98572,242138,99946,276140,122008,280742,123208
12725,r014,All personnel functions -> R&D support staff -> Female,All personnel functions,R&D support staff,Female,3,NA,na,NA,na,163732,na,166020,na
12725,r015,All personnel functions -> R&D support staff -> Male,All personnel functions,R&D support staff,Male,3,NA,na,NA,na,104706,na,105914,na
12725,r016,All personnel functions -> R&D support staff -> Sex unknown or not stated,All personnel functions,R&D support staff,Sex unknown or not stated,3,NA,na,NA,na,7702,na,8808,na
