table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_company_size_domestic_employees_all_companies,field_company_size_domestic_employees_10_19a,field_company_size_domestic_employees_20_49,field_company_size_domestic_employees_50_99,field_company_size_domestic_employees_100_249,field_company_size_domestic_employees_250_499,field_company_size_domestic_employees_500_599,field_company_size_domestic_employees_1_000_4_999,field_company_size_domestic_employees_5_000_9_999,field_company_size_domestic_employees_10_000_24_999,field_company_size_domestic_employees_25_000_or_more
6657,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['63,989', '&nbsp;']","['1,070', '&nbsp;']","['2,378', '&nbsp;']","['2,529', '&nbsp;']","['3,274', '&nbsp;']","['3,527', '&nbsp;']","['2,420', '&nbsp;']","['11,196', '&nbsp;']","['6,083', '&nbsp;']","['13,878', 'i']","['17,635', '&nbsp;']"
6657,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['37,564', '&nbsp;']","['294', 'i']","['850', '&nbsp;']","['912', '&nbsp;']","['1,216', '&nbsp;']","['1,644', '&nbsp;']","['1,645', '&nbsp;']","['8,759', '&nbsp;']","['2,490', '&nbsp;']","['6,203', '&nbsp;']","['13,551', 'i']"
6657,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['243', '&nbsp;']","['0 - 25', 'i']","['1', '&nbsp;']","['7', '&nbsp;']","['80', '&nbsp;']","['6', '&nbsp;']","['24', '&nbsp;']","['86', '&nbsp;']","['3 - 42', '&nbsp;']","['0 - 9', '&nbsp;']","['0', '&nbsp;']"
6657,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['111', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['97 - 103', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['9', '&nbsp;']","['0', '&nbsp;']","['0 - 4', 'i']"
6657,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['31', '&nbsp;']","['0 - 23', '&nbsp;']","['0', '&nbsp;']","['0 - 10', '&nbsp;']","['0 - 18', '&nbsp;']","['4', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6657,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['6', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['6', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6657,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6657,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6657,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['103', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0 - 18', '&nbsp;']","['0', '&nbsp;']","['64 - 104', '&nbsp;']","['0', '&nbsp;']","['0 - 39', 'i']","['0 - 9', '&nbsp;']","['0 - 4', '&nbsp;']"
6657,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['9,775', '&nbsp;']","['42', 'i']","['179', '&nbsp;']","['391', '&nbsp;']","['388', '&nbsp;']","['333', '&nbsp;']","['272', '&nbsp;']","['3,795', '&nbsp;']","['596', '&nbsp;']","['3,578', '&nbsp;']","['200', '&nbsp;']"
