table_id,row_id,funding_category_and_agency_full_path,funding_category_and_agency_level_1,funding_category_and_agency_level_2,funding_category_and_agency_level_3,funding_category_and_agency_level_4,funding_category_and_agency_hierarchy_depth,field_budget_activity,field_2021_actual,field_2022_preliminarya,field_2023_proposed,field_2021_22_change_,field_2022_23_change_
8446,r001,RDT&E total budget authority,RDT&E total budget authority,,,,1,--,107133,119225,131815,11.3,10.6
8446,r002,R&D budget authority within RDT&E accounts<sup>b</sup>,R&D budget authority within RDT&E accounts<sup>b</sup>,,,,1,--,68443,73248,82332,7.0,12.4
8446,r003,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup>,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,,,2,--,106545,116710,128312,9.5,9.9
8446,r004,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Basic research,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Basic research,,3,1,2528,2283,2376,-9.7,4.1
8446,r005,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Basic research -> Defense agencies,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Basic research,Defense agencies,4,,850,717,773,-15.6,7.8
8446,r006,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Basic research -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Basic research,Department of the Air Force,4,,496,491,547,-1.0,11.4
8446,r007,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Basic research -> Space Force,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Basic research,Space Force,4,,0,0,0,--,--
8446,r008,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Basic research -> Department of the Army,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Basic research,Department of the Army,4,,553,473,467,-14.5,-1.3
8446,r009,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Basic research -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Basic research,Department of the Navy,4,,629,602,589,-4.3,-2.2
8446,r010,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Applied research,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Applied research,,3,2,6323,5508,5792,-12.9,5.2
