table_id,row_id,time_period,major_occupation_n2ocprmg_n2ocmlst_level_1,major_occupation_n2ocprmg_n2ocmlst_level_2,major_occupation_n2ocprmg_n2ocmlst_hierarchy_depth,value
6859,r001_1,S&E occupations,"Major occupation (N2OCPRMG, N2OCMLST)",Code,2,1
6859,r001_2,S&E occupations,"Major occupation (N2OCPRMG, N2OCMLST)",Label,2,Computer and mathematical scientists
6859,r001_3,S&E occupations,"Minor occupation (N2OCPRNG, N2OCNLST)",Code,2,11
6859,r001_4,S&E occupations,"Minor occupation (N2OCPRNG, N2OCNLST)",Label,2,Computer and information scientists
6859,r001_5,S&E occupations,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,110510
6859,r001_6,S&E occupations,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,"Computer and information scientists, research"
6859,r002_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,110520
6859,r002_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,Computer network architect
6859,r003_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,110540
6859,r003_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,Computer support specialists
6859,r004_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,110550
6859,r004_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,Computer system analysts
6859,r005_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,110560
6859,r005_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,Database administrators
6859,r006_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,110570
6859,r006_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,Information security analysts
6859,r007_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,110580
6859,r007_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,Network and computer systems administrators
6859,r008_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,110590
6859,r008_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,Software developers - applications and systems software
6859,r009_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,110600
6859,r009_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,Web developers
6859,r010_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,110610
6859,r010_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,Other computer and information science occupations
6859,r011_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,110880
6859,r011_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,"Computer engineers, software"
6859,r012_3,,"Minor occupation (N2OCPRNG, N2OCNLST)",Code,2,12
6859,r012_4,,"Minor occupation (N2OCPRNG, N2OCNLST)",Label,2,Mathematical scientists
6859,r012_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,121720
6859,r012_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,Mathematicians
6859,r013_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,121730
6859,r013_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,"Operations research analysts, including modeling"
6859,r014_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,121740
6859,r014_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,Statisticians
6859,r015_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,121760
6859,r015_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,Other mathematical scientists
6859,r016_3,,"Minor occupation (N2OCPRNG, N2OCNLST)",Code,2,18
6859,r016_4,,"Minor occupation (N2OCPRNG, N2OCNLST)",Label,2,Postsecondary teachers - computer and math sciences
6859,r016_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,182760
6859,r016_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,Postsecondary teachers: Computer sciences
6859,r017_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,182860
6859,r017_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,Postsecondary teachers: Mathematics and statistics
6859,r018_1,,"Major occupation (N2OCPRMG, N2OCMLST)",Code,2,2
6859,r018_2,,"Major occupation (N2OCPRMG, N2OCMLST)",Label,2,"Biological, agricultural, and other life scientists"
6859,r018_3,,"Minor occupation (N2OCPRNG, N2OCNLST)",Code,2,21
6859,r018_4,,"Minor occupation (N2OCPRNG, N2OCNLST)",Label,2,Agricultural and food scientists
6859,r018_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,210210
6859,r018_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,Agricultural and food scientists
6859,r019_3,,"Minor occupation (N2OCPRNG, N2OCNLST)",Code,2,22
6859,r019_4,,"Minor occupation (N2OCPRNG, N2OCNLST)",Label,2,Biological and medical scientists
6859,r019_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,220220
6859,r019_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,Biochemists and biophysicists
6859,r020_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,220230
6859,r020_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,Biological scientists
6859,r021_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,220250
6859,r021_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,Forestry and conservation scientists
6859,r022_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,220270
6859,r022_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,Medical scientists (excluding practitioners)
6859,r023_3,,"Minor occupation (N2OCPRNG, N2OCNLST)",Code,2,23
6859,r023_4,,"Minor occupation (N2OCPRNG, N2OCNLST)",Label,2,Environmental life scientists
6859,r023_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,230240
6859,r023_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,Forestry and conservation scientists
6859,r024_3,,"Minor occupation (N2OCPRNG, N2OCNLST)",Code,2,28
6859,r024_4,,"Minor occupation (N2OCPRNG, N2OCNLST)",Label,2,Postsecondary teachers - life and related sciences
6859,r024_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,282710
6859,r024_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,Postsecondary teachers: Agriculture
6859,r025_5,,"Detailed occupation (N2OCPR, N2OCLST)",Code,2,282730
6859,r025_6,,"Detailed occupation (N2OCPR, N2OCLST)",Label,2,Postsecondary teachers: Biological sciences
