table_id,row_id,occupation_sex_ethnicity_race_and_disability_status_full_path,occupation_sex_ethnicity_race_and_disability_status_level_1,occupation_sex_ethnicity_race_and_disability_status_level_2,occupation_sex_ethnicity_race_and_disability_status_level_3,occupation_sex_ethnicity_race_and_disability_status_level_4,occupation_sex_ethnicity_race_and_disability_status_level_5,occupation_sex_ethnicity_race_and_disability_status_hierarchy_depth,field_total,field_business_or_industry_business_or_industry_total,field_business_or_industry_for_profit_business_or_industry,field_business_or_industry_nonprofit_business_or_industry,field_business_or_industry_self_employed_not_incorporated,field_education_education_total,field_education_4_year_educational_institutiona,field_education_2_year_college_or_precollege_educational_institution,field_government_government_total,field_government_federal_government,field_government_state_or_local_government
7770,r001,All occupations,All occupations,,,,,1,51764000,36346000,27666000,5237000,3443000,9978000,3342000,6637000,5439000,2114000,3325000
7770,r002,All occupations -> Female,All occupations,Female,,,,2,26493000,16957000,11757000,3448000,1751000,6863000,1899000,4964000,2674000,885000,1789000
7770,r003,All occupations -> Male,All occupations,Male,,,,2,25271000,19390000,15909000,1789000,1692000,3116000,1443000,1673000,2765000,1229000,1536000
7770,r004,All occupations -> Hispanic or Latino,All occupations,Hispanic or Latino,,,,2,5307000,3392000,2668000,452000,273000,1176000,343000,833000,739000,283000,456000
7770,r005,All occupations -> Not Hispanic or Latino,All occupations,Not Hispanic or Latino,,,,2,,,,,,,,,,,
7770,r006,All occupations -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,Not Hispanic or Latino,American Indian or Alaska Native,,,3,126000,76000,59000,12000,5000,23000,3000,20000,28000,2000,26000
7770,r007,All occupations -> Not Hispanic or Latino -> Asian,All occupations,Not Hispanic or Latino,Asian,,,3,5475000,4278000,3590000,425000,263000,728000,493000,235000,469000,167000,303000
7770,r008,All occupations -> Not Hispanic or Latino -> Black or African American,All occupations,Not Hispanic or Latino,Black or African American,,,3,4109000,2467000,1755000,563000,148000,838000,241000,597000,804000,334000,471000
7770,r009,All occupations -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,3,136000,86000,60000,22000,S,13000,9000,4000,37000,9000,28000
7770,r010,All occupations -> Not Hispanic or Latino -> White,All occupations,Not Hispanic or Latino,White,,,3,35373000,25160000,18870000,3652000,2638000,6986000,2190000,4797000,3226000,1267000,1959000
7770,r011,All occupations -> Not Hispanic or Latino -> More than one race,All occupations,Not Hispanic or Latino,More than one race,,,3,1238000,888000,665000,110000,113000,214000,63000,151000,136000,53000,82000
7770,r012,All occupations -> Without disability,All occupations,Without disability,,,,2,45426000,31835000,24256000,4726000,2852000,8906000,2979000,5928000,4685000,1751000,2934000
7770,r013,All occupations -> With disability,All occupations,With disability,,,,2,6338000,4512000,3410000,511000,591000,1072000,363000,709000,754000,364000,390000
7770,r014,All occupations -> S&E occupations,All occupations,S&E occupations,,,,2,7894000,5804000,5219000,368000,217000,1254000,1047000,206000,836000,449000,387000
7770,r015,All occupations -> S&E occupations -> Female,All occupations,S&E occupations,Female,,,3,2300000,1445000,1221000,153000,71000,551000,437000,114000,304000,150000,153000
7770,r016,All occupations -> S&E occupations -> Male,All occupations,S&E occupations,Male,,,3,5594000,4358000,3998000,214000,146000,702000,610000,92000,533000,299000,234000
7770,r017,All occupations -> S&E occupations -> Hispanic or Latino,All occupations,S&E occupations,Hispanic or Latino,,,3,692000,460000,411000,29000,20000,130000,101000,29000,102000,41000,61000
7770,r018,All occupations -> S&E occupations -> Not Hispanic or Latino,All occupations,S&E occupations,Not Hispanic or Latino,,,3,,,,,,,,,,,
7770,r019,All occupations -> S&E occupations -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,S&E occupations,Not Hispanic or Latino,American Indian or Alaska Native,,4,10000,8000,7000,S,,1000,0.05,S,1000,,0.05
7770,r020,All occupations -> S&E occupations -> Not Hispanic or Latino -> Asian,All occupations,S&E occupations,Not Hispanic or Latino,Asian,,4,1665000,1310000,1236000,53000,21000,257000,244000,13000,98000,49000,49000
7770,r021,All occupations -> S&E occupations -> Not Hispanic or Latino -> Black or African American,All occupations,S&E occupations,Not Hispanic or Latino,Black or African American,,4,399000,273000,246000,21000,7000,60000,46000,14000,66000,46000,20000
7770,r022,All occupations -> S&E occupations -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,16000,12000,10000,,,2000,2000,,2000,S,S
7770,r023,All occupations -> S&E occupations -> Not Hispanic or Latino -> White,All occupations,S&E occupations,Not Hispanic or Latino,White,,4,4943000,3622000,3199000,256000,167000,771000,637000,134000,550000,302000,248000
7770,r024,All occupations -> S&E occupations -> Not Hispanic or Latino -> More than one race,All occupations,S&E occupations,Not Hispanic or Latino,More than one race,,4,169000,119000,110000,8000,2000,33000,18000,S,17000,9000,8000
7770,r025,All occupations -> S&E occupations -> Without disability,All occupations,S&E occupations,Without disability,,,3,7006000,5187000,4660000,335000,192000,1115000,929000,186000,703000,383000,320000
