table_id,row_id,stratum_full_path,stratum_level_1,stratum_level_2,stratum_level_3,stratum_hierarchy_depth,field_sent_one_form,field_sent_multiple_formsa
2767,r001,Total,Total,,,1,45206,94
2767,r002,Total -> Known positive R&D,Total,Known positive R&D,,2,19814,94
2767,r003,Total -> Known positive R&D -> Certainties,Total,Known positive R&D,Certainties,3,15194,88
2767,r004,Total -> Known positive R&D -> Noncertainties,Total,Known positive R&D,Noncertainties,3,4620,6
2767,r005,Total -> Known zero R&D,Total,Known zero R&D,,2,2225,0
2767,r006,Total -> Known zero R&D -> Certainties,Total,Known zero R&D,Certainties,3,1520,0
2767,r007,Total -> Known zero R&D -> Noncertainties,Total,Known zero R&D,Noncertainties,3,705,0
2767,r008,Total -> Unknown R&D,Total,Unknown R&D,,2,23056,0
2767,r009,Total -> Unknown R&D -> Certainties,Total,Unknown R&D,Certainties,3,5563,0
2767,r010,Total -> Unknown R&D -> Noncertainties,Total,Unknown R&D,Noncertainties,3,17493,0
2767,r011,Total -> Cases not in the frame,Total,Cases not in the frame,,2,111,0
