table_id,row_id,field_of_doctorate_full_path,field_of_doctorate_level_1,field_of_doctorate_level_2,field_of_doctorate_hierarchy_depth,field_all_positions,field_postdoctoral_positions,field_non_postdoctoral_positions
4425,r001,All SEH,All SEH,,1,85000,53000,94000
4425,r002,"All SEH -> Biological, agricultural, and environmental life sciences",All SEH,"Biological, agricultural, and environmental life sciences",2,66000,52000,82000
4425,r003,All SEH -> Computer and information sciences,All SEH,Computer and information sciences,2,135000,65000,138000
4425,r004,All SEH -> Mathematics and statistics,All SEH,Mathematics and statistics,2,91000,60000,102000
4425,r005,All SEH -> Physical sciences,All SEH,Physical sciences,2,80000,55000,93000
4425,r006,All SEH -> Psychology,All SEH,Psychology,2,80000,53000,82000
4425,r007,All SEH -> Social sciences,All SEH,Social sciences,2,78000,57000,79000
4425,r008,All SEH -> Engineering,All SEH,Engineering,2,105000,55000,109000
4425,r009,All SEH -> Health,All SEH,Health,2,84000,50000,90000
