table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
3124,r001,All R&D fields,All R&D fields,,,,1,23809028,24506142,25586784,27567207,29237972,30703080,32964880,34909873,37177974,39041083
3124,r002,All R&D fields -> Science,All R&D fields,Science,,,2,18270250,18582380,19417860,20855631,22389620,23548083,25156275,26736904,28507438,29867258
3124,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,462704,448206,461891,516198,538525,543754,636552,695321,769038,844786
3124,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,977987,971968,969612,1100733,1178457,1181449,1091881,1105908,1111733,1117797
3124,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,90667,97535,87634,95840,112264,120222,113395,120147,122332,129924
3124,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,348875,342724,350160,395974,418751,414559,393514,398428,433949,443879
3124,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,354927,343778,351584,389199,408333,403054,432824,441834,412194,402252
3124,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,183518,187931,180234,219720,239109,243614,152148,145499,143258,141742
3124,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,13282124,13674114,14446569,15337944,16688457,17609407,19064676,20349887,21744557,22786144
3124,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,2053440,2074100,2162369,2241442,2306455,2384260,2314688,2298403,2360909,2439012
3124,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,3367260,3641934,3870192,4076478,4467576,4601001,5330474,5545045,5943615,6126325
3124,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,7199426,7213782,7648898,8166850,8967954,9576957,10281536,11300194,12381808,13089065
3124,r013,All R&D fields -> Science -> Life sciences -> Natural resources and conservation<sup>a</sup>,All R&D fields,Science,Life sciences,Natural resources and conservation<sup>a</sup>,4,na,na,na,na,na,na,375291,419303,457345,470095
3124,r014,All R&D fields -> Science -> Life sciences -> Life sciences nec,All R&D fields,Science,Life sciences,Life sciences nec,4,661998,744298,765110,853174,946472,1047189,762687,786942,600880,661647
3124,r015,All R&D fields -> Science -> Mathematics and statistics,All R&D fields,Science,Mathematics and statistics,,3,174425,181505,183927,206193,216510,216374,235101,263293,293736,302785
