table_id,row_id,country_full_path,country_level_1,country_level_2,country_level_3,country_hierarchy_depth,field_rank,field_doctorate_recipients
2806,r001,All temporary visa holders (165 countries)<sup>a</sup>,All temporary visa holders (165 countries)<sup>a</sup>,,,1,-,17763
2806,r002,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,,2,-,16588
2806,r003,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> China<sup>b</sup>,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,China<sup>b</sup>,3,1,6305
2806,r004,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> India ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,India ,3,2,2050
2806,r005,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> South Korea ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,South Korea ,3,3,1164
2806,r006,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Iran ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Iran ,3,4,959
2806,r007,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Saudi Arabia ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Saudi Arabia ,3,5,553
2806,r008,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Taiwan ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Taiwan ,3,6,491
2806,r009,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Canada ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Canada ,3,7,422
2806,r010,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Turkey ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Turkey ,3,8,405
2806,r011,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Bangladesh ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Bangladesh ,3,9,291
