table_id,row_id,low_income_economies_gni_per_capita_of_1_035_or_less_per_year_,lower_middle_income_economies_gni_per_capita_of_1_036_to_4_045_per_year_,upper_middle_income_economies_gni_per_capita_of_4_046_to_12_535_per_year_,high_income_economies_gni_per_capita_of_12_536_or_more_per_year_,unclassified
5817,r001,Afghanistan,Algeria,Albania,Andorra,Cook Islands
5817,r002,Burkina Faso,Angola,Argentina,Antigua and Barbuda,Holy See (Vatican City)
5817,r003,Chad,Bangladesh,Armenia,Australia,
5817,r004,"Congo, Democratic Republic of the",Benin,Azerbaijan,Austria,
5817,r005,Eritrea,Bolivia,Belarus,"Bahamas, The",
5817,r006,Ethiopia,Burma,Belize,Bahrain,
5817,r007,"Gambia, The",Cambodia,Bosnia and Herzegovina,Barbados,
5817,r008,Guinea,Cameroon,Brazil,Belgium,
5817,r009,Haiti,"Congo, Republic of the",Bulgaria,Brunei,
5817,r010,Liberia,Côte d’Ivoire,China,Canada,
5817,r011,Madagascar,Djibouti,Colombia,Chile,
5817,r012,Mali,Egypt,Costa Rica,Croatia,
5817,r013,Niger,El Salvador,Cuba,Cyprus,
5817,r014,North Korea,Eswatini,Dominica,Czechia,
5817,r015,Rwanda,Ghana,Dominican Republic,Denmark,
5817,r016,Sierra Leone,Honduras,Ecuador,Estonia,
5817,r017,Syria,India,Fiji,Finland,
5817,r018,Tajikistan,Kenya,Gabon,France,
5817,r019,Togo,Kiribati,Georgia,Germany,
5817,r020,Uganda,Kyrgyzstan,Grenada,Greece,
5817,r021,Yemen,Laos,Guatemala,Greenland,
5817,r022,,Moldova,Guyana,Hungary,
5817,r023,,Morocco,Indonesia,Iceland,
5817,r024,,Nepal,Iran,Ireland,
5817,r025,,Nicaragua,Iraq,Israel,
5817,r026,,Nigeria,Jamaica,Italy,
5817,r027,,Pakistan,Jordan,Japan,
5817,r028,,Papua New Guinea,Kazakhstan,Kuwait,
5817,r029,,Philippines,Lebanon,Latvia,
5817,r030,,Senegal,Libya,Liechtenstein,
5817,r031,,Serbia and Montenegro,Malaysia,Lithuania,
5817,r032,,Solomon Islands,Marshall Islands,Luxembourg,
5817,r033,,Sri Lanka,Mexico,Malta,
5817,r034,,Tanzania,Montenegro,Mauritius,
5817,r035,,Tunisia,Namibia,Monaco,
5817,r036,,Ukraine,North Macedonia,Nauru,
5817,r037,,Uzbekistan,Paraguay,Netherlands,
5817,r038,,Vanuatu,Peru,New Zealand,
5817,r039,,Vietnam,Russia,Norway,
5817,r040,,Zambia,Saint Lucia,Oman,
5817,r041,,Zimbabwe,Saint Vincent and the Grenadines,Palau,
5817,r042,,,Samoa,Panama,
5817,r043,,,Serbia,Poland,
5817,r044,,,South Africa,Portugal,
5817,r045,,,Suriname,Puerto Rico,
5817,r046,,,Thailand,Qatar,
5817,r047,,,Turkey,Romania,
5817,r048,,,Venezuela,Saint Kitts and Nevis,
5817,r049,,,,San Marino,
5817,r050,,,,Saudi Arabia,
5817,r051,,,,Seychelles,
5817,r052,,,,Singapore,
5817,r053,,,,Slovakia,
5817,r054,,,,Slovenia,
5817,r055,,,,South Korea,
5817,r056,,,,Spain,
5817,r057,,,,Sweden,
5817,r058,,,,Switzerland,
5817,r059,,,,Taiwan,
5817,r060,,,,Trinidad and Tobago,
5817,r061,,,,United Arab Emirates,
5817,r062,,,,United Kingdom,
5817,r063,,,,United States,
5817,r064,,,,Uruguay,
