table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_science_total_number,field_science_total_se,field_science_biological_agricultural_and_environmental_life_sciences_number,field_science_biological_agricultural_and_environmental_life_sciences_se,field_science_computer_and_information_sciences_number,field_science_computer_and_information_sciences_se,field_science_mathematics_and_statistics_number,field_science_mathematics_and_statistics_se,field_science_physical_sciences_number,field_science_physical_sciences_se,field_science_psychology_number,field_science_psychology_se,field_science_social_sciences_number,field_science_social_sciences_se,field_engineering_number,field_engineering_se,field_health_number,field_health_se
3692,r001,Doctorate recipient,Doctorate recipient,,,,1,857200,1975,640300,1900,220700,1100,31100,400,36650,450,133750,950,115350,825,102700,900,176700,1175,40200,475
3692,r002,Doctorate recipient -> Sex,Doctorate recipient,Sex,,,2,,,,,,,,,,,,,,,,,,,,
3692,r003,Doctorate recipient -> Sex -> Male,Doctorate recipient,Sex,Male,,3,546050,1750,383900,1700,124550,1025,25500,425,27350,450,101300,925,45600,800,59600,825,147250,1200,14900,325
3692,r004,Doctorate recipient -> Sex -> Female,Doctorate recipient,Sex,Female,,3,311200,1200,256400,1200,96200,900,5600,300,9300,325,32500,525,69700,775,43100,575,29450,575,25300,400
3692,r005,Doctorate recipient -> Ethnicity,Doctorate recipient,Ethnicity,,,2,,,,,,,,,,,,,,,,,,,,
3692,r006,Doctorate recipient -> Ethnicity -> Hispanic or Latino<sup>a</sup>,Doctorate recipient,Ethnicity,Hispanic or Latino<sup>a</sup>,,3,37250,550,29200,475,10250,275,950,100,1300,100,4350,200,6550,250,5800,275,6650,275,1400,125
3692,r007,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>b</sup>,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>b</sup>,,3,,,,,,,,,,,,,,,,,,,,
3692,r008,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,4,1300,125,1050,125,200,50,,,,,50,25,300,75,400,100,150,50,100,50
3692,r009,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>b</sup> -> Asian,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>b</sup>,Asian,4,213350,1325,128850,1150,50650,875,13400,400,11300,400,32900,725,7100,425,13500,525,75800,1150,8700,350
3692,r010,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>b</sup>,Black or African American,4,31100,400,23750,375,7050,250,600,75,850,100,3050,225,5850,225,6400,300,4150,200,3150,225
3692,r011,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>b</sup> -> White,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>b</sup>,White,4,562350,1750,447900,1800,149050,1100,15800,375,22750,425,91750,975,93600,925,74950,750,88050,1050,26400,475
3692,r012,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,4,11950,400,9500,325,3550,200,350,100,400,100,1650,150,1950,175,1600,175,1900,225,500,75
3692,r013,Doctorate recipient -> Age,Doctorate recipient,Age,,,2,,,,,,,,,,,,,,,,,,,,
3692,r014,Doctorate recipient -> Age -> Under 35,Doctorate recipient,Age,Under 35,,3,99050,1050,68100,925,25700,550,3900,275,5600,300,17500,500,8400,400,7000,375,27050,650,3900,250
3692,r015,Doctorate recipient -> Age -> 35&#8211;39,Doctorate recipient,Age,35&#8211;39,,3,128800,1375,93250,1175,35350,775,6850,425,6050,325,19200,625,13250,500,12600,450,30900,700,4650,250
3692,r016,Doctorate recipient -> Age -> 40&#8211;44,Doctorate recipient,Age,40&#8211;44,,3,117500,1325,87450,1200,34150,950,5250,350,5000,275,16800,600,13250,475,13000,550,24950,700,5100,325
3692,r017,Doctorate recipient -> Age -> 45&#8211;49,Doctorate recipient,Age,45&#8211;49,,3,108400,1450,82700,1250,28900,775,4400,325,4400,300,15800,550,14800,600,14400,525,21250,700,4450,350
3692,r018,Doctorate recipient -> Age -> 50&#8211;54,Doctorate recipient,Age,50&#8211;54,,3,100900,1375,74250,1100,24200,675,3100,275,3850,275,16050,625,13700,575,13450,575,21400,700,5200,325
3692,r019,Doctorate recipient -> Age -> 55&#8211;59,Doctorate recipient,Age,55&#8211;59,,3,101950,1400,75100,1250,25100,725,3450,300,4150,300,17700,650,12700,525,12000,525,22000,700,4800,325
3692,r020,Doctorate recipient -> Age -> 60&#8211;64,Doctorate recipient,Age,60&#8211;64,,3,88300,1400,67900,1200,22750,825,2500,250,3250,325,15100,575,12700,575,11600,450,14400,600,6000,375
