table_id,row_id,rank,baccalaureate_institution_,black_doctorate_recipients,institutional_control,2018_carnegie_classification,hbcu_status
7143,r001,na,Life sciencesa,,,,
7143,r002,1,"U. Maryland, Baltimore County",89,Public,R2: doctoral universities,No
7143,r003,2,Spelman C.,87,Private,Baccalaureate colleges: arts and sciences focus,Yes
7143,r004,3,Howard U.,82,Private,R2: doctoral universities,Yes
7143,r005,4,Florida A&M U.,68,Public,R2: doctoral universities,Yes
7143,r006,5,Xavier U. Louisiana,67,Private,M3: master's institutions - smaller programs,Yes
7143,r007,6,U. Florida,63,Public,R1: doctoral universities,No
7143,r008,7,North Carolina Agricultural and Technical State U.,60,Public,R2: doctoral universities,Yes
7143,r009,8,Jackson State U.,59,Public,R2: doctoral universities,Yes
7143,r010,9,Tuskegee U.,49,Private,M2: master's institutions - medium programs,Yes
7143,r011,9,"U. Maryland, College Park",49,Public,R1: doctoral universities,No
7143,r012,9,"U. North Carolina, Chapel Hill",49,Public,R1: doctoral universities,No
7143,r013,na,Physical sciences and earth sciences,,,,
7143,r014,1,Morehouse C.,22,Private,Baccalaureate colleges: arts and sciences focus,Yes
7143,r015,2,Florida A&M U.,18,Public,R2: doctoral universities,Yes
7143,r016,3,Xavier U. Louisiana,17,Private,M3: master's institutions - smaller programs,Yes
7143,r017,4,Hampton U.,16,Private,R2: doctoral universities,Yes
7143,r018,4,Howard U.,16,Private,R2: doctoral universities,Yes
7143,r019,6,Jackson State U.,14,Public,R2: doctoral universities,Yes
7143,r020,7,Alabama A&M U.,10,Public,M1: master's institutions - larger programs,Yes
7143,r021,7,North Carolina State U.,10,Public,R1: doctoral universities,No
7143,r022,7,"Southern U. and A&M C., Baton Rouge",10,Public,M1: master's institutions - larger programs,Yes
7143,r023,7,"U. Maryland, Baltimore County",10,Public,R2: doctoral universities,No
7143,r024,na,Mathematics and computer sciences,,,,
7143,r025,1,"U. Maryland, Baltimore County",16,Public,R2: doctoral universities,No
7143,r026,2,Spelman C.,14,Private,Baccalaureate colleges: arts and sciences focus,Yes
7143,r027,3,North Carolina Agricultural and Technical State U.,13,Public,R2: doctoral universities,Yes
7143,r028,4,Morehouse C.,12,Private,Baccalaureate colleges: arts and sciences focus,Yes
7143,r029,5,Jackson State U.,8,Public,R2: doctoral universities,Yes
7143,r030,6,Florida A&M U.,7,Public,R2: doctoral universities,Yes
7143,r031,6,Howard U.,7,Private,R2: doctoral universities,Yes
7143,r032,6,Morgan State U.,7,Public,R2: doctoral universities,Yes
7143,r033,9,Georgia Institute of Technology,6,Public,R1: doctoral universities,No
7143,r034,9,U. Florida,6,Public,R1: doctoral universities,No
7143,r035,na,Psychology and social sciences ,,,,
7143,r036,1,Howard U.,118,Private,R2: doctoral universities,Yes
7143,r037,2,Spelman C.,107,Private,Baccalaureate colleges: arts and sciences focus,Yes
7143,r038,3,Hampton U.,62,Private,R2: doctoral universities,Yes
7143,r039,4,"U. Maryland, College Park",59,Public,R1: doctoral universities,No
7143,r040,5,Florida A&M U.,49,Public,R2: doctoral universities,Yes
7143,r041,6,"U. North Carolina, Chapel Hill",47,Public,R1: doctoral universities,No
7143,r042,7,Morehouse C.,45,Private,Baccalaureate colleges: arts and sciences focus,Yes
7143,r043,8,Stanford U.,40,Private,R1: doctoral universities,No
7143,r044,9,U. Pennsylvania,39,Private,R1: doctoral universities,No
7143,r045,10,Harvard U.,38,Private,R1: doctoral universities,No
7143,r046,na,Engineering,,,,
7143,r047,1,North Carolina Agricultural and Technical State U.,59,Public,R2: doctoral universities,Yes
7143,r048,2,Morgan State U.,43,Public,R2: doctoral universities,Yes
7143,r049,3,"U. Maryland, Baltimore County",42,Public,R2: doctoral universities,No
7143,r050,4,"U. Maryland, College Park",40,Public,R1: doctoral universities,No
7143,r051,5,Georgia Institute of Technology,33,Public,R1: doctoral universities,No
7143,r052,6,Massachusetts Institute of Technology,31,Private,R1: doctoral universities,No
7143,r053,7,"CUNY, City C.",28,Public,R2: doctoral universities,No
7143,r054,7,U. Florida,28,Public,R1: doctoral universities,No
7143,r055,9,Florida A&M U.,27,Public,R2: doctoral universities,Yes
7143,r056,10,Howard U.,24,Private,R2: doctoral universities,Yes
7143,r057,na,Education,,,,
7143,r058,1,Jackson State U.,110,Public,R2: doctoral universities,Yes
7143,r059,2,Florida A&M U.,93,Public,R2: doctoral universities,Yes
7143,r060,3,"Southern U. and A&M C., Baton Rouge",92,Public,M1: master's institutions - larger programs,Yes
7143,r061,4,Spelman C.,84,Private,Baccalaureate colleges: arts and sciences focus,Yes
7143,r062,5,Hampton U.,80,Private,R2: doctoral universities,Yes
7143,r063,5,Howard U.,80,Private,R2: doctoral universities,Yes
7143,r064,7,U. Southern Mississippi,70,Public,R1: doctoral universities,No
7143,r065,8,Mississippi State U.,68,Public,R1: doctoral universities,No
7143,r066,9,"U. North Carolina, Chapel Hill",66,Public,R1: doctoral universities,No
7143,r067,10,North Carolina Agricultural and Technical State U.,64,Public,R2: doctoral universities,Yes
7143,r068,na,Humanities and arts,,,,
7143,r069,1,Spelman C.,43,Private,Baccalaureate colleges: arts and sciences focus,Yes
7143,r070,2,Howard U.,39,Private,R2: doctoral universities,Yes
7143,r071,3,Florida A&M U.,37,Public,R2: doctoral universities,Yes
7143,r072,4,Morehouse C.,34,Private,Baccalaureate colleges: arts and sciences focus,Yes
7143,r073,5,Harvard U.,25,Private,R1: doctoral universities,No
7143,r074,6,Florida State U.,19,Public,R1: doctoral universities,No
7143,r075,6,"U. Virginia, Charlottesville",19,Public,R1: doctoral universities,No
7143,r076,8,North Carolina Central U.,18,Public,M1: master's institutions - larger programs,Yes
