table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_land_acquisition,field_buildings_and_land_improvement,field_machinery_and_equipment,field_capitalized_software,field_other_intellectual_property,field_all_other_costs
12459,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['340,811', '&nbsp;']","['327', '&nbsp;']","['8,868', '&nbsp;']","['155,636', '&nbsp;']","['40,324', '&nbsp;']","['37,277', '&nbsp;']","['98,378', '&nbsp;']"
12459,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['63,769', '&nbsp;']","['78', '&nbsp;']","['2,927', '&nbsp;']","['32,771', '&nbsp;']","['686', '&nbsp;']","['7,170', '&nbsp;']","['20,138', '&nbsp;']"
12459,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['3,185', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['3,185', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12459,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['198', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['144', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['54', '&nbsp;']"
12459,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12459,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['48', 'r']","['0', '&nbsp;']","['27', 'r']","['21', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12459,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12459,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12459,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['16,374', '&nbsp;']","['78', '&nbsp;']","['1,387', '&nbsp;']","['7,420', '&nbsp;']","['246', '&nbsp;']","['2,660', '&nbsp;']","['4,585', '&nbsp;']"
12459,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['10,128', '&nbsp;']","['78', '&nbsp;']","['438', '&nbsp;']","['4,326', '&nbsp;']","['238', '&nbsp;']","['2,235', '&nbsp;']","['2,813', '&nbsp;']"
12459,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['6,247', '&nbsp;']","['0', '&nbsp;']","['949', '&nbsp;']","['3,094', '&nbsp;']","['8', '&nbsp;']","['425', 'r']","['1,772', 'r']"
