table_id,row_id,field_full_path,field_level_1,field_level_2,field_level_3,field_level_4,field_level_5,field_hierarchy_depth,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_percent_2006,field_percent_2016
1173,r001,All fields,All fields,,,,,1,27607,30551,31115,31225,28397,29513,30859,32148,33831,34660,35026,49.0,50.2
1173,r002,All fields -> S&E,All fields,S&E,,,,2,12129,13159,13578,13689,13411,14013,14523,15237,16195,16264,15876,39.8,40.7
1173,r003,All fields -> S&E -> Science,All fields,S&E,Science,,,3,10645,11474,11830,11977,11596,12115,12517,13060,13884,13838,13447,46.2,46.9
1173,r004,All fields -> S&E -> Science -> Agricultural sciences,All fields,S&E,Science,Agricultural sciences,,4,425,438,445,506,455,491,540,570,593,665,628,41.0,46.8
1173,r005,All fields -> S&E -> Science -> Biological sciences,All fields,S&E,Science,Biological sciences,,4,3013,3284,3707,3894,4007,3987,4152,4167,4375,4179,4136,49.1,52.6
1173,r006,All fields -> S&E -> Science -> Computer sciences,All fields,S&E,Science,Computer sciences,,4,307,328,373,351,336,311,361,351,403,439,389,21.7,20.1
1173,r007,"All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences",All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",,4,218,286,244,288,289,267,319,365,374,359,373,36.3,40.9
1173,r008,"All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences -> Atmospheric sciences",All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",Atmospheric sciences,5,33,33,21,33,34,36,49,58,41,55,51,34.7,35.9
1173,r009,"All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences -> Earth sciences",All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",Earth sciences,5,148,195,174,195,204,186,215,232,261,249,252,34.4,39.9
1173,r010,"All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences -> Ocean sciences",All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",Ocean sciences,5,37,58,49,60,51,45,55,75,72,55,70,49.3,50.4
