table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_all_companies_companies_number_,field_all_companies_amount,field_1_4_employees_companies_number_,field_1_4_employees_amount,field_5_9_employees_companies_number_,field_5_9_employees_amount
9862,r001,All states,All states,,1,"['15,339', '&nbsp;']","['6,124,669', '&nbsp;']","['9,611', '&nbsp;']","['2,590,797', '&nbsp;']","['5,727', '&nbsp;']","['3,533,871', '&nbsp;']"
9862,r002,All states -> Alabama,All states,Alabama,2,"['80', '&nbsp;']","['27,599', '&nbsp;']","['68', '&nbsp;']","['18,036', '&nbsp;']","['13', '&nbsp;']","['9,563', '&nbsp;']"
9862,r003,All states -> Alaska,All states,Alaska,2,"['4', '&nbsp;']","['826', '&nbsp;']","['4', '&nbsp;']","['826', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9862,r004,All states -> Arizona,All states,Arizona,2,"['256', '&nbsp;']","['88,693', '&nbsp;']","['162', '&nbsp;']","['38,821', '&nbsp;']","['93', '&nbsp;']","['49,871', '&nbsp;']"
9862,r005,All states -> Arkansas,All states,Arkansas,2,"['56', '&nbsp;']","['19,073', '&nbsp;']","['19', '&nbsp;']","['5,784', '&nbsp;']","['38', '&nbsp;']","['13,289', '&nbsp;']"
9862,r006,All states -> California,All states,California,2,"['3,953', '&nbsp;']","['2,012,984', '&nbsp;']","['2,547', '&nbsp;']","['701,550', '&nbsp;']","['1,407', '&nbsp;']","['1,311,433', '&nbsp;']"
9862,r007,All states -> Colorado,All states,Colorado,2,"['602', '&nbsp;']","['234,304', '&nbsp;']","['316', '&nbsp;']","['91,543', '&nbsp;']","['287', '&nbsp;']","['142,761', '&nbsp;']"
9862,r008,All states -> Connecticut,All states,Connecticut,2,"['98', '&nbsp;']","['48,150', '&nbsp;']","['60', '&nbsp;']","['18,600', '&nbsp;']","['37', '&nbsp;']","['29,550', '&nbsp;']"
9862,r009,All states -> Delaware,All states,Delaware,2,"['165', '&nbsp;']","['69,107', '&nbsp;']","['109', '&nbsp;']","['44,344', '&nbsp;']","['57', '&nbsp;']","['24,763', '&nbsp;']"
9862,r010,All states -> District of Columbia,All states,District of Columbia,2,"['27', '&nbsp;']","['17,781', '&nbsp;']","['17', '&nbsp;']","['12,430', '&nbsp;']","['11', '&nbsp;']","['5,351', '&nbsp;']"
