table_id,row_id,funders_business_activity_sup_a_sup_full_path,funders_business_activity_sup_a_sup_level_1,funders_business_activity_sup_a_sup_level_2,funders_business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_amount
2735,r001,All business activities,All business activities,,1,21100–81000,"['37,420', '  ']"
2735,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['113', '  ']"
2735,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['* ', '  ']"
2735,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['32', '  ']"
2735,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['14', '  ']"
2735,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['14', '  ']"
2735,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['213', '  ']"
2735,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['103', '  ']"
2735,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['5', '  ']"
2735,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['* ', 'i ']"
2735,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['4', '  ']"
2735,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['1', '  ']"
2735,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['3', '  ']"
2735,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['28', 'i ']"
2735,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['0', '  ']"
2735,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['3', '  ']"
2735,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['88', '  ']"
2735,r018,"All business activities -> Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['74', '  ']"
2735,r019,"All business activities -> Pesticide, fertilizer, and other agricultural chemicals manufacturing",All business activities,"Pesticide, fertilizer, and other agricultural chemicals manufacturing",2,32530,"['29', '  ']"
2735,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",2,32541,"['15,338', '  ']"
2735,r021,All business activities -> In vitro diagnostic substances manufacturing,All business activities,In vitro diagnostic substances manufacturing,2,32542,"['1', '  ']"
2735,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostic substances),All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostic substances),2,32543,"['6,230', '  ']"
2735,r023,"All business activities -> Soap, cleaning compound, and toilet preparations manufacturing",All business activities,"Soap, cleaning compound, and toilet preparations manufacturing",2,32591,"['164', '  ']"
2735,r024,"All business activities -> Paint, adhesive, and other chemical manufacturing",All business activities,"Paint, adhesive, and other chemical manufacturing",2,32592,"['10', 'i ']"
2735,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['23', '  ']"
2735,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['2', 'i ']"
2735,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['9', '  ']"
2735,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['12', 'i ']"
2735,r029,All business activities -> Fabricated metal products manufacturing,All business activities,Fabricated metal products manufacturing,2,33200,"['87', '  ']"
2735,r030,All business activities -> Agricultural machinery and equipment manufacturing,All business activities,Agricultural machinery and equipment manufacturing,2,33311,"['12', 'i ']"
2735,r031,All business activities -> Construction machinery manufacturing,All business activities,Construction machinery manufacturing,2,33312,"['2', 'i ']"
2735,r032,"All business activities -> Mining, oil, and gas field machinery and equipment manufacturing",All business activities,"Mining, oil, and gas field machinery and equipment manufacturing",2,33319,"['61', '  ']"
2735,r033,All business activities -> Semiconductor machinery manufacturing,All business activities,Semiconductor machinery manufacturing,2,33321,"['0 - 646', '  ']"
2735,r034,All business activities -> Industrial machinery manufacturing (except semiconductor machinery),All business activities,Industrial machinery manufacturing (except semiconductor machinery),2,33322,"['27', '  ']"
2735,r035,All business activities -> Photographic and photocopying equipment manufacturing,All business activities,Photographic and photocopying equipment manufacturing,2,33331,"['1', '  ']"
2735,r036,"All business activities -> Commercial, service industry, temperature control, and air-flow control machinery manufacturing",All business activities,"Commercial, service industry, temperature control, and air-flow control machinery manufacturing",2,33332,"['6', 'i ']"
2735,r037,All business activities -> Digital cameras manufacturing,All business activities,Digital cameras manufacturing,2,33333,"['0', '  ']"
2735,r038,"All business activities -> Engine, turbine, and power transmission equipment manufacturing",All business activities,"Engine, turbine, and power transmission equipment manufacturing",2,33360,"['136', '  ']"
2735,r039,All business activities -> Metalworking and other general purpose machinery manufacturing,All business activities,Metalworking and other general purpose machinery manufacturing,2,33390,"['15', '  ']"
2735,r040,All business activities -> Computers and peripheral equipment manufacturing and magnetic and optical media,All business activities,Computers and peripheral equipment manufacturing and magnetic and optical media,2,33412,"['62', '  ']"
2735,r041,"All business activities -> Telephone apparatus manufacturing, including routers, modems, and gateways",All business activities,"Telephone apparatus manufacturing, including routers, modems, and gateways",2,33421,"['1', 'i ']"
2735,r042,"All business activities -> Radio, television, and wireless communication equipment manufacturing",All business activities,"Radio, television, and wireless communication equipment manufacturing",2,33422,"['365', 'i ']"
2735,r043,"All business activities -> Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",All business activities,"Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",2,33429,"['37', '  ']"
2735,r044,All business activities -> Audio and video equipment manufacturing,All business activities,Audio and video equipment manufacturing,2,33430,"['7', '  ']"
2735,r045,All business activities -> Semiconductor and other electronic components manufacturing,All business activities,Semiconductor and other electronic components manufacturing,2,33440,"['2,729', '  ']"
2735,r046,"All business activities -> Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",All business activities,"Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",2,33451,"['91', '  ']"
2735,r047,"All business activities -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments manufacturing",All business activities,"Search, detection, navigation, guidance, aeronautical, and nautical system and instruments manufacturing",2,33452,"['848', '  ']"
2735,r048,All business activities -> Measuring and control instruments manufacturing (not listed elsewhere),All business activities,Measuring and control instruments manufacturing (not listed elsewhere),2,33459,"['106', '  ']"
2735,r049,"All business activities -> Electrical equipment, appliances, and components manufacturing",All business activities,"Electrical equipment, appliances, and components manufacturing",2,33500,"['519', '  ']"
2735,r050,All business activities -> Motor vehicles manufacturing,All business activities,Motor vehicles manufacturing,2,33610,"['2,747', '  ']"
2735,r051,All business activities -> Motor vehicle body and trailer manufacturing,All business activities,Motor vehicle body and trailer manufacturing,2,33620,"['0', '  ']"
2735,r052,All business activities -> Motor vehicle parts manufacturing,All business activities,Motor vehicle parts manufacturing,2,33630,"['223', '  ']"
2735,r053,All business activities -> Aircraft manufacturing,All business activities,Aircraft manufacturing,2,33641,"['318', '  ']"
2735,r054,All business activities -> Aircraft engine and engine parts manufacturing,All business activities,Aircraft engine and engine parts manufacturing,2,33642,"['213', '  ']"
2735,r055,All business activities -> Other aircraft parts and auxiliary equipment manufacturing,All business activities,Other aircraft parts and auxiliary equipment manufacturing,2,33643,"['277', '  ']"
2735,r056,"All business activities -> Guided missiles, space vehicles, and related parts manufacturing",All business activities,"Guided missiles, space vehicles, and related parts manufacturing",2,33644,"['359', '  ']"
2735,r057,All business activities -> Railroad rolling stock manufacturing,All business activities,Railroad rolling stock manufacturing,2,33651,"['* ', 'i ']"
2735,r058,All business activities -> Ship and boat building,All business activities,Ship and boat building,2,33660,"['0', '  ']"
2735,r059,"All business activities -> Motorcycle, bicycle, and parts manufacturing",All business activities,"Motorcycle, bicycle, and parts manufacturing",2,33691,"['14', '  ']"
2735,r060,"All business activities -> Military armored vehicle, tank, and tank components manufacturing",All business activities,"Military armored vehicle, tank, and tank components manufacturing",2,33692,"['0 - 646', '  ']"
2735,r061,All business activities -> All other transportation equipment manufacturing,All business activities,All other transportation equipment manufacturing,2,33699,"['19', '  ']"
2735,r062,All business activities -> Furniture and related products manufacturing,All business activities,Furniture and related products manufacturing,2,33700,"['1', '  ']"
2735,r063,All business activities -> Medical equipment and supplies manufacturing,All business activities,Medical equipment and supplies manufacturing,2,33910,"['678', '  ']"
2735,r064,"All business activities -> Miscellaneous manufacturing not listed elsewhere (games, office supplies, slot machines, etc.)",All business activities,"Miscellaneous manufacturing not listed elsewhere (games, office supplies, slot machines, etc.)",2,33990,"['143', 'i ']"
2735,r065,"All business activities -> Merchant wholesalers, durable goods",All business activities,"Merchant wholesalers, durable goods",2,42300,"['13', '  ']"
2735,r066,"All business activities -> Merchant wholesalers, nondurable goods",All business activities,"Merchant wholesalers, nondurable goods",2,42400,"['2', '  ']"
2735,r067,All business activities -> Wholesale electronic markets and agents and brokers (business to business),All business activities,Wholesale electronic markets and agents and brokers (business to business),2,42500,"['4', '  ']"
2735,r068,All business activities -> Retail trade (except electronic shopping and electronic auctions),All business activities,Retail trade (except electronic shopping and electronic auctions),2,44000,"['20', '  ']"
2735,r069,All business activities -> Electronic shopping and electronic auctions,All business activities,Electronic shopping and electronic auctions,2,45411,"['93', '  ']"
2735,r070,All business activities -> Transportation,All business activities,Transportation,2,48000,"['* ', '  ']"
2735,r071,"All business activities -> Couriers, messengers, and express delivery services",All business activities,"Couriers, messengers, and express delivery services",2,49200,"['15', '  ']"
2735,r072,All business activities -> Warehousing and storage,All business activities,Warehousing and storage,2,49300,"['6', '  ']"
2735,r073,"All business activities -> Newspaper, periodical, book, and directory publishers (except Internet)",All business activities,"Newspaper, periodical, book, and directory publishers (except Internet)",2,51110,"['0', '  ']"
2735,r074,All business activities -> Software publishers (except Internet),All business activities,Software publishers (except Internet),2,51120,"['222', '  ']"
2735,r075,All business activities -> Motion picture and sound recording (except Internet),All business activities,Motion picture and sound recording (except Internet),2,51200,"['0', '  ']"
2735,r076,All business activities -> Broadcasting (except Internet),All business activities,Broadcasting (except Internet),2,51500,"['0', '  ']"
2735,r077,All business activities -> Wired telecommunications carriers,All business activities,Wired telecommunications carriers,2,51710,"['5', '  ']"
2735,r078,All business activities -> Wireless telecommunications carriers (except satellite),All business activities,Wireless telecommunications carriers (except satellite),2,51720,"['10', '  ']"
2735,r079,All business activities -> Satellite telecommunications,All business activities,Satellite telecommunications,2,51740,"['0 - 646', '  ']"
2735,r080,All business activities -> Other telecommunications (not listed elsewhere),All business activities,Other telecommunications (not listed elsewhere),2,51790,"['23', '  ']"
2735,r081,"All business activities -> Data processing, hosting, and related services",All business activities,"Data processing, hosting, and related services",2,51800,"['22', 'i ']"
2735,r082,All business activities -> Cloud computing applications and Internet-based software services,All business activities,Cloud computing applications and Internet-based software services,2,51801,"['143', 'i ']"
2735,r083,"All business activities -> Other information services, including Internet publishing, broadcasting, and Web search portals",All business activities,"Other information services, including Internet publishing, broadcasting, and Web search portals",2,51910,"['0 - 646', '  ']"
2735,r084,All business activities -> Finance: banking and credit intermediation,All business activities,Finance: banking and credit intermediation,2,52200,"['2', '  ']"
2735,r085,"All business activities -> Securities, commodity contracts, and other financial investments and related activities, including funds and trusts",All business activities,"Securities, commodity contracts, and other financial investments and related activities, including funds and trusts",2,52310,"['9', '  ']"
2735,r086,All business activities -> Insurance carriers and related activities,All business activities,Insurance carriers and related activities,2,52400,"['11', '  ']"
2735,r087,All business activities -> Real estate,All business activities,Real estate,2,53100,"['20', '  ']"
2735,r088,All business activities -> Rental and leasing services,All business activities,Rental and leasing services,2,53200,"['0', '  ']"
2735,r089,"All business activities -> Lessors of nonfinancial intangible assets, including patent licensing",All business activities,"Lessors of nonfinancial intangible assets, including patent licensing",2,53300,"['0', '  ']"
2735,r090,"All business activities -> Legal, accounting, tax preparation, bookkeeping, and payroll services",All business activities,"Legal, accounting, tax preparation, bookkeeping, and payroll services",2,54111,"['2', 'i ']"
2735,r091,"All business activities -> Architectural, engineering, and related services",All business activities,"Architectural, engineering, and related services",2,54130,"['299', '  ']"
2735,r092,All business activities -> Specialized design services,All business activities,Specialized design services,2,54140,"['8', '  ']"
2735,r093,All business activities -> Computer systems design and related services,All business activities,Computer systems design and related services,2,54150,"['1,387', '  ']"
2735,r094,"All business activities -> Management, scientific, and technical consulting services",All business activities,"Management, scientific, and technical consulting services",2,54160,"['4', 'i ']"
2735,r095,All business activities -> Research and development services in social sciences and humanities,All business activities,Research and development services in social sciences and humanities,2,54172,"['10', '  ']"
2735,r096,All business activities -> Research and development services in biotechnology,All business activities,Research and development services in biotechnology,2,54173,"['445', '  ']"
2735,r097,"All business activities -> Research and development services in physical, engineering, and life sciences (except biotechnology)",All business activities,"Research and development services in physical, engineering, and life sciences (except biotechnology)",2,54174,"['649', '  ']"
2735,r098,All business activities -> Advertising and related services,All business activities,Advertising and related services,2,54180,"['0', '  ']"
2735,r099,"All business activities -> Professional, scientific, and technical services (not listed elsewhere)",All business activities,"Professional, scientific, and technical services (not listed elsewhere)",2,54190,"['215', '  ']"
2735,r100,All business activities -> Management of companies and enterprises,All business activities,Management of companies and enterprises,2,55100,"['15', '  ']"
2735,r101,All business activities -> Administrative and support services,All business activities,Administrative and support services,2,56100,"['0', '  ']"
2735,r102,All business activities -> Waste management and remediation services,All business activities,Waste management and remediation services,2,56200,"['0', '  ']"
2735,r103,All business activities -> Offices of physicians,All business activities,Offices of physicians,2,62110,"['4', '  ']"
2735,r104,All business activities -> Medical and diagnostic laboratories,All business activities,Medical and diagnostic laboratories,2,62150,"['28', 'i ']"
2735,r105,"All business activities -> Other ambulatory health care services (ambulance, dental, home health care)",All business activities,"Other ambulatory health care services (ambulance, dental, home health care)",2,62199,"['0', '  ']"
2735,r106,All business activities -> Hospitals and nursing care facilities,All business activities,Hospitals and nursing care facilities,2,62200,"['2', '  ']"
2735,r107,All business activities -> Social assistance services,All business activities,Social assistance services,2,62400,"['* ', '  ']"
2735,r108,"All business activities -> Arts, entertainment, and recreation",All business activities,"Arts, entertainment, and recreation",2,71000,"['* ', '  ']"
2735,r109,All business activities -> Accommodation and food services,All business activities,Accommodation and food services,2,72000,"['0', '  ']"
2735,r110,All business activities -> Other services (not listed elsewhere),All business activities,Other services (not listed elsewhere),2,81000,"['94', '  ']"
2735,r111,All business activities -> Undistributed,All business activities,Undistributed,2,–,"['419', 'i ']"
