table_id,row_id,research_priority_type_of_position_and_degree_field_full_path,research_priority_type_of_position_and_degree_field_level_1,research_priority_type_of_position_and_degree_field_level_2,research_priority_type_of_position_and_degree_field_level_3,research_priority_type_of_position_and_degree_field_level_4,research_priority_type_of_position_and_degree_field_level_5,research_priority_type_of_position_and_degree_field_hierarchy_depth,field_2003,field_2006,field_2008,field_2010,field_2013,field_2015,field_2017,field_2019,field_2021
9329,r001,All positions,All positions,,,,,1,259.5,272.8,276.5,294.8,309.0,329.3,326.6,350.4,347.2
9329,r002,All positions -> Physical sciences,All positions,Physical sciences,,,,2,39.9,39.6,39.9,43.7,44.9,48.4,46.9,50.5,48.1
9329,r003,All positions -> Mathematics and statistics,All positions,Mathematics and statistics,,,,2,16.7,17.4,18.0,18.7,19.0,20.9,20.6,21.7,20.8
9329,r004,All positions -> Computer and information sciences,All positions,Computer and information sciences,,,,2,5.2,5.8,6.9,7.3,8.4,9.1,8.9,10.9,11.8
9329,r005,All positions -> Life sciences,All positions,Life sciences,,,,2,90.0,95.5,94.2,102.0,109.8,112.7,112.6,118.8,119.6
9329,r006,All positions -> Psychology,All positions,Psychology,,,,2,31.8,35.0,34.5,35.4,36.3,38.7,38.0,39.9,38.8
9329,r007,All positions -> Social sciences,All positions,Social sciences,,,,2,48.1,50.0,52.5,54.9,55.9,59.7,59.9,64.4,61.4
9329,r008,All positions -> Engineering,All positions,Engineering,,,,2,27.8,29.6,30.4,32.8,34.7,39.7,39.8,44.1,46.8
9329,r009,All positions -> Full-time faculty,All positions,Full-time faculty,,,,2,190.6,193.1,199.1,206.9,214.4,227.7,223.4,246.8,243.4
9329,r010,All positions -> Full-time faculty -> Physical sciences,All positions,Full-time faculty,Physical sciences,,,3,27.7,26.9,27.5,29.3,29.5,31.1,29.7,33.5,31.3
9329,r011,All positions -> Full-time faculty -> Mathematics and statistics,All positions,Full-time faculty,Mathematics and statistics,,,3,14.0,14.0,14.8,15.1,15.5,16.8,16.3,17.3,16.5
9329,r012,All positions -> Full-time faculty -> Computer and information sciences,All positions,Full-time faculty,Computer and information sciences,,,3,4.2,4.9,5.6,5.7,6.4,7.1,7.1,8.7,9.6
9329,r013,All positions -> Full-time faculty -> Life sciences,All positions,Full-time faculty,Life sciences,,,3,61.7,62.8,63.5,66.7,70.5,70.8,70.0,76.6,76.7
9329,r014,All positions -> Full-time faculty -> Psychology,All positions,Full-time faculty,Psychology,,,3,21.5,23.2,23.0,23.4,24.1,26.0,26.3,28.0,27.7
9329,r015,All positions -> Full-time faculty -> Social sciences,All positions,Full-time faculty,Social sciences,,,3,39.6,39.2,42.0,43.2,43.6,46.7,46.0,50.1,46.4
9329,r016,All positions -> Full-time faculty -> Engineering,All positions,Full-time faculty,Engineering,,,3,21.9,22.1,22.7,23.4,25.0,29.2,28.2,32.6,35.3
9329,r017,All positions -> Research as primary or secondary activity,All positions,Research as primary or secondary activity,,,,2,,,,,,,,,
9329,r018,All positions -> Research as primary or secondary activity -> All positions,All positions,Research as primary or secondary activity,All positions,,,3,179.3,183.7,187.1,198.2,201.7,220.8,217.3,233.6,236.1
9329,r019,All positions -> Research as primary or secondary activity -> All positions -> Physical sciences,All positions,Research as primary or secondary activity,All positions,Physical sciences,,4,28.2,26.9,26.8,28.9,29.5,32.8,30.7,33.3,32.4
