table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_level_3,agency_level_4,agency_level_5,agency_hierarchy_depth,field_total,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_engineering,field_other_fields
10268,r001,All agencies,All agencies,,,,,1,100594656,3665177,823525,31701993,269168,3608794,401193,133015,48022467,11969324
10268,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,,
10268,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,248877,6225,1458,65103,0,1523,0,11471,3198,159900
10268,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,7484,0,0,7484,0,0,0,0,0,0
10268,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,159900,0,0,0,0,0,0,0,0,159900
10268,r006,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,21217,0,0,21217,0,0,0,0,0,0
10268,r007,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,55136,1085,1458,36402,0,1523,0,11471,3198,0
10268,r008,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,5140,5140,0,0,0,0,0,0,0,0
10268,r009,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,282525,4515,135891,75677,593,7276,0,40186,11720,6667
10268,r010,All agencies -> Departments -> Department of Commerce -> Census Bureau,All agencies,Departments,Department of Commerce,Census Bureau,,4,38560,3895,0,0,0.05,0,0,34640,0,0
