table_id,row_id,ffrdc_full_path,ffrdc_level_1,ffrdc_level_2,ffrdc_level_3,ffrdc_hierarchy_depth,field_2016,field_2017,field_2018,field_2019,field_2020,field__change_2019_20
4839,r001,All FFRDCs,All FFRDCs,,,1,19219702,20038307,21171529,22737500,23514241,3.4
4839,r002,All FFRDCs -> University-administered FFRDCs,All FFRDCs,University-administered FFRDCs,,2,5669908,6155252,6715338,6946262,7003132,0.8
4839,r003,All FFRDCs -> University-administered FFRDCs -> Ames Laboratory,All FFRDCs,University-administered FFRDCs,Ames Laboratory,3,46886,53527,36858,33612,32844,-2.3
4839,r004,All FFRDCs -> University-administered FFRDCs -> Argonne National Laboratory,All FFRDCs,University-administered FFRDCs,Argonne National Laboratory,3,733377,723824,777246,810693,859658,6.0
4839,r005,All FFRDCs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,323507,320516,328419,334258,300002,-10.2
4839,r006,All FFRDCs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,University-administered FFRDCs,Jet Propulsion Laboratory,3,1852369,2324826,2733908,2709063,2638412,-2.6
4839,r007,All FFRDCs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,797831,813267,832457,872237,916082,5.0
4839,r008,All FFRDCs -> University-administered FFRDCs -> Lincoln Laboratory,All FFRDCs,University-administered FFRDCs,Lincoln Laboratory,3,949138,969090,1013320,1103870,1115927,1.1
4839,r009,All FFRDCs -> University-administered FFRDCs -> National Center for Atmospheric Research,All FFRDCs,University-administered FFRDCs,National Center for Atmospheric Research,3,177422,171551,158260,199476,188484,-5.5
4839,r010,All FFRDCs -> University-administered FFRDCs -> National Radio Astronomy Observatory,All FFRDCs,University-administered FFRDCs,National Radio Astronomy Observatory,3,90411,91720,100691,101901,100078,-1.8
4839,r011,All FFRDCs -> University-administered FFRDCs -> National Solar Observatory,All FFRDCs,University-administered FFRDCs,National Solar Observatory,3,12783,11841,14733,15931,16892,6.0
4839,r012,All FFRDCs -> University-administered FFRDCs -> NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),All FFRDCs,University-administered FFRDCs,NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),3,24917,25906,33874,38262,72686,90.0
4839,r013,All FFRDCs -> University-administered FFRDCs -> Princeton Plasma Physics Laboratory,All FFRDCs,University-administered FFRDCs,Princeton Plasma Physics Laboratory,3,82246,81444,82435,91271,107662,18.0
4839,r014,All FFRDCs -> University-administered FFRDCs -> SLAC National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,SLAC National Accelerator Laboratory,3,313031,327453,341615,368938,382264,3.6
