table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2021_actual,field_2022_preliminarya,field_2023_proposed,field_2021_22_change_,field_2022_23_change_
8450,r001,R&D and R&D plant,R&D and R&D plant,,,,,,1,4529,8036,9331,77.4,16.1
8450,r002,R&D and R&D plant -> Energy supply (271),R&D and R&D plant,Energy supply (271),,,,,2,4446,7929,9232,78.3,16.4
8450,r003,R&D and R&D plant -> Energy supply (271) ->    Department of Energy,R&D and R&D plant,Energy supply (271),   Department of Energy,,,,3,4429,7888,9216,78.1,16.8
8450,r004,R&D and R&D plant -> Energy supply (271) ->    Department of Energy -> Energy programs,R&D and R&D plant,Energy supply (271),   Department of Energy,Energy programs,,,4,3999,5528,6631,38.2,20.0
8450,r005,R&D and R&D plant -> Energy supply (271) ->    Department of Energy -> Energy programs -> Energy efficiency and renewable energy,R&D and R&D plant,Energy supply (271),   Department of Energy,Energy programs,Energy efficiency and renewable energy,,5,1973,2945,3472,49.3,17.9
8450,r006,R&D and R&D plant -> Energy supply (271) ->    Department of Energy -> Energy programs -> Fossil energy and carbon management<sup>b</sup>,R&D and R&D plant,Energy supply (271),   Department of Energy,Energy programs,Fossil energy and carbon management<sup>b</sup>,,5,720,1239,1360,72.1,9.8
8450,r007,R&D and R&D plant -> Energy supply (271) ->    Department of Energy -> Energy programs -> Nuclear energy,R&D and R&D plant,Energy supply (271),   Department of Energy,Energy programs,Nuclear energy,,5,1067,1067,1442,0.0,35.1
8450,r008,R&D and R&D plant -> Energy supply (271) ->    Department of Energy -> Energy programs -> Electricity delivery,R&D and R&D plant,Energy supply (271),   Department of Energy,Energy programs,Electricity delivery,,5,166,166,235,0.0,41.6
8450,r009,"R&D and R&D plant -> Energy supply (271) ->    Department of Energy -> Energy programs -> Cybersecurity, Energy Security, and Emergency Response",R&D and R&D plant,Energy supply (271),   Department of Energy,Energy programs,"Cybersecurity, Energy Security, and Emergency Response",,5,73,111,122,52.1,9.9
8450,r010,R&D and R&D plant -> Energy supply (271) ->    Department of Energy -> Advanced Research Projects Agency-Energy (ARPA-E),R&D and R&D plant,Energy supply (271),   Department of Energy,Advanced Research Projects Agency-Energy (ARPA-E),,,4,427,427,700,0.0,63.9
8450,r011,R&D and R&D plant -> Energy supply (271) ->    Department of Energy -> Clean Energy Demonstration,R&D and R&D plant,Energy supply (271),   Department of Energy,Clean Energy Demonstration,,,4,0,1931,1883,-,-2.5
