table_id,row_id,_b_uarc_b_full_path,_b_uarc_b_level_1,_b_uarc_b_level_2,_b_uarc_b_hierarchy_depth,field_total,field_dhs,field_dod,field_doe,field_dot,field_epa,field_hhs_,field_nasa,field_usda
10841,r001,All UARCs,All UARCs,,1,1572684,19995,988713,153369,9659,750,20498,346705,32995
10841,r002,"All UARCs -> Georgia Institute of Technology, Georgia Tech Research Institute",All UARCs,"Georgia Institute of Technology, Georgia Tech Research Institute",2,85620,0,67480,16606,0,750,0,0,783
10841,r003,All UARCs -> Johns Hopkins University Applied Physics Laboratory,All UARCs,Johns Hopkins University Applied Physics Laboratory,2,814244,0,454502,8232,0,0,14435,337074,0
10841,r004,All UARCs -> Massachusetts Institute of Technology Institute for Soldier Nanotechnologies,All UARCs,Massachusetts Institute of Technology Institute for Soldier Nanotechnologies,2,192750,0,150322,42429,0,0,0,0,0
10841,r005,All UARCs -> Pennsylvania State University Applied Research Laboratory,All UARCs,Pennsylvania State University Applied Research Laboratory,2,96361,0,65114,17717,0,0,355,0,13174
10841,r006,All UARCs -> Stevens Institute of Technology Systems Engineering Research Center,All UARCs,Stevens Institute of Technology Systems Engineering Research Center,2,11842,0,10392,1150,0,0,0,0,300
10841,r007,All UARCs -> University of Alaska Geophysical Detection of Nuclear Proliferation,All UARCs,University of Alaska Geophysical Detection of Nuclear Proliferation,2,380,0,0,380,0,0,0,0,0
10841,r008,"All UARCs -> University of California, Santa Barbara Institute for Collaborative Biotechnologies",All UARCs,"University of California, Santa Barbara Institute for Collaborative Biotechnologies",2,52945,0,40169,10751,0,0,1175,0,850
10841,r009,"All UARCs -> University of Hawaii, Manoa Applied Research Laboratory",All UARCs,"University of Hawaii, Manoa Applied Research Laboratory",2,1282,0,1282,0,0,0,0,0,0
10841,r010,All UARCs -> University of Maryland College Park Applied Research Laboratory for Intelligence and Security,All UARCs,University of Maryland College Park Applied Research Laboratory for Intelligence and Security,2,53330,0,47342,6,0,0,16,0,5966
10841,r011,All UARCs -> University of Nebraska National Strategic Research Institute,All UARCs,University of Nebraska National Strategic Research Institute,2,41259,19995,6182,6194,0,0,554,0,8335
10841,r012,All UARCs -> University of Southern California Institute for Creative Technologies,All UARCs,University of Southern California Institute for Creative Technologies,2,41085,0,38890,2195,0,0,0,0,0
10841,r013,All UARCs -> University of Texas at Austin Applied Research Laboratories,All UARCs,University of Texas at Austin Applied Research Laboratories,2,85938,0,60420,24520,0,0,0,997,0
10841,r014,All UARCs -> University of Washington Applied Physics Laboratory,All UARCs,University of Washington Applied Physics Laboratory,2,49520,0,11931,22710,9659,0,3964,0,1257
10841,r015,All UARCs -> Utah State University Space Dynamics Laboratory,All UARCs,Utah State University Space Dynamics Laboratory,2,46129,0,34687,478,0,0,0,8634,2330
