table_id,row_id,primary_industry_code_pitchbook_,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10580,r001,Accessories,1,1,2,2,2,4,7,12,17,14,22,26,31,36,27,37,41,39,47,29
10580,r002,"Accounting, audit and tax services (B2B)",3,3,3,5,2,2,2,3,-,-,2,2,5,5,5,7,6,5,11,18
10580,r003,"Accounting, audit and tax services (B2C)",-,1,1,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,2,1
10580,r004,Aerospace and defense,7,6,8,9,17,13,9,7,11,11,18,24,26,40,40,66,52,64,102,99
10580,r005,Agricultural chemicals,3,3,4,4,7,5,3,3,9,18,14,19,18,15,19,15,19,20,25,24
10580,r006,Air,-,2,-,4,3,3,2,2,1,5,3,5,11,7,9,10,9,12,21,15
10580,r007,Alternative energy equipment,5,10,15,23,51,57,49,74,73,61,44,47,36,42,35,33,36,39,71,59
10580,r008,Aluminum mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-
10580,r009,Animal husbandry,-,-,-,-,-,-,-,-,-,-,2,3,4,5,6,4,4,3,4,3
10580,r010,Animal textiles,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,1
10580,r011,Application software,57,62,72,96,112,144,113,172,200,267,331,320,227,113,81,50,50,58,88,123
10580,r012,Application specific semiconductors,38,54,65,56,51,41,38,44,46,33,46,40,45,37,56,56,45,53,45,39
10580,r013,Aquaculture,-,-,-,2,3,2,2,2,1,3,2,5,3,4,6,8,5,7,9,10
10580,r014,Asset management,2,1,4,2,3,1,5,5,6,8,9,8,16,7,15,14,18,11,22,14
10580,r015,Automation/workflow software,37,36,35,31,34,34,21,17,31,23,41,31,29,19,6,3,11,12,25,27
10580,r016,Automotive,6,6,5,8,14,18,18,21,26,32,40,76,70,85,105,112,117,107,129,114
10580,r017,Automotive insurance,-,1,1,-,-,-,-,-,1,1,3,3,2,7,7,7,6,9,16,10
10580,r018,Beverages,10,10,8,7,12,10,5,8,11,13,66,78,105,108,134,183,187,184,263,236
10580,r019,Biotechnology,4,5,6,6,16,18,13,25,34,42,192,213,211,227,246,244,222,282,362,346
10580,r020,BPO/outsource services,60,91,81,97,129,112,129,142,138,169,15,9,8,9,6,5,7,8,8,5
10580,r021,"Broadcasting, radio and television",5,6,7,10,20,16,18,12,12,22,22,24,17,7,18,15,23,12,12,18
10580,r022,Brokerage,2,2,3,1,2,1,2,-,4,3,6,9,5,8,7,7,6,5,17,13
10580,r023,Building products,1,4,1,5,5,8,6,7,5,10,12,9,20,-,11,6,11,6,16,12
10580,r024,Buildings and property,1,1,1,-,-,2,2,5,5,8,12,7,10,14,12,17,17,13,18,15
10580,r025,Business equipment and supplies,2,-,1,1,1,1,2,2,1,1,2,2,3,2,3,1,2,2,2,2
10580,r026,Business/productivity software,202,251,288,287,363,438,420,517,699,902,1190,1415,1581,1574,1818,1993,2211,2167,3001,2793
10580,r027,Cable service providers,5,5,4,3,4,3,3,3,5,1,-,1,3,-,1,-,-,-,-,-
10580,r028,Casinos and gaming,-,-,1,-,1,1,-,2,2,3,3,2,4,1,3,2,2,2,2,4
10580,r029,Catalog retail,1,1,-,-,1,-,1,1,-,1,-,-,-,-,-,-,1,-,1,-
10580,r030,Clinics/outpatient services,7,7,14,21,18,19,12,21,30,28,42,46,62,70,83,106,147,166,235,231
10580,r031,Clothing,2,4,7,2,7,11,19,9,21,45,69,65,84,63,78,97,107,67,102,89
10580,r032,Coal and consumable fuels equipment,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,1,1,-,1
10580,r033,Coal mining,-,-,1,2,1,2,-,-,1,3,-,1,-,1,-,-,1,-,1,1
