table_id,row_id,nativity_level_of_highest_degree_and_occupation_full_path,nativity_level_of_highest_degree_and_occupation_level_1,nativity_level_of_highest_degree_and_occupation_level_2,nativity_level_of_highest_degree_and_occupation_level_3,nativity_level_of_highest_degree_and_occupation_level_4,nativity_level_of_highest_degree_and_occupation_level_5,nativity_level_of_highest_degree_and_occupation_hierarchy_depth,field_2003,field_2010,field_2013,field_2015,field_2017,field_2019,field_2021
7787,r001,"All college graduates, all degrees, all occupations","All college graduates, all degrees, all occupations",,,,,1,32574000,40623000,43839000,45941000,48223000,50524000,51764000
7787,r002,"All college graduates, all degrees, all occupations -> S&E occupations","All college graduates, all degrees, all occupations",S&E occupations,,,,2,4588000,5374000,5766000,6407000,6769000,7466000,7894000
7787,r003,"All college graduates, all degrees, all occupations -> S&E occupations -> Biological, agricultural, and other life scientists","All college graduates, all degrees, all occupations",S&E occupations,"Biological, agricultural, and other life scientists",,,3,421000,602000,638000,631000,610000,698000,794000
7787,r004,"All college graduates, all degrees, all occupations -> S&E occupations -> Computer and mathematical scientists","All college graduates, all degrees, all occupations",S&E occupations,Computer and mathematical scientists,,,3,1930000,2396000,2653000,3156000,3419000,3774000,4031000
7787,r005,"All college graduates, all degrees, all occupations -> S&E occupations -> Physical and related scientists","All college graduates, all degrees, all occupations",S&E occupations,Physical and related scientists,,,3,298000,327000,324000,331000,366000,409000,408000
7787,r006,"All college graduates, all degrees, all occupations -> S&E occupations -> Social and related scientists","All college graduates, all degrees, all occupations",S&E occupations,Social and related scientists,,,3,477000,518000,596000,570000,646000,663000,712000
7787,r007,"All college graduates, all degrees, all occupations -> S&E occupations -> Engineers","All college graduates, all degrees, all occupations",S&E occupations,Engineers,,,3,1463000,1531000,1554000,1719000,1728000,1921000,1949000
7787,r008,"All college graduates, all degrees, all occupations -> S&E-related occupations","All college graduates, all degrees, all occupations",S&E-related occupations,,,,2,5155000,6966000,7508000,7867000,8271000,8893000,9522000
7787,r009,"All college graduates, all degrees, all occupations -> Non-S&E occupations","All college graduates, all degrees, all occupations",Non-S&E occupations,,,,2,22831000,28282000,30566000,31667000,33183000,34165000,34349000
7787,r010,"All college graduates, all degrees, all occupations -> Bachelor's","All college graduates, all degrees, all occupations",Bachelor's,,,,2,20365000,25354000,27802000,28509000,30131000,31373000,31688000
7787,r011,"All college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations","All college graduates, all degrees, all occupations",Bachelor's,S&E occupations,,,3,2529000,2980000,3288000,3518000,3846000,4176000,4438000
