table_id,row_id,_b_type_of_agreement_highest_degree_granted_and_institutional_control_b_full_path,_b_type_of_agreement_highest_degree_granted_and_institutional_control_b_level_1,_b_type_of_agreement_highest_degree_granted_and_institutional_control_b_level_2,_b_type_of_agreement_highest_degree_granted_and_institutional_control_b_level_3,_b_type_of_agreement_highest_degree_granted_and_institutional_control_b_level_4,_b_type_of_agreement_highest_degree_granted_and_institutional_control_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
3131,r001,All institutions,All institutions,,,,1,,,,,,,,,,
3131,r002,All institutions -> All externally funded R&D,All institutions,All externally funded R&D,,,2,49344078,52694073,52141609,52076758,51463714,51957808,53827775,56254534,58801958,62386645
3131,r003,All institutions -> All externally funded R&D -> Contracts,All institutions,All externally funded R&D,Contracts,,3,10830892,11058454,11415327,11590645,11604632,12081823,12234303,12901704,13489207,14583437
3131,r004,"All institutions -> All externally funded R&D -> Grants, reimbursements, and all other agreements",All institutions,All externally funded R&D,"Grants, reimbursements, and all other agreements",,3,38513186,41635619,40726282,40486113,39859082,39875985,41593472,43352830,45312751,47803208
3131,r005,All institutions -> Doctorate,All institutions,Doctorate,,,2,,,,,,,,,,
3131,r006,All institutions -> Doctorate -> All externally funded R&D,All institutions,Doctorate,All externally funded R&D,,3,48504214,51725752,51314264,51439912,50881747,51452527,52989371,55728348,58306102,61888264
3131,r007,All institutions -> Doctorate -> All externally funded R&D -> Contracts,All institutions,Doctorate,All externally funded R&D,Contracts,4,10667147,10875191,11271111,11494039,11513041,12015876,12064438,12845108,13431939,14509480
3131,r008,"All institutions -> Doctorate -> All externally funded R&D -> Grants, reimbursements, and all other agreements",All institutions,Doctorate,All externally funded R&D,"Grants, reimbursements, and all other agreements",4,37837067,40850561,40043153,39945873,39368706,39436651,40924933,42883240,44874163,47378784
3131,r009,All institutions -> Nondoctorate,All institutions,Nondoctorate,,,2,,,,,,,,,,
3131,r010,All institutions -> Nondoctorate -> All externally funded R&D,All institutions,Nondoctorate,All externally funded R&D,,3,839864,968321,827345,636846,581967,505281,838404,526186,495856,498381
3131,r011,All institutions -> Nondoctorate -> All externally funded R&D -> Contracts,All institutions,Nondoctorate,All externally funded R&D,Contracts,4,163745,183263,144216,96606,91591,65947,169865,56596,57268,73957
3131,r012,"All institutions -> Nondoctorate -> All externally funded R&D -> Grants, reimbursements, and all other agreements",All institutions,Nondoctorate,All externally funded R&D,"Grants, reimbursements, and all other agreements",4,676119,785058,683129,540240,490376,439334,668539,469590,438588,424424
3131,r013,All institutions -> Public,All institutions,Public,,,2,,,,,,,,,,
3131,r014,All institutions -> Public -> All externally funded R&D,All institutions,Public,All externally funded R&D,,3,31934135,34048019,33752723,33705035,33067468,33292859,34417297,35875239,37501626,39616504
3131,r015,All institutions -> Public -> All externally funded R&D -> Contracts,All institutions,Public,All externally funded R&D,Contracts,4,7153099,7274860,7507054,7835919,7698045,7963758,7936772,8363862,8876084,9549341
3131,r016,"All institutions -> Public -> All externally funded R&D -> Grants, reimbursements, and all other agreements",All institutions,Public,All externally funded R&D,"Grants, reimbursements, and all other agreements",4,24781036,26773159,26245669,25869116,25369423,25329101,26480525,27511377,28625542,30067163
3131,r017,All institutions -> Private,All institutions,Private,,,2,,,,,,,,,,
3131,r018,All institutions -> Private -> All externally funded R&D,All institutions,Private,All externally funded R&D,,3,17409943,18646054,18388886,18371723,18396246,18664949,19410478,20379295,21300332,22770141
3131,r019,All institutions -> Private -> All externally funded R&D -> Contracts,All institutions,Private,All externally funded R&D,Contracts,4,3677793,3783594,3908273,3754726,3906587,4118065,4297531,4537842,4613123,5034096
3131,r020,"All institutions -> Private -> All externally funded R&D -> Grants, reimbursements, and all other agreements",All institutions,Private,All externally funded R&D,"Grants, reimbursements, and all other agreements",4,13732150,14862460,14480613,14616997,14489659,14546884,15112947,15841453,16687209,17736045
