table_id,row_id,country_of_citizenship_full_path,country_of_citizenship_level_1,country_of_citizenship_level_2,country_of_citizenship_level_3,country_of_citizenship_hierarchy_depth,field_total_2011_17_number,field_total_2011_17_staying,field_2011_number,field_2011_staying,field_2012_number,field_2012_staying,field_2013_number,field_2013_staying,field_2014_number,field_2014_staying,field_2015_number,field_2015_staying,field_2016_number,field_2016_staying,field_2017_number,field_2017_staying
997,r001,All temporary visa holders,All temporary visa holders,,,1,109476,71.5,14235,70.1,14784,70.7,15674,70.1,15839,71.1,16130,71.3,16491,72.4,16323,74.2
997,r002,All temporary visa holders -> Africa,All temporary visa holders,Africa,,2,4349,67.4,511,64.2,572,66.3,610,65.2,648,66.8,649,66.4,656,70.6,703,71.0
997,r003,All temporary visa holders -> Africa -> Egypt,All temporary visa holders,Africa,Egypt,3,918,64.9,114,57.9,126,64.3,140,61.4,135,70.4,129,62.8,118,66.1,156,69.9
997,r004,All temporary visa holders -> Africa -> Ghana,All temporary visa holders,Africa,Ghana,3,487,70.4,55,70.9,55,67.3,58,70.7,62,77.4,83,65.1,87,70.1,87,72.4
997,r005,All temporary visa holders -> Africa -> Kenya,All temporary visa holders,Africa,Kenya,3,469,68.9,77,75.3,66,68.2,79,68.4,72,70.8,57,68.4,61,65.6,57,63.2
997,r006,All temporary visa holders -> Africa -> Nigeria,All temporary visa holders,Africa,Nigeria,3,578,81.1,51,84.3,67,77.6,65,87.7,87,82.8,83,75.9,112,83.9,113,77.9
997,r007,All temporary visa holders -> Africa -> Other,All temporary visa holders,Africa,Other,3,1897,63.3,214,57.0,258,63.6,268,59.7,292,57.2,297,65.3,278,68.3,290,70.0
997,r008,All temporary visa holders -> Americas,All temporary visa holders,Americas,,2,10370,56.4,1449,57.3,1471,56.0,1482,56.3,1542,55.6,1480,55.7,1503,57.5,1443,56.6
997,r009,All temporary visa holders -> Americas -> Argentina,All temporary visa holders,Americas,Argentina,3,524,59.5,110,62.7,85,58.8,81,49.4,67,64.2,64,53.1,65,61.5,52,69.2
997,r010,All temporary visa holders -> Americas -> Brazil,All temporary visa holders,Americas,Brazil,3,1067,50.7,151,41.7,163,46.6,142,46.5,139,50.4,149,50.3,156,56.4,167,61.7
997,r011,All temporary visa holders -> Americas -> Canada,All temporary visa holders,Americas,Canada,3,3121,56.7,455,55.8,423,58.4,485,55.5,488,55.1,454,56.6,408,56.6,408,59.3
997,r012,All temporary visa holders -> Americas -> Chile,All temporary visa holders,Americas,Chile,3,699,35.9,80,47.5,85,50.6,74,36.5,99,35.4,103,32.0,130,32.3,128,25.8
997,r013,All temporary visa holders -> Americas -> Colombia,All temporary visa holders,Americas,Colombia,3,1279,57.0,163,57.1,161,53.4,179,53.1,216,56.9,183,68.3,187,61.5,190,48.4
997,r014,All temporary visa holders -> Americas -> Mexico,All temporary visa holders,Americas,Mexico,3,1363,59.4,185,56.8,213,59.2,177,61.6,193,54.9,194,53.1,221,61.1,180,69.4
997,r015,All temporary visa holders -> Americas -> Venezuela,All temporary visa holders,Americas,Venezuela,3,232,80.2,37,91.9,28,67.9,40,82.5,40,82.5,29,75.9,27,88.9,31,67.7
997,r016,All temporary visa holders -> Americas -> Other,All temporary visa holders,Americas,Other,3,2085,60.1,268,64.9,313,56.5,304,64.1,300,59.7,304,57.6,309,61.2,287,57.5
997,r017,All temporary visa holders -> Asia,All temporary visa holders,Asia,,2,73431,76.4,9568,74.5,9978,74.8,10560,75.0,10752,75.8,10886,76.0,11028,78.1,10659,80.0
997,r018,All temporary visa holders -> Asia -> Bangladesh,All temporary visa holders,Asia,Bangladesh,3,986,86.4,77,83.1,86,88.4,107,78.5,139,83.5,154,87.7,185,90.3,238,88.2
997,r019,All temporary visa holders -> Asia -> China<sup>a</sup>,All temporary visa holders,Asia,China<sup>a</sup>,3,34458,81.9,3988,82.1,4222,82.6,4796,82.0,4982,81.3,5374,81.1,5532,80.9,5564,83.2
997,r020,All temporary visa holders -> Asia -> India,All temporary visa holders,Asia,India,3,15335,85.8,2165,84.6,2248,85.7,2204,84.3,2316,86.2,2229,84.6,2199,87.2,1974,88.6
997,r021,All temporary visa holders -> Asia -> Indonesia,All temporary visa holders,Asia,Indonesia,3,480,45.4,66,48.5,51,51.0,71,49.3,78,38.5,53,37.7,92,43.5,69,50.7
