table_id,row_id,sponsor,number
5810,r001,National Park Service,174
5810,r002,National Science Foundation,77
5810,r003,National Oceanic and Atmospheric Administration,60
5810,r004,U.S. Environmental Protection Agency,47
5810,r005,U.S. Geological Survey,44
5810,r006,U.S. Department of Agriculture,37
5810,r007,National Aeronautics and Space Administration,28
5810,r008,U.S. Forest Service,21
5810,r009,U.S. Fish and Wildlife Service ,16
5810,r010,Smithsonian Institution ,14
5810,r011,National Institutes of Health,12
5810,r012,Department of Energy,8
5810,r013,U.S. Department of the Interior,8
5810,r014,Centers for Disease Control and Prevention,7
5810,r015,Bureau of Land Management,4
5810,r016,All other U.S. federal projects,22
