table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_all_othersa
5240,r001,United States<sup>b</sup>,United States<sup>b</sup>,,1,2444981,607789,1837193
5240,r002,United States<sup>b</sup> -> New York,United States<sup>b</sup>,New York,2,453807,173176,280631
5240,r003,United States<sup>b</sup> -> Florida,United States<sup>b</sup>,Florida,2,184600,30383,154217
5240,r004,United States<sup>b</sup> -> South Carolina,United States<sup>b</sup>,South Carolina,2,46801,30291,16510
5240,r005,United States<sup>b</sup> -> Texas,United States<sup>b</sup>,Texas,2,205207,23193,182014
5240,r006,United States<sup>b</sup> -> California,United States<sup>b</sup>,California,2,533901,22658,511243
5240,r007,United States<sup>b</sup> -> Pennsylvania,United States<sup>b</sup>,Pennsylvania,2,103099,19656,83443
5240,r008,United States<sup>b</sup> -> Louisiana,United States<sup>b</sup>,Louisiana,2,32361,19452,12909
5240,r009,United States<sup>b</sup> -> Connecticut,United States<sup>b</sup>,Connecticut,2,58811,15874,42937
5240,r010,United States<sup>b</sup> -> Virginia,United States<sup>b</sup>,Virginia,2,35553,14999,20554
5240,r011,United States<sup>b</sup> -> Washington,United States<sup>b</sup>,Washington,2,57239,14747,42492
5240,r012,United States<sup>b</sup> -> Georgia,United States<sup>b</sup>,Georgia,2,15877,14101,1776
5240,r013,United States<sup>b</sup> -> Idaho,United States<sup>b</sup>,Idaho,2,21883,12620,9263
5240,r014,United States<sup>b</sup> -> Oregon,United States<sup>b</sup>,Oregon,2,30486,11979,18508
5240,r015,United States<sup>b</sup> -> Massachusetts,United States<sup>b</sup>,Massachusetts,2,31700,1140,20303
5240,r016,United States<sup>b</sup> -> North Carolina,United States<sup>b</sup>,North Carolina,2,35892,9126,26766
5240,r017,United States<sup>b</sup> -> Mississippi,United States<sup>b</sup>,Mississippi,2,10268,8768,1500
5240,r018,United States<sup>b</sup> -> Ohio,United States<sup>b</sup>,Ohio,2,76170,8464,67706
5240,r019,United States<sup>b</sup> -> Wisconsin,United States<sup>b</sup>,Wisconsin,2,14340,8359,5981
5240,r020,United States<sup>b</sup> -> Oklahoma,United States<sup>b</sup>,Oklahoma,2,30050,7922,22128
5240,r021,United States<sup>b</sup> -> Iowa,United States<sup>b</sup>,Iowa,2,12348,7734,4614
5240,r022,United States<sup>b</sup> -> Illinois,United States<sup>b</sup>,Illinois,2,16056,7642,8414
5240,r023,United States<sup>b</sup> -> Hawaii,United States<sup>b</sup>,Hawaii,2,11123,7331,3792
5240,r024,United States<sup>b</sup> -> Michigan,United States<sup>b</sup>,Michigan,2,11192,7184,4008
5240,r025,United States<sup>b</sup> -> Indiana,United States<sup>b</sup>,Indiana,2,9591,7127,2465
5240,r026,United States<sup>b</sup> -> West Virginia,United States<sup>b</sup>,West Virginia,2,10862,6903,3959
5240,r027,United States<sup>b</sup> -> Nebraska,United States<sup>b</sup>,Nebraska,2,32424,6818,25606
5240,r028,United States<sup>b</sup> -> Montana,United States<sup>b</sup>,Montana,2,13131,6778,6353
5240,r029,United States<sup>b</sup> -> Alabama,United States<sup>b</sup>,Alabama,2,25696,6775,18921
5240,r030,United States<sup>b</sup> -> Colorado,United States<sup>b</sup>,Colorado,2,34366,6660,27706
5240,r031,United States<sup>b</sup> -> Kansas,United States<sup>b</sup>,Kansas,2,13153,6613,6540
5240,r032,United States<sup>b</sup> -> Kentucky,United States<sup>b</sup>,Kentucky,2,26782,6274,20509
5240,r033,United States<sup>b</sup> -> Minnesota,United States<sup>b</sup>,Minnesota,2,20512,6272,14239
5240,r034,United States<sup>b</sup> -> Alaska,United States<sup>b</sup>,Alaska,2,15194,6144,9050
5240,r035,United States<sup>b</sup> -> Missouri,United States<sup>b</sup>,Missouri,2,14826,5750,9076
5240,r036,United States<sup>b</sup> -> Arkansas,United States<sup>b</sup>,Arkansas,2,19921,4966,14955
5240,r037,United States<sup>b</sup> -> Tennessee,United States<sup>b</sup>,Tennessee,2,7040,4792,2248
5240,r038,United States<sup>b</sup> -> New Mexico,United States<sup>b</sup>,New Mexico,2,5228,4239,989
5240,r039,United States<sup>b</sup> -> Maine,United States<sup>b</sup>,Maine,2,29036,4163,24873
5240,r040,United States<sup>b</sup> -> North Dakota,United States<sup>b</sup>,North Dakota,2,18065,4025,14040
5240,r041,United States<sup>b</sup> -> Maryland,United States<sup>b</sup>,Maryland,2,33407,4017,29390
5240,r042,United States<sup>b</sup> -> Arizona,United States<sup>b</sup>,Arizona,2,16011,3767,12244
5240,r043,United States<sup>b</sup> -> Wyoming,United States<sup>b</sup>,Wyoming,2,6391,3556,2836
5240,r044,United States<sup>b</sup> -> New Jersey,United States<sup>b</sup>,New Jersey,2,23755,3300,20455
5240,r045,United States<sup>b</sup> -> District of Columbia,United States<sup>b</sup>,District of Columbia,2,5861,2560,3301
5240,r046,United States<sup>b</sup> -> Rhode Island,United States<sup>b</sup>,Rhode Island,2,4594,1918,2676
5240,r047,United States<sup>b</sup> -> Utah,United States<sup>b</sup>,Utah,2,9205,1721,7484
5240,r048,United States<sup>b</sup> -> Nevada,United States<sup>b</sup>,Nevada,2,4765,1607,3158
5240,r049,United States<sup>b</sup> -> Delaware,United States<sup>b</sup>,Delaware,2,3598,1477,2121
5240,r050,United States<sup>b</sup> -> Vermont,United States<sup>b</sup>,Vermont,2,1670,1119,551
5240,r051,United States<sup>b</sup> -> South Dakota,United States<sup>b</sup>,South Dakota,2,2913,753,2161
5240,r052,United States<sup>b</sup> -> New Hampshire,United States<sup>b</sup>,New Hampshire,2,8222,640,7582
