table_id,row_id,core_based_statistical_area_cbsa_full_path,core_based_statistical_area_cbsa_level_1,core_based_statistical_area_cbsa_level_2,core_based_statistical_area_cbsa_hierarchy_depth,field_cbsa_code,field_total,field_paid_for_by_the_company,field_paid_for_by_others
8805,r001,All locations,All locations,,1,"['&nbsp;', '&nbsp;']","['537,619', '&nbsp;']","['466,162', '&nbsp;']","['71,457', '&nbsp;']"
8805,r002,"All locations -> San Jose-Sunnyvale-Santa Clara, CA",All locations,"San Jose-Sunnyvale-Santa Clara, CA",2,"['41940', '&nbsp;']","['83,119', '&nbsp;']","['78,190', '&nbsp;']","['4,930', '&nbsp;']"
8805,r003,"All locations -> San Francisco-Oakland-Hayward, CA",All locations,"San Francisco-Oakland-Hayward, CA",2,"['41860', '&nbsp;']","['61,710', '&nbsp;']","['59,379', '&nbsp;']","['2,332', '&nbsp;']"
8805,r004,"All locations -> Seattle-Tacoma-Bellevue, WA",All locations,"Seattle-Tacoma-Bellevue, WA",2,"['42660', '&nbsp;']","['40,126', '&nbsp;']","['39,163', '&nbsp;']","['963', '&nbsp;']"
8805,r005,"All locations -> New York-Newark-Jersey City, NY-NJ-PA",All locations,"New York-Newark-Jersey City, NY-NJ-PA",2,"['35620', '&nbsp;']","['34,534', '&nbsp;']","['30,993', '&nbsp;']","['3,542', '&nbsp;']"
8805,r006,"All locations -> Boston-Cambridge-Newton, MA-NH",All locations,"Boston-Cambridge-Newton, MA-NH",2,"['14460', '&nbsp;']","['30,066', '&nbsp;']","['25,285', '&nbsp;']","['4,781', '&nbsp;']"
8805,r007,"All locations -> Los Angeles-Long Beach-Anaheim, CA",All locations,"Los Angeles-Long Beach-Anaheim, CA",2,"['31080', '&nbsp;']","['24,112', '&nbsp;']","['17,205', 'i']","['6,907', '&nbsp;']"
8805,r008,"All locations -> Detroit-Warren-Dearborn, MI",All locations,"Detroit-Warren-Dearborn, MI",2,"['19820', '&nbsp;']","['16,326', '&nbsp;']","['14,211', '&nbsp;']","['2,115', 'i']"
8805,r009,"All locations -> San Diego-Carlsbad, CA",All locations,"San Diego-Carlsbad, CA",2,"['41740', '&nbsp;']","['14,674', '&nbsp;']","['12,391', '&nbsp;']","['2,283', 'i']"
8805,r010,"All locations -> Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",All locations,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2,"['37980', '&nbsp;']","['13,452', '&nbsp;']","['11,113', '&nbsp;']","['2,339', '&nbsp;']"
8805,r011,"All locations -> Chicago-Naperville-Elgin, IL-IN-WI",All locations,"Chicago-Naperville-Elgin, IL-IN-WI",2,"['16980', '&nbsp;']","['11,743', '&nbsp;']","['11,141', '&nbsp;']","['602', '&nbsp;']"
8805,r012,"All locations -> Portland-Vancouver-Hillsboro, OR-WA",All locations,"Portland-Vancouver-Hillsboro, OR-WA",2,"['38900', '&nbsp;']","['10,166', '&nbsp;']","['9,959', '&nbsp;']","['207', '&nbsp;']"
8805,r013,"All locations -> Austin-Round Rock, TX",All locations,"Austin-Round Rock, TX",2,"['12420', '&nbsp;']","['10,148', 'i']","['9,385', 'i']","['763', 'i']"
8805,r014,"All locations -> Dallas-Fort Worth-Arlington, TX",All locations,"Dallas-Fort Worth-Arlington, TX",2,"['19100', '&nbsp;']","['9,199', '&nbsp;']","['7,308', '&nbsp;']","['1,891', 'i']"
