table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_all_r_d_expenditures,field_intramural_performersa,field_extramural_performersb_total,field_extramural_performersb_academic_institutions,field_extramural_performersb_companies_and_individualsc,field_extramural_performersb_otherd
5216,r001,United States<sup>e</sup>,United States<sup>e</sup>,,,1,2444981212,692719374,1752261838,951571893,459984365,340705580
5216,r002,United States<sup>e</sup> -> Alabama,United States<sup>e</sup>,Alabama,,2,25695555,13704571,11990984,4956721,13600,7020663
5216,r003,"United States<sup>e</sup> -> Alabama -> Choctawhatchee, Pea and Yellow Rivers Watershed Management Authority",United States<sup>e</sup>,Alabama,"Choctawhatchee, Pea and Yellow Rivers Watershed Management Authority",3,4000,0,4000,0,0,4000
5216,r004,"United States<sup>e</sup> -> Alabama -> Commerce, Department of",United States<sup>e</sup>,Alabama,"Commerce, Department of",3,3000000,0,3000000,1000000,0,2000000
5216,r005,"United States<sup>e</sup> -> Alabama -> Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",United States<sup>e</sup>,Alabama,"Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",3,1930023,280032,1649991,1636391,13600,0
5216,r006,"United States<sup>e</sup> -> Alabama -> Education, Department of",United States<sup>e</sup>,Alabama,"Education, Department of",3,9755650,9104650,651000,0,0,651000
5216,r007,"United States<sup>e</sup> -> Alabama -> Forensic Sciences, Department of",United States<sup>e</sup>,Alabama,"Forensic Sciences, Department of",3,262993,262993,0,0,0,0
5216,r008,United States<sup>e</sup> -> Alabama -> Geological Survey,United States<sup>e</sup>,Alabama,Geological Survey,3,2470957,2470957,0,0,0,0
5216,r009,"United States<sup>e</sup> -> Alabama -> Marine Environmental Science Consortium, Dauphin Island Sea Lab",United States<sup>e</sup>,Alabama,"Marine Environmental Science Consortium, Dauphin Island Sea Lab",3,1585939,1585939,0,0,0,0
5216,r010,United States<sup>e</sup> -> Alabama -> Supercomputer Authority,United States<sup>e</sup>,Alabama,Supercomputer Authority,3,3028045,0,3028045,884266,0,2143779
5216,r011,"United States<sup>e</sup> -> Alabama -> Transportation, Department of",United States<sup>e</sup>,Alabama,"Transportation, Department of",3,3657948,0,3657948,1436064,0,2221884
5216,r012,United States<sup>e</sup> -> Alaska,United States<sup>e</sup>,Alaska,,2,15193507,10745451,4448056,1340349,3107707,0
5216,r013,"United States<sup>e</sup> -> Alaska -> Environmental Conservation, Department of ",United States<sup>e</sup>,Alaska,"Environmental Conservation, Department of ",3,474542,19763,454779,104349,350430,0
5216,r014,United States<sup>e</sup> -> Alaska -> Housing Finance Corporation,United States<sup>e</sup>,Alaska,Housing Finance Corporation,3,500000,0,500000,0,500000,0
5216,r015,"United States<sup>e</sup> -> Alaska -> Natural Resources, Department of; Division of Geological and Geophysical Surveys",United States<sup>e</sup>,Alaska,"Natural Resources, Department of; Division of Geological and Geophysical Surveys",3,8878600,8878600,0,0,0,0
5216,r016,United States<sup>e</sup> -> Alaska -> Railroad Corporation,United States<sup>e</sup>,Alaska,Railroad Corporation,3,3824365,1712088,2112277,0,2112277,0
5216,r017,"United States<sup>e</sup> -> Alaska -> Transportation and Public Facilities, Department of",United States<sup>e</sup>,Alaska,"Transportation and Public Facilities, Department of",3,1516000,135000,1381000,1236000,145000,0
5216,r018,United States<sup>e</sup> -> Arizona,United States<sup>e</sup>,Arizona,,2,16010502,1562435,14448067,7224814,813783,6409470
5216,r019,"United States<sup>e</sup> -> Arizona -> Agriculture, Department of",United States<sup>e</sup>,Arizona,"Agriculture, Department of",3,1220812,0,1220812,1081539,139273,0
5216,r020,United States<sup>e</sup> -> Arizona -> Game and Fish Department,United States<sup>e</sup>,Arizona,Game and Fish Department,3,1361376,1002814,358562,358562,0,0
5216,r021,"United States<sup>e</sup> -> Arizona -> Health Services, Department of",United States<sup>e</sup>,Arizona,"Health Services, Department of",3,11085857,0,11085857,5056722,0,6029135
5216,r022,"United States<sup>e</sup> -> Arizona -> Juvenile Corrections, Department of ",United States<sup>e</sup>,Arizona,"Juvenile Corrections, Department of ",3,559621,559621,0,0,0,0
5216,r023,"United States<sup>e</sup> -> Arizona -> Transportation, Department of",United States<sup>e</sup>,Arizona,"Transportation, Department of",3,1782836,0,1782836,727991,674510,380335
5216,r024,United States<sup>e</sup> -> Arkansas,United States<sup>e</sup>,Arkansas,,2,19921168,189018,19732150,19328641,398009,5500
5216,r025,"United States<sup>e</sup> -> Arkansas -> Agriculture, Department of",United States<sup>e</sup>,Arkansas,"Agriculture, Department of",3,251460,0,251460,251460,0,0
5216,r026,United States<sup>e</sup> -> Arkansas -> Beef Council,United States<sup>e</sup>,Arkansas,Beef Council,3,40223,0,40223,40223,0,0
5216,r027,United States<sup>e</sup> -> Arkansas -> Corn and Grain Sorghum Board,United States<sup>e</sup>,Arkansas,Corn and Grain Sorghum Board,3,965000,0,965000,965000,0,0
5216,r028,United States<sup>e</sup> -> Arkansas -> Economic Development Commission,United States<sup>e</sup>,Arkansas,Economic Development Commission,3,5446430,0,5446430,5152680,293750,0
