table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total_2017,field_total_2018,field_total_2019,field_total_2020,field_federally_financed_2017,field_federally_financed_2018,field_federally_financed_2019,field_federally_financed_2020
5432,r001,All institutions,All institutions,,1,-,"['2,155,727', '']","['2,206,653', '']","['2,327,359', '']","['2,434,467', '']","['1,549,492', '']","['1,570,749', '']","['1,657,797', '']","['1,736,916', '']"
5432,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['96,487', 'i']","['150,439', 'i']","['183,818', 'i']","['232,583', 'i']","['90,873', '']","['143,918', '']","['176,299', '']","['222,997', '']"
5432,r003,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,2,"['180,719', '']","['158,507', '']","['140,832', '']","['142,473', '']","['131,435', '']","['105,035', '']","['89,321', '']","['92,899', '']"
5432,r004,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,3,"['85,908', '']","['83,649', '']","['84,599', '']","['106,237', '']","['75,782', '']","['71,571', '']","['72,782', '']","['92,720', '']"
5432,r005,All institutions -> U. Rochester,All institutions,U. Rochester,2,4,"['84,767', '']","['88,866', '']","['106,277', '']","['95,695', '']","['80,662', '']","['84,512', '']","['102,405', '']","['90,436', '']"
5432,r006,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,5,"['43,282', '']","['54,531', '']","['66,848', '']","['69,967', '']","['38,697', '']","['49,962', '']","['62,321', '']","['64,624', '']"
5432,r007,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,6,"['38,677', '']","['44,584', '']","['52,798', '']","['66,169', '']","['24,191', '']","['24,028', '']","['25,547', '']","['32,298', '']"
5432,r008,All institutions -> Harvard U.,All institutions,Harvard U.,2,7,"['36,614', '']","['36,953', '']","['43,696', '']","['49,146', '']","['22,087', '']","['23,294', '']","['25,671', '']","['29,457', '']"
5432,r009,All institutions -> Stanford U.,All institutions,Stanford U.,2,8,"['33,393', '']","['35,411', '']","['49,051', '']","['48,826', '']","['22,419', '']","['23,263', '']","['35,992', '']","['32,816', '']"
5432,r010,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,9,"['55,226', '']","['44,041', '']","['43,880', '']","['48,695', '']","['44,924', '']","['34,614', '']","['33,496', '']","['38,758', '']"
