table_id,row_id,institution_full_path,institution_level_1,institution_level_2,institution_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_for_instruction_in_s_e,field_fellowships_traineeships_and_training_grants,field_general_support_for_s_e,field_other_s_e_activities
4358,r001,All institutions,All institutions,,1,26130,10963,0,0,9760,715,4693
4358,r002,All institutions -> Navajo Technical U.,All institutions,Navajo Technical U.,2,2961,1705,0,0,1006,0,250
4358,r003,All institutions -> Salish Kootenai C.,All institutions,Salish Kootenai C.,2,2768,919,0,0,1621,0,228
4358,r004,All institutions -> Cankdeska Cikana Community C.,All institutions,Cankdeska Cikana Community C.,2,2315,1046,0,0,1144,0,125
4358,r005,All institutions -> Northwest Indian C.,All institutions,Northwest Indian C.,2,2147,1728,0,0,236,0,182
4358,r006,All institutions -> United Tribes Technical C.,All institutions,United Tribes Technical C.,2,1420,1162,0,0,134,0,125
4358,r007,All institutions -> C. of Menominee Nation,All institutions,C. of Menominee Nation,2,1401,594,0,0,758,0,50
4358,r008,All institutions -> Oglala Lakota C.,All institutions,Oglala Lakota C.,2,1378,484,0,0,570,0,325
4358,r009,All institutions -> Chief Dull Knife C.,All institutions,Chief Dull Knife C.,2,1086,335,0,0,426,0,325
4358,r010,All institutions -> Dine C.,All institutions,Dine C.,2,915,200,0,0,0,715,0
4358,r011,All institutions -> Southwestern Indian Polytechnic Institute,All institutions,Southwestern Indian Polytechnic Institute,2,806,410,0,0,304,0,92
4358,r012,All institutions -> All other tribal colleges and universities,All institutions,All other tribal colleges and universities,2,8933,2380,0,0,3562,0,2991
