table_id,row_id,_b_type_of_performer_and_type_of_agreement_b_full_path,_b_type_of_performer_and_type_of_agreement_b_level_1,_b_type_of_performer_and_type_of_agreement_b_level_2,_b_type_of_performer_and_type_of_agreement_b_level_3,_b_type_of_performer_and_type_of_agreement_b_level_4,_b_type_of_performer_and_type_of_agreement_b_level_5,_b_type_of_performer_and_type_of_agreement_b_hierarchy_depth,field_2021,field_2022,field__change_fy_2021_22
11321,r001,Obligations for R&D and R&D plant,Obligations for R&D and R&D plant,,,,,1,193896,196595,1.4
11321,r002,Obligations for R&D and R&D plant -> R&D,Obligations for R&D and R&D plant,R&D,,,,2,189614,190422,0.4
11321,r003,Obligations for R&D and R&D plant -> R&D -> Performer,Obligations for R&D and R&D plant,R&D,Performer,,,3,,,
11321,r004,Obligations for R&D and R&D plant -> R&D -> Performer -> Intramural<sup>a</sup>,Obligations for R&D and R&D plant,R&D,Performer,Intramural<sup>a</sup>,,4,87617,86161,-1.7
11321,r005,Obligations for R&D and R&D plant -> R&D -> Performer -> Extramural<sup>b</sup>,Obligations for R&D and R&D plant,R&D,Performer,Extramural<sup>b</sup>,,4,101997,104263,2.2
11321,r006,Obligations for R&D and R&D plant -> R&D -> Performer -> Extramural<sup>b</sup> -> Contracts and other transactions,Obligations for R&D and R&D plant,R&D,Performer,Extramural<sup>b</sup>,Contracts and other transactions,5,50971,51882,1.8
11321,r007,Obligations for R&D and R&D plant -> R&D -> Performer -> Extramural<sup>b</sup> -> Grants and cooperative agreements,Obligations for R&D and R&D plant,R&D,Performer,Extramural<sup>b</sup>,Grants and cooperative agreements,5,51026,52379,2.7
11321,r008,Obligations for R&D and R&D plant -> R&D plant,Obligations for R&D and R&D plant,R&D plant,,,,2,4282,6173,44.2
11321,r009,Obligations for R&D and R&D plant -> R&D plant -> Performer,Obligations for R&D and R&D plant,R&D plant,Performer,,,3,,,
11321,r010,Obligations for R&D and R&D plant -> R&D plant -> Performer -> Intramural<sup>a</sup>,Obligations for R&D and R&D plant,R&D plant,Performer,Intramural<sup>a</sup>,,4,2902,4533,56.2
11321,r011,Obligations for R&D and R&D plant -> R&D plant -> Performer -> Extramural<sup>b</sup>,Obligations for R&D and R&D plant,R&D plant,Performer,Extramural<sup>b</sup>,,4,1379,1640,18.9
11321,r012,Obligations for R&D and R&D plant -> R&D plant -> Performer -> Extramural<sup>b</sup> -> Contracts and other transactions,Obligations for R&D and R&D plant,R&D plant,Performer,Extramural<sup>b</sup>,Contracts and other transactions,5,824,1015,23.2
11321,r013,Obligations for R&D and R&D plant -> R&D plant -> Performer -> Extramural<sup>b</sup> -> Grants and cooperative agreements,Obligations for R&D and R&D plant,R&D plant,Performer,Extramural<sup>b</sup>,Grants and cooperative agreements,5,556,626,12.5
