table_id,row_id,adult_characteristic_full_path,adult_characteristic_level_1,adult_characteristic_level_2,adult_characteristic_level_3,adult_characteristic_hierarchy_depth,field_average_number_of_hours_in_the_past_week_household_members_spent_on_teaching_activities_with_children,field_average_number_of_hours_in_the_past_week_students_spent_on_all_live_virtual_contact_with_their_teachers
4281,r001,Total,Total,,,1,13.0,4.2
4281,r002,Total -> Race or ethnicity,Total,Race or ethnicity,,2,,
4281,r003,Total -> Race or ethnicity -> White,Total,Race or ethnicity,White,3,13.1,5.0
4281,r004,Total -> Race or ethnicity -> Black,Total,Race or ethnicity,Black,3,13.5,3.6
4281,r005,Total -> Race or ethnicity -> Hispanic<sup>a</sup>,Total,Race or ethnicity,Hispanic<sup>a</sup>,3,12.9,5.0
4281,r006,Total -> Race or ethnicity -> Asian,Total,Race or ethnicity,Asian,3,9.9,5.6
4281,r007,Total -> Race or ethnicity -> Other or Two or more races,Total,Race or ethnicity,Other or Two or more races,3,13.9,3.5
4281,r008,Total -> Education attainment,Total,Education attainment,,2,,
4281,r009,Total -> Education attainment -> Less than high school,Total,Education attainment,Less than high school,3,11.3,2.6
4281,r010,Total -> Education attainment -> High school,Total,Education attainment,High school,3,12.6,4.1
4281,r011,Total -> Education attainment -> Some college or associate's degree,Total,Education attainment,Some college or associate's degree,3,12.9,4.4
4281,r012,Total -> Education attainment -> Bachelor's or higher degree,Total,Education attainment,Bachelor's or higher degree,3,13.9,4.7
