table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_level_3,_b_state_or_location_b_hierarchy_depth,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
6463,r045,All locations -> Texas,All locations,Texas,,2,5619.7,5234.2,4678.4,5574.5,5296.5,5318.9,4677.3,5067.5,6135.0
6463,r046,All locations -> Utah,All locations,Utah,,2,972.3,918.6,1221.8,1143.6,937.7,1057.5,1109.7,1301.1,1140.7
6463,r047,All locations -> Vermont,All locations,Vermont,,2,103.4,103.0,115.7,81.6,82.4,80.7,97.1,119.9,129.3
6463,r048,All locations -> Virginia,All locations,Virginia,,2,8130.0,6487.5,7651.7,7487.1,7383.6,6310.9,7187.2,8028.9,9650.2
6463,r049,All locations -> Washington,All locations,Washington,,2,2757.4,3433.5,3565.3,2361.7,2083.8,2623.7,2746.0,3195.3,3280.0
6463,r050,All locations -> West Virginia,All locations,West Virginia,,2,263.3,171.4,208.0,239.5,455.5,141.4,280.5,141.9,150.4
6463,r051,All locations -> Wisconsin,All locations,Wisconsin,,2,734.3,654.0,701.1,700.7,722.7,729.5,759.4,839.5,907.9
6463,r052,All locations -> Wyoming,All locations,Wyoming,,2,75.6,41.2,45.8,53.5,43.7,45.8,48.6,67.6,86.7
6463,r053,All locations -> Outlying areas,All locations,Outlying areas,,2,193.0,228.6,318.0,347.1,331.1,104.1,496.1,520.7,195.5
6463,r054,All locations -> Outlying areas -> Puerto Rico,All locations,Outlying areas,Puerto Rico,3,71.3,82.6,71.0,65.9,71.8,67.6,74.7,81.8,88.1
6463,r055,All locations -> Outlying areas -> Other areas<sup>a</sup>,All locations,Outlying areas,Other areas<sup>a</sup>,3,121.6,146.1,247.0,281.3,259.3,36.5,421.4,438.9,107.4
6463,r056,All locations -> Offices abroad<sup>b</sup>,All locations,Offices abroad<sup>b</sup>,,2,91.6,165.5,38.0,28.3,3.7,1.8,12.3,4.3,47.9
6463,r057,All locations -> Undistributed<sup>c</sup>,All locations,Undistributed<sup>c</sup>,,2,20468.0,15210.8,16728.5,15624.4,969.2,2593.9,1666.5,3073.1,1829.2
