table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_all_graduate_students_total_number,field_all_graduate_students_total_percent,field_all_graduate_students_full_time_all_full_time_number,field_all_graduate_students_full_time_all_full_time_percent,field_all_graduate_students_full_time_first_time_full_time_number,field_all_graduate_students_full_time_first_time_full_time_percent,field_all_graduate_students_part_time_number,field_all_graduate_students_part_time_percent,field_master_s_students_total_number,field_master_s_students_total_percent,field_master_s_students_full_time_all_full_time_number,field_master_s_students_full_time_all_full_time_percent,field_master_s_students_full_time_first_time_full_time_number,field_master_s_students_full_time_first_time_full_time_percent,field_master_s_students_part_time_number,field_master_s_students_part_time_percent,field_doctoral_students_total_number,field_doctoral_students_total_percent,field_doctoral_students_full_time_all_full_time_number,field_doctoral_students_full_time_all_full_time_percent,field_doctoral_students_full_time_first_time_full_time_number,field_doctoral_students_full_time_first_time_full_time_percent,field_doctoral_students_part_time_number,field_doctoral_students_part_time_percent
6089,r001,All detailed fields,All detailed fields,,,,1,697813,100.0,491515,100.0,143269,100.0,206298,100.0,414478,100.0,243859,100.0,102096,100.0,170619,100.0,283335,100.0,247656,100.0,41173,100.0,35679,100.0
6089,r002,All detailed fields -> Science,All detailed fields,Science,,,2,464646,66.6,330541,67.2,95699,66.8,134105,65.0,267904,64.6,155502,63.8,65885,64.5,112402,65.9,196742,69.4,175039,70.7,29814,72.4,21703,60.8
6089,r003,All detailed fields -> Science -> Agricultural and veterinary sciences,All detailed fields,Science,Agricultural and veterinary sciences,,3,10800,1.5,7271,1.5,1730,1.2,3529,1.7,6487,1.6,3731,1.5,1291,1.3,2756,1.6,4313,1.5,3540,1.4,439,1.1,773,2.2
6089,r004,All detailed fields -> Science -> Agricultural and veterinary sciences -> Agricultural sciences,All detailed fields,Science,Agricultural and veterinary sciences,Agricultural sciences,4,9380,1.3,6485,1.3,1526,1.1,2895,1.4,5589,1.3,3402,1.4,1157,1.1,2187,1.3,3791,1.3,3083,1.2,369,0.9,708,2.0
6089,r005,All detailed fields -> Science -> Agricultural and veterinary sciences -> Veterinary biomedical and clinical sciences,All detailed fields,Science,Agricultural and veterinary sciences,Veterinary biomedical and clinical sciences,4,1420,0.2,786,0.2,204,0.1,634,0.3,898,0.2,329,0.1,134,0.1,569,0.3,522,0.2,457,0.2,70,0.2,65,0.2
6089,r006,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,3,94825,13.6,77580,15.8,23141,16.2,17245,8.4,39920,9.6,26473,10.9,14311,14.0,13447,7.9,54905,19.4,51107,20.6,8830,21.4,3798,10.6
6089,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,4,5537,0.8,4950,1.0,1079,0.8,587,0.3,889,0.2,613,0.3,354,0.3,276,0.2,4648,1.6,4337,1.8,725,1.8,311,0.9
6089,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,4,15649,2.2,11094,2.3,3140,2.2,4555,2.2,8381,2.0,4504,1.8,2023,2.0,3877,2.3,7268,2.6,6590,2.7,1117,2.7,678,1.9
6089,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,4,10412,1.5,9357,1.9,4518,3.2,1055,0.5,5898,1.4,5097,2.1,3494,3.4,801,0.5,4514,1.6,4260,1.7,1024,2.5,254,0.7
6089,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,4,868,0.1,852,0.2,138,0.1,16,0.05,8,0.05,7,0.05,2,0.05,1,0.05,860,0.3,845,0.3,136,0.3,15,0.05
