table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_basic_research,field_applied_research,field_development
2716,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['377,806', '  ']","['22,312', '  ']","['53,229', '  ']","['302,264', '  ']"
2716,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['234,682', '  ']","['16,520', '  ']","['38,126', '  ']","['180,037', '  ']"
2716,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,412', '  ']","['416', 'i ']","['1,374', 'i ']","['2,621', '  ']"
2716,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,004', '  ']","['108', '  ']","['232', '  ']","['664', '  ']"
2716,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['986', '  ']","['55', '  ']","['82', '  ']","['849', '  ']"
2716,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['199', '  ']","['12', '  ']","['37', '  ']","['150', '  ']"
2716,r007,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['238', '  ']","['18', '  ']","['37', '  ']","['183', '  ']"
2716,r008,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['73,584', '  ']","['9,763', '  ']","['17,274', '  ']","['46,546', '  ']"
2716,r009,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['64,800', '  ']","['8,876', '  ']","['15,279', '  ']","['40,645', '  ']"
2716,r010,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['8,784', '  ']","['887', '  ']","['1,996', '  ']","['5,901', '  ']"
2716,r011,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['2,667', '  ']","['168', '  ']","['452', '  ']","['2,048', '  ']"
2716,r012,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,361', '  ']","['198', 'i ']","['299', 'i ']","['864', 'i ']"
2716,r013,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['817', '  ']","['38', '  ']","['119', '  ']","['659', '  ']"
2716,r014,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2,222', '  ']","['122', '  ']","['445', '  ']","['1,655', '  ']"
2716,r015,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['13,765', '  ']","['888', '  ']","['1,594', '  ']","['11,283', '  ']"
2716,r016,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['73,922', '  ']","['2,162', '  ']","['8,955', '  ']","['62,806', '  ']"
2716,r017,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['28,642', '  ']","['548', 'i ']","['3,188', 'i ']","['24,906', 'i ']"
2716,r018,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['10,864', '  ']","['790', 'i ']","['1,545', '  ']","['8,529', '  ']"
2716,r019,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['34,416', '  ']","['823', '  ']","['4,223', '  ']","['29,371', '  ']"
2716,r020,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['4,222', '  ']","['253', '  ']","['532', '  ']","['3,436', '  ']"
2716,r021,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['35,894', '  ']","['1,379', '  ']","['4,113', '  ']","['30,402', '  ']"
2716,r022,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['11,160', '  ']","['403', '  ']","['1,356', '  ']","['9,401', '  ']"
2716,r023,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['24,735', '  ']","['976', '  ']","['2,757', '  ']","['21,001', '  ']"
2716,r024,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['404', '  ']","['25', '  ']","['60', '  ']","['319', '  ']"
