table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total_r_d,field_basic_research,field_applied_research,field_experimental_development_total,field_experimental_development_advanced_technology,field_experimental_development_major_systems
3850,r001,All agencies,All agencies,,,,,1,142424206.6,40017257.6,41100526.5,61306422.5,na,na
3850,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,
3850,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,2637117.5,1056543.3,1350427.2,230147.0,na,na
3850,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,7710.5,0.0,3855.3,3855.3,na,na
3850,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,1292374.2,646187.1,516949.7,129237.4,na,na
3850,r006,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,39476.0,18812.2,0.0,20663.8,na,na
3850,r007,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,85626.4,0.0,85626.4,0.0,na,na
3850,r008,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,327174.4,84664.4,170325.6,72184.4,na,na
3850,r009,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,9469.1,0.0,5263.0,4206.1,na,na
3850,r010,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,871374.4,306879.6,564494.8,0.0,na,na
3850,r011,All agencies -> Departments -> Department of Agriculture -> Rural Business-Cooperative Service,All agencies,Departments,Department of Agriculture,Rural Business-Cooperative Service,,4,3912.5,0.0,3912.5,0.0,na,na
3850,r012,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,1534715.8,253176.4,1028763.0,252776.5,na,na
3850,r013,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,712349.7,253176.4,449790.2,9383.1,na,na
3850,r014,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,718863.6,0.0,541827.6,177036.0,na,na
3850,r015,All agencies -> Departments -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Departments,Department of Commerce,National Telecommunications and Information Administration,,4,7900.0,0.0,7900.0,0.0,na,na
3850,r016,All agencies -> Departments -> Department of Commerce -> U.S. Census Bureau,All agencies,Departments,Department of Commerce,U.S. Census Bureau,,4,95602.6,0.0,29245.2,66357.3,na,na
3850,r017,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,58779506.7,2510170.5,5758234.9,50511101.4,6923229.2,43587872.3
3850,r018,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,3320955.0,478318.0,1264987.0,1577650.0,1411522.0,166128.0
3850,r019,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,15076760.6,559429.2,1547457.8,12969873.5,836861.0,12133012.6
3850,r020,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,10274787.1,494668.0,1461518.3,8318600.8,1636954.0,6681646.8
3850,r021,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,15341234.6,655662.5,935022.4,13750549.8,1008189.3,12742360.5
3850,r022,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,14765769.4,322092.8,549249.3,13894427.3,2029702.9,11864724.4
3850,r023,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,235843.1,57276.0,131380.1,47187.0,na,na
3850,r024,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,14376397.6,5074534.1,6295185.2,3006678.3,na,na
3850,r025,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,404954.5,0.0,202477.3,202477.3,na,na
3850,r026,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,137744.0,14649.0,72345.0,50750.0,na,na
3850,r027,All agencies -> Departments -> Department of Energy -> Energy Efficiency and Renewable Energy,All agencies,Departments,Department of Energy,Energy Efficiency and Renewable Energy,,4,1695831.0,0.0,1270334.0,425497.0,na,na
