table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_hierarchy_depth,field_2021_actuala,field_2022_preliminaryb,field_2023_proposed
8443,r001,All functions conducting R&D,All functions conducting R&D,,1,3.5,3.6,3.8
8443,r002,All functions conducting R&D -> National defense,All functions conducting R&D,National defense,2,10.4,10.4,11.5
8443,r003,All functions conducting R&D -> Health,All functions conducting R&D,Health,2,4.5,5.4,5.8
8443,r004,"All functions conducting R&D -> Space flight, research, and supporting activities",All functions conducting R&D,"Space flight, research, and supporting activities",2,49.7,48.1,49.2
8443,r005,All functions conducting R&D -> General science and basic research,All functions conducting R&D,General science and basic research,2,90.5,90.8,86.9
8443,r006,All functions conducting R&D -> Energy,All functions conducting R&D,Energy,2,72.0,29.9,39.2
8443,r007,All functions conducting R&D -> Natural resources and environment,All functions conducting R&D,Natural resources and environment,2,9.8,10.2,10.6
8443,r008,All functions conducting R&D -> Agriculture,All functions conducting R&D,Agriculture,2,6.3,6.3,11.8
8443,r009,All functions conducting R&D -> Transportation,All functions conducting R&D,Transportation,2,1.6,1.5,1.7
8443,r010,All functions conducting R&D -> Veterans benefits and services,All functions conducting R&D,Veterans benefits and services,2,0.6,0.6,0.6
8443,r011,All functions conducting R&D -> Commerce and housing credit,All functions conducting R&D,Commerce and housing credit,2,0.1,0.1,0.1
8443,r012,"All functions conducting R&D -> Education, training, employment, and social services",All functions conducting R&D,"Education, training, employment, and social services",2,0.8,1.0,0.8
8443,r013,All functions conducting R&D -> Administration of justice,All functions conducting R&D,Administration of justice,2,1.4,1.9,1.3
8443,r014,All functions conducting R&D -> International affairs,All functions conducting R&D,International affairs,2,0.9,0.8,0.8
8443,r015,All functions conducting R&D -> Income security,All functions conducting R&D,Income security,2,0.1,0.1,0.1
8443,r016,All functions conducting R&D -> Community and regional development,All functions conducting R&D,Community and regional development,2,0.2,0.2,0.05
8443,r017,All functions conducting R&D -> Medicare,All functions conducting R&D,Medicare,2,0.05,0.05,0.05
