table_id,row_id,_b_research_degree_b_full_path,_b_research_degree_b_level_1,_b_research_degree_b_level_2,_b_research_degree_b_hierarchy_depth,field_degree_title,field_2016_number,field_2016_percent,field_2017_number,field_2017_percent,field_2018_number,field_2018_percent,field_2019_number,field_2019_percent,field_2020_number,field_2020_percent
4763,r001,All research doctorates ,All research doctorates ,,1,,54809,100.0,54552,100.0,55085,100.0,55614,100.0,55283,100.0
4763,r002,All research doctorates  -> PhD ,All research doctorates ,PhD ,2,Doctor of Philosophy ,53778,98.1,53471,98.0,54136,98.3,54712,98.4,54331,98.3
4763,r003,All research doctorates  -> EdD ,All research doctorates ,EdD ,2,Doctor of Education ,616,1.1,589,1.1,571,1.0,473,0.9,482,0.9
4763,r004,"All research doctorates  -> DSc, ScD",All research doctorates ,"DSc, ScD",2,Doctor of Science ,103,0.2,109,0.2,92,0.2,92,0.2,68,0.1
4763,r005,"All research doctorates  -> DEng, DESc, DES",All research doctorates ,"DEng, DESc, DES",2,Doctor of Engineering or Engineering Science,33,0.1,28,0.1,21,0.05,43,0.1,55,0.1
4763,r006,All research doctorates  -> DA ,All research doctorates ,DA ,2,Doctor of Arts ,7,0.05,4,0.05,5,0.05,1,0.05,1,0.05
4763,r007,All research doctorates  -> DBA ,All research doctorates ,DBA ,2,Doctor of Business Administration ,32,0.1,32,0.1,24,0.05,17,0.05,22,0.05
4763,r008,All research doctorates  -> DMA ,All research doctorates ,DMA ,2,Doctor of Musical Arts ,141,0.3,139,0.3,116,0.2,115,0.2,172,0.3
4763,r009,All research doctorates  -> DDes ,All research doctorates ,DDes ,2,Doctor of Design ,5,0.05,7,0.05,9,0.05,8,0.05,8,0.05
4763,r010,All research doctorates  -> DPH ,All research doctorates ,DPH ,2,Doctor of Public Health ,20,0.05,53,0.1,41,0.1,37,0.1,38,0.1
4763,r011,All research doctorates  -> DHL ,All research doctorates ,DHL ,2,Doctor of Hebrew Letters ,1,0.05,0,0.0,0,0.0,1,0.05,1,0.05
4763,r012,All research doctorates  -> DME ,All research doctorates ,DME ,2,Doctor of Music Education ,0,0.0,3,0.05,0,0.0,1,0.05,2,0.05
4763,r013,All research doctorates  -> DML ,All research doctorates ,DML ,2,Doctor of Modern Languages ,5,0.05,6,0.05,4,0.05,6,0.05,5,0.05
4763,r014,All research doctorates  -> DNSc ,All research doctorates ,DNSc ,2,Doctor of Nursing Science ,2,0.05,10,0.05,0,0.0,2,0.05,4,0.05
4763,r015,All research doctorates  -> ThD ,All research doctorates ,ThD ,2,Doctor of Theology ,14,0.05,23,0.05,11,0.05,11,0.05,3,0.05
4763,r016,All research doctorates  -> DFA ,All research doctorates ,DFA ,2,Doctor of Fine Arts ,2,0.05,4,0.05,3,0.05,2,0.05,1,0.05
4763,r017,"All research doctorates  -> JSD, SJD",All research doctorates ,"JSD, SJD",2,Doctor of Juridical Science ,45,0.1,67,0.1,50,0.1,91,0.2,84,0.2
4763,r018,All research doctorates  -> STD ,All research doctorates ,STD ,2,Doctor of Sacred Theology ,2,0.05,1,0.05,0,0.0,1,0.05,2,0.05
4763,r019,All research doctorates  -> JCD ,All research doctorates ,JCD ,2,Doctor of Canon Law ,2,0.05,6,0.05,2,0.05,1,0.05,4,0.05
4763,r020,All research doctorates  -> All other research doctorates<sup>a</sup>,All research doctorates ,All other research doctorates<sup>a</sup>,2,,1,0.05,0,0.0,0,0.0,0,0.0,0,0.0
