table_id,row_id,selected_industry_naics_code_and_company_size_full_path,selected_industry_naics_code_and_company_size_level_1,selected_industry_naics_code_and_company_size_level_2,selected_industry_naics_code_and_company_size_level_3,selected_industry_naics_code_and_company_size_level_4,selected_industry_naics_code_and_company_size_hierarchy_depth,field_totalb,field_used_for_domestic_r_da_totalb_c,field_used_for_domestic_r_da_land_acquisition,field_used_for_domestic_r_da_buildings_and_land_improvementd,field_used_for_domestic_r_da_equipment,field_used_for_domestic_r_da_capitalized_software,field_used_for_domestic_r_da_all_other_and_undistributede
5196,r001,"All industries, 21&#8211;33, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81",,,,1,"['706,717', '&nbsp;']","['41,684', '&nbsp;']","['729', '&nbsp;']","['4,764', '&nbsp;']","['18,570', '&nbsp;']","['11,228', '&nbsp;']","['6,393', '&nbsp;']"
5196,r002,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33",,,2,"['300,074', '&nbsp;']","['23,374', '&nbsp;']","['285', '&nbsp;']","['3,617', '&nbsp;']","['13,301', '&nbsp;']","['2,859', 'i']","['3,313', 'i']"
5196,r003,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",,3,"['62,984', '&nbsp;']","['5,672', '&nbsp;']","['76', '&nbsp;']","['2,071', '&nbsp;']","['2,612', '&nbsp;']","['307', '&nbsp;']","['607', '&nbsp;']"
5196,r004,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325 -> Pharmaceuticals and medicines, 3254","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325","Pharmaceuticals and medicines, 3254",4,"['22,055', '&nbsp;']","['4,466', '&nbsp;']","['75', '&nbsp;']","['1,613', '&nbsp;']","['1,974', '&nbsp;']","['270', '&nbsp;']","['533', '&nbsp;']"
5196,r005,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325 -> Other 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",Other 325,4,"['40,929', '&nbsp;']","['1,206', '&nbsp;']","['1', '&nbsp;']","['458', '&nbsp;']","['638', '&nbsp;']","['37', '&nbsp;']","['74', '&nbsp;']"
5196,r006,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Machinery, 333","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Machinery, 333",,3,"['13,079', '&nbsp;']","['989', '&nbsp;']","['1', '&nbsp;']","['98', '&nbsp;']","['620', '&nbsp;']","['135', '&nbsp;']","['135', '&nbsp;']"
5196,r007,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334",,3,"['37,367', 'i']","['8,699', 'i']","['20', 'i']","['528', '&nbsp;']","['5,370', 'i']","['1,615', 'i']","['1,166', 'i']"
5196,r008,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334 -> Communication equipment, 3342","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334","Communication equipment, 3342",4,"['3,330', '&nbsp;']","['1,181', 'i']","['0', '&nbsp;']","['88', 'i']","['538', '&nbsp;']","['41', 'i']","['514', 'i']"
5196,r009,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334 -> Semiconductor and other electronic products, 3344","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334","Semiconductor and other electronic products, 3344",4,"['19,361', 'i']","['5,174', 'i']","['10', 'i']","['87', 'i']","['3,282', 'i']","['1,257', 'i']","['538', 'i']"
5196,r010,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334 -> Other 334","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334",Other 334,4,"['14,676', '&nbsp;']","['2,344', '&nbsp;']","['10', '&nbsp;']","['353', '&nbsp;']","['1,550', '&nbsp;']","['317', '&nbsp;']","['114', '&nbsp;']"
