table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_total_number,field_total_percent,field_hispanic_or_latino_number,field_hispanic_or_latino_percent,field_not_hispanic_or_latino_american_indian_or_alaska_native_number,field_not_hispanic_or_latino_american_indian_or_alaska_native_percent,field_not_hispanic_or_latino_asian_number,field_not_hispanic_or_latino_asian_percent,field_not_hispanic_or_latino_black_or_african_american_number,field_not_hispanic_or_latino_black_or_african_american_percent,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_number,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_percent,field_not_hispanic_or_latino_white_number,field_not_hispanic_or_latino_white_percent,field_not_hispanic_or_latino_more_than_one_race_number,field_not_hispanic_or_latino_more_than_one_race_percent,field_unknown_ethnicity_and_race_number,field_unknown_ethnicity_and_race_percent,field_temporary_visa_holders_number,field_temporary_visa_holders_percent
3523,r001,All detailed fields,All detailed fields,,,,1,281889,100.0,17690,100.0,750,100.0,17543,100.0,10450,100.0,202,100.0,108709,100.0,6020,100.0,7770,100.0,112755,100.0
3523,r002,All detailed fields -> Science,All detailed fields,Science,,,2,193896,68.8,13863,78.4,624,83.2,11953,68.1,7454,71.3,160,79.2,82643,76.0,4563,75.8,5730,73.7,66906,59.3
3523,r003,All detailed fields -> Science -> Agricultural sciences,All detailed fields,Science,Agricultural sciences,,3,3889,1.4,166,0.9,10,1.3,107,0.6,102,1.0,2,1.0,1578,1.5,52,0.9,58,0.7,1814,1.6
3523,r004,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,3,53915,19.1,4633,26.2,156,20.8,4622,26.3,2060,19.7,55,27.2,25540,23.5,1437,23.9,1662,21.4,13750,12.2
3523,r005,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,4,4534,1.6,423,2.4,9,1.2,365,2.1,147,1.4,5,2.5,2058,1.9,135,2.2,86,1.1,1306,1.2
3523,r006,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,4,7166,2.5,603,3.4,19,2.5,440,2.5,226,2.2,1,0.5,3499,3.2,176,2.9,187,2.4,2015,1.8
3523,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,4,4579,1.6,404,2.3,13,1.7,419,2.4,241,2.3,7,3.5,2122,2.0,135,2.2,124,1.6,1114,1.0
3523,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,4,890,0.3,70,0.4,1,0.1,93,0.5,19,0.2,0,0.0,363,0.3,18,0.3,36,0.5,290,0.3
3523,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All detailed fields,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,4,3192,1.1,117,0.7,1,0.1,376,2.1,73,0.7,3,1.5,1029,0.9,70,1.2,117,1.5,1406,1.2
3523,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biotechnology,All detailed fields,Science,Biological and biomedical sciences,Biotechnology,4,98,0.05,8,0.05,0,0.0,12,0.1,3,0.05,0,0.0,50,0.05,2,0.05,1,0.05,22,0.05
3523,r011,All detailed fields -> Science -> Biological and biomedical sciences -> Botany and plant biology,All detailed fields,Science,Biological and biomedical sciences,Botany and plant biology,4,1295,0.5,105,0.6,4,0.5,62,0.4,29,0.3,1,0.5,579,0.5,29,0.5,38,0.5,448,0.4
3523,r012,"All detailed fields -> Science -> Biological and biomedical sciences -> Cell, cellular biology, and anatomical sciences",All detailed fields,Science,Biological and biomedical sciences,"Cell, cellular biology, and anatomical sciences",4,4975,1.8,516,2.9,14,1.9,481,2.7,157,1.5,5,2.5,2289,2.1,139,2.3,151,1.9,1223,1.1
3523,r013,All detailed fields -> Science -> Biological and biomedical sciences -> Ecology and population biology,All detailed fields,Science,Biological and biomedical sciences,Ecology and population biology,4,2571,0.9,221,1.2,6,0.8,92,0.5,70,0.7,4,2.0,1550,1.4,73,1.2,98,1.3,457,0.4
3523,r014,All detailed fields -> Science -> Biological and biomedical sciences -> Epidemiology,All detailed fields,Science,Biological and biomedical sciences,Epidemiology,4,1916,0.7,118,0.7,8,1.1,218,1.2,125,1.2,5,2.5,789,0.7,54,0.9,69,0.9,530,0.5
3523,r015,All detailed fields -> Science -> Biological and biomedical sciences -> Genetics,All detailed fields,Science,Biological and biomedical sciences,Genetics,4,2082,0.7,177,1.0,11,1.5,181,1.0,66,0.6,2,1.0,1069,1.0,50,0.8,50,0.6,476,0.4
3523,r016,All detailed fields -> Science -> Biological and biomedical sciences -> Microbiological sciences and immunology,All detailed fields,Science,Biological and biomedical sciences,Microbiological sciences and immunology,4,3937,1.4,369,2.1,13,1.7,361,2.1,160,1.5,3,1.5,2094,1.9,113,1.9,111,1.4,713,0.6
3523,r017,All detailed fields -> Science -> Biological and biomedical sciences -> Molecular biology,All detailed fields,Science,Biological and biomedical sciences,Molecular biology,4,1153,0.4,116,0.7,2,0.3,131,0.7,39,0.4,0,0.0,486,0.4,35,0.6,40,0.5,304,0.3
3523,r018,All detailed fields -> Science -> Biological and biomedical sciences -> Neurobiology and neuroscience,All detailed fields,Science,Biological and biomedical sciences,Neurobiology and neuroscience,4,5138,1.8,526,3.0,18,2.4,520,3.0,204,2.0,1,0.5,2661,2.4,168,2.8,182,2.3,858,0.8
