table_id,row_id,institution_full_path,institution_level_1,institution_level_2,institution_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_for_instruction_in_s_e,field_fellowships_traineeships_and_training_grants,field_general_support_for_s_e,field_other_s_e_activities
4354,r001,All institutions,All institutions,,1,38084768,35125460,593659,6103,1802625,96093,460828
4354,r002,All institutions -> Johns Hopkins U.,All institutions,Johns Hopkins U.,2,1892204,1856091,3012,0,30180,1240,1682
4354,r003,All institutions -> U. Washington,All institutions,U. Washington,2,899369,726634,687,0,167045,196,4809
4354,r004,All institutions -> U. Michigan,All institutions,U. Michigan,2,787253,745826,7490,0,27470,2925,3542
4354,r005,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,717662,675389,0,0,39507,2766,0
4354,r006,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,708741,679558,9285,0,18866,600,432
4354,r007,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,687043,653357,132,0,27419,929,5206
4354,r008,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,657773,625480,811,0,30247,989,246
4354,r009,All institutions -> Duke U.,All institutions,Duke U.,2,643835,629089,1153,0,12838,600,155
4354,r010,All institutions -> Stanford U.,All institutions,Stanford U.,2,633211,612541,1,0,18500,2166,3
4354,r011,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,630138,620144,333,0,6530,0,3133
4354,r012,All institutions -> U. Pittsburgh,All institutions,U. Pittsburgh,2,617452,581756,1019,0,31127,287,3263
4354,r013,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,586018,535560,16495,0,31239,0,2724
4354,r014,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,572994,555095,9,0,17691,199,0
4354,r015,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,564535,535085,7972,0,17211,4105,164
4354,r016,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,550289,511533,3440,0,34911,0,406
4354,r017,All institutions -> Pennsylvania State U.,All institutions,Pennsylvania State U.,2,548041,519996,159,0,13502,3460,10925
4354,r018,All institutions -> Yale U.,All institutions,Yale U.,2,547736,530722,0,0,16371,596,47
4354,r019,All institutions -> Harvard U.,All institutions,Harvard U.,2,506539,486225,900,0,18799,612,3
4354,r020,"All institutions -> Northwestern U., Evanston",All institutions,"Northwestern U., Evanston",2,494348,470832,608,0,14739,2446,5724
4354,r021,All institutions -> U. Minnesota,All institutions,U. Minnesota,2,467132,426879,2764,0,25019,0,12471
4354,r022,All institutions -> All other institutions,All institutions,All other institutions,2,24372454,22147669,537393,6103,1203414,71979,405896
