table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_outside_united_states,field_argentina,field_brazil,field_chile,field_mexico,field_other_latin_american_locations,field_australia,field_china,field_hong_kong,field_india,field_indonesia,field_japan,field_malaysia_,field_new_zealand,field_singapore,field_south_korea,field_taiwan,field_thailand,field_other_asian_or_pacific_locations,field_israel,field_other_middle_eastern_locations,field_south_africa,field_other_african_locations,field_undistributed
6593,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['104,464', '']","['402', '']","['1,493', '']","['117', '']","['1,022', '']","['2,373', 'i']","['2,032', '']","['8,195', '']","['396', '']","['9,846', '']","['24', '']","['4,090', '']","['838', '']","['274', '']","['2,376', '']","['1,451', '']","['1,775', '']","['380', '']","['780', '']","['5,974', '']","['369', 'i']","['229', 'i']","['143', '']","['3,720', 'i']"
6593,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['64,351', '']","['172', '']","['1,101', '']","['51', '']","['841', '']","['1,449', 'i']","['1,113', '']","['5,923', '']","['263', '']","['4,483', '']","['16', '']","['2,722', '']","['811', '']","['201', '']","['1,563', '']","['1,097', '']","['972', '']","['281', '']","['612', '']","['3,894', '']","['226', '']","['73', '']","['114', '']","['2,318', 'i']"
6593,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['835', '']","['3', '']","['58', 'i']","['*', '']","['23', '']","['11', '']","['39', '']","['105', 'i']","['2', '']","['16', '']","['2', '']","['5', '']","['2', '']","['3', '']","['22', '']","['2', '']","['*', '']","['8', '']","['5', '']","['0 - 32', '']","['0 - 17', '']","['3', '']","['3', '']","['82 - 168', 'i']"
6593,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['674', '']","['1', '']","['7', '']","['1', '']","['21', '']","['24', '']","['5', '']","['45', '']","['0', '']","['8', '']","['1', '']","['28', '']","['0', '']","['0', '']","['28', '']","['0', '']","['0', '']","['0 - 17', '']","['0 - 9', '']","['0', '']","['16', '']","['2', '']","['0', '']","['0', '']"
6593,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['157', '']","['*', '']","['0 - 14', '']","['*', '']","['0 - 14', '']","['5', '']","['2', '']","['18', '']","['16', '']","['*', '']","['0', '']","['2', '']","['*', '']","['4', '']","['*', '']","['2', '']","['1', '']","['0', '']","['5', '']","['0', '']","['0', '']","['0', '']","['0', '']","['*', 'i']"
6593,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['7', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6593,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['101', '']","['0', '']","['7', '']","['0', '']","['*', '']","['1', '']","['0', '']","['3', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['*', '']","['12', '']","['0', '']","['0', '']","['*', '']","['0', '']","['*', '']","['0', '']","['0', '']","['*', 'i']"
6593,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['9', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['*', 'i']"
6593,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['171 - 176', '']","['*', '']","['0 - 20', '']","['0', '']","['0', '']","['0', '']","['0 - 25', '']","['17', '']","['0', '']","['1', '']","['0', '']","['1', '']","['*', '']","['0', '']","['2', '']","['0 - 10', '']","['0', '']","['0 - 17', '']","['0', '']","['0', '']","['0 - 17', '']","['0', '']","['0', '']","['*', 'i']"
6593,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['18,568', '']","['133', '']","['449', '']","['31', '']","['172', '']","['265', '']","['316', '']","['1,043', '']","['76', '']","['400', 'i']","['9', '']","['1,219', '']","['10', '']","['108', '']","['259', '']","['137', '']","['84', '']","['34', '']","['186', '']","['276', '']","['112', '']","['52', '']","['37', '']","['14', 'i']"
