table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total_outside_the_united_states,field_united_kingdom,field_india,field_germany,field_china,field_canada,field_israel,field_switzerland,field_ireland,field_japan,field_france
6638,r001,All industries,All industries,,,,1,"21–23, 31–33, 42–81","['104,464', '']","['11,797', '']","['9,846', '']","['8,879', '']","['8,195', '']","['6,862', '']","['5,974', '']","['4,536', '']","['4,207', '']","['4,090', '']","['3,313', '']"
6638,r002,All industries -> IT-related industries,All industries,IT-related industries,,,2,na,"['49,873', '&nbsp;']","['4,823', '&nbsp;']","['7,441', '&nbsp;']","['3,036', '&nbsp;']","['3,990', '&nbsp;']","['4,099', '&nbsp;']","['4,870', '&nbsp;']","['1,457', '&nbsp;']","['1,358', '&nbsp;']","['868', '&nbsp;']","['1,124', '&nbsp;']"
6638,r003,All industries -> IT-related industries -> Computer and electronic products,All industries,IT-related industries,Computer and electronic products,,3,334,"['25,452', 'i']","['1,422', '']","['3,216', '']","['2,078', '']","['2,470', '']","['1,764', '']","['3,061', '']","['331', '']","['507', '']","['798', '']","['461', 'i']"
6638,r004,All industries -> IT-related industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,IT-related industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['13,007', 'i']","['411', '']","['1,549', '']","['823', '']","['1,530', '']","['665', '']","['2,207', '']","['79', '']","['269', '']","['326', '']","['195', 'i']"
6638,r005,All industries -> IT-related industries -> Information,All industries,IT-related industries,Information,,3,51,"['19,051', '']","['2,984', '']","['3,231', '']","['636', '']","['1,173', '']","['1,877', '']","['1,346', '']","['1,032', '']","['851', '']","['237 - 349', '']","['549', '']"
6638,r006,All industries -> IT-related industries -> Information -> Software publishers,All industries,IT-related industries,Information,Software publishers,4,5112,"['6,949', '']","['671', '']","['1,446', '']","['235', '']","['690', '']","['1,015', '']","['468', '']","['72', '']","['0 - 332', '']","['84', '']","['225', '']"
6638,r007,"All industries -> IT-related industries -> Information -> Data processing, hosting, and related services",All industries,IT-related industries,Information,"Data processing, hosting, and related services",4,518,"['5,891', '']","['591', '']","['1,530', '']","['198', '']","['347', '']","['634', '']","['403', '']","['0 - 205', '']","['317', '']","['44', '']","['205', '']"
6638,r008,All industries -> IT-related industries -> Computer systems design and related services,All industries,IT-related industries,Computer systems design and related services,,3,5415,"['5,370', '']","['417', '']","['994', '']","['322', '']","['347', '']","['458', '']","['463', '']","['94', '']","['244 - 365', '']","['70', '']","['114', '']"
6638,r009,All industries -> Share of IT-related,All industries,Share of IT-related,,,2,na,"['48', '&nbsp;']","['41', '&nbsp;']","['76', '&nbsp;']","['34', '&nbsp;']","['49', '&nbsp;']","['60', '&nbsp;']","['82', '&nbsp;']","['32', '&nbsp;']","['32', '&nbsp;']","['21', '&nbsp;']","['34', '&nbsp;']"
