table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_active_reporting_unitsa_,field_reporting_units_that_met_the_response_criteriab_number,field_reporting_units_that_met_the_response_criteriab_percent,field_reporting_units_that_met_the_response_criteria_and_reported_domestic_r_d_paid_for_by_the_company_and_others_and_performed_by_the_company_of_1_million_or_more_number,field_reporting_units_that_met_the_response_criteria_and_reported_domestic_r_d_paid_for_by_the_company_and_others_and_performed_by_the_company_of_1_million_or_more_percent
9717,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81",44000,30500,69,7800,18
9717,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,18500,13000,70,4200,23
9717,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,1200,800,67,200,17
9717,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,400,300,75,40,10
9717,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,550,350,64,60,11
9717,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,650,450,69,30,5
9717,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,400,250,63,40,10
9717,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,900,600,67,20,2
9717,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,150,100,67,30,20
9717,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,2300,1700,74,1000,43
9717,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,300,200,67,100,33
9717,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,200,150,75,60,30
9717,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,150,100,67,30,20
9717,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,1100,850,77,700,64
9717,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,250,150,60,50,20
9717,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259",350,250,71,90,26
