table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2017,field_2018,field_2019,field_2020_all_geosciences_atmospheric_sciences_and_ocean_sciences,field_2020_atmospheric_science_and_meteorology,field_2020_geological_and_earth_sciences,field_2020_ocean_sciences_and_marine_sciences,field_2020_geosciences_atmospheric_sciences_and_ocean_sciences_nec
5422,r001,All institutions,All institutions,,1,-,"['2,042,291', '']","['2,048,266', '']","['2,067,199', '']","['2,109,065', '']","['471,158', '']","['696,991', '']","['713,086', '']","['227,830', '']"
5422,r002,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,1,"['107,931', '']","['88,060', '']","['120,294', '']","['128,962', '']","['18,765', '']","['14,448', '']","['95,749', '']","['0', '']"
5422,r003,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,2,"['126,077', '']","['132,846', '']","['119,659', '']","['116,177', '']","['31,353', '']","['11,984', '']","['1,783', '']","['71,057', '']"
5422,r004,All institutions -> Woods Hole Oceanographic Institution,All institutions,Woods Hole Oceanographic Institution,2,3,"['96,228', '']","['110,718', '']","['112,979', '']","['115,744', '']","['0', '']","['0', '']","['115,744', '']","['0', '']"
5422,r005,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,4,"['96,441', '']","['96,422', '']","['100,000', '']","['114,555', '']","['47,189', '']","['12,992', '']","['52,751', '']","['1,623', '']"
5422,r006,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,5,"['85,959', '']","['88,535', '']","['86,781', '']","['82,072', '']","['4,294', '']","['5,638', '']","['67,625', '']","['4,515', '']"
5422,r007,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,6,"['26,948', '']","['43,991', '']","['54,007', '']","['64,742', '']","['61,762', '']","['2,980', '']","['0', '']","['0', '']"
5422,r008,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,7,"['32,162', '']","['29,412', '']","['37,235', '']","['59,766', '']","['9,821', '']","['24,023', '']","['15,714', '']","['10,208', '']"
5422,r009,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,8,"['103,710', '']","['100,566', '']","['70,266', '']","['55,722', '']","['37,459', '']","['15,997', '']","['0', '']","['2,266', '']"
5422,r010,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,9,"['36,248', '']","['52,476', '']","['59,778', '']","['54,650', '']","['0', '']","['54,650', '']","['0', '']","['0', '']"
5422,r011,"All institutions -> U. Alaska, Fairbanks",All institutions,"U. Alaska, Fairbanks",2,10,"['51,687', '']","['50,997', '']","['50,566', '']","['54,408', '']","['3,768', '']","['28,241', '']","['18,397', '']","['4,002', '']"
5422,r012,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,11,"['70,875', '']","['65,302', '']","['61,544', '']","['54,388', '']","['6,728', '']","['18,266', '']","['29,394', '']","['0', '']"
5422,r013,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,12,"['na', '']","['na', '']","['46,763', '']","['51,008', '']","['27,759', '']","['21,932', '']","['1,108', '']","['209', '']"
5422,r014,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,13,"['60,762', '']","['55,156', '']","['58,526', '']","['47,728', '']","['2,713', '']","['10,979', '']","['32,445', '']","['1,591', '']"
5422,r015,All institutions -> U. New Hampshire,All institutions,U. New Hampshire,2,14,"['40,472', '']","['38,709', '']","['36,870', '']","['41,304', '']","['20,334', '']","['4,665', '']","['16,305', '']","['0', '']"
5422,r016,All institutions -> U. Miami,All institutions,U. Miami,2,15,"['39,797', '']","['36,182', '']","['36,297', '']","['39,430', '']","['29,601', '']","['0', '']","['9,265', '']","['564', '']"
