table_id,row_id,enrollment_status_field_and_degree_full_path,enrollment_status_field_and_degree_level_1,enrollment_status_field_and_degree_level_2,enrollment_status_field_and_degree_level_3,enrollment_status_field_and_degree_level_4,enrollment_status_field_and_degree_level_5,enrollment_status_field_and_degree_hierarchy_depth,field_total,field_u_s_citizens_and_permanent_residents_hispanic_or_latinoa,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race,field_temporary_visa_holders
3251,r001,All S&E graduate students,All S&E graduate students,,,,,1,595556,41833,1614,39288,28879,606,228182,12806,20839,221509
3251,r002,All S&E graduate students -> Full time    ,All S&E graduate students,Full time    ,,,,2,441584,28079,1062,26518,16785,386,154257,9081,12459,192957
3251,r003,All S&E graduate students -> Part time           ,All S&E graduate students,Part time           ,,,,2,153972,13754,552,12770,12094,220,73925,3725,8380,28552
3251,r004,All S&E graduate students -> Science,All S&E graduate students,Science,,,,2,432255,33894,1403,28425,24844,531,180735,10346,17099,134978
3251,r005,All S&E graduate students -> Science -> Full time    ,All S&E graduate students,Science,Full time    ,,,3,321063,23381,943,19522,14600,342,125903,7454,10433,118485
3251,r006,All S&E graduate students -> Science -> Part time           ,All S&E graduate students,Science,Part time           ,,,3,111192,10513,460,8903,10244,189,54832,2892,6666,16493
3251,r007,All S&E graduate students -> Science -> Agricultural sciences,All S&E graduate students,Science,Agricultural sciences,,,3,9538,601,34,241,354,14,5031,171,188,2904
3251,r008,All S&E graduate students -> Science -> Agricultural sciences -> Full time    ,All S&E graduate students,Science,Agricultural sciences,Full time    ,,4,6899,450,26,178,237,6,3197,111,115,2579
3251,r009,All S&E graduate students -> Science -> Agricultural sciences -> Part time           ,All S&E graduate students,Science,Agricultural sciences,Part time           ,,4,2639,151,8,63,117,8,1834,60,73,325
3251,r010,All S&E graduate students -> Science -> Biological and biomedical sciences,All S&E graduate students,Science,Biological and biomedical sciences,,,3,87933,7577,260,8108,4923,167,42825,2450,3678,17945
