table_id,row_id,field_of_highest_degree_and_employment_sector_full_path,field_of_highest_degree_and_employment_sector_level_1,field_of_highest_degree_and_employment_sector_level_2,field_of_highest_degree_and_employment_sector_level_3,field_of_highest_degree_and_employment_sector_level_4,field_of_highest_degree_and_employment_sector_hierarchy_depth,field_number,field_salary,field_primary_work_activity_computer_applications_number,field_primary_work_activity_computer_applications_salary,field_primary_work_activity_management_and_administrationa_number,field_primary_work_activity_management_and_administrationa_salary,field_primary_work_activity_research_and_developmentb_number,field_primary_work_activity_research_and_developmentb_salary,field_primary_work_activity_teaching_number,field_primary_work_activity_teaching_salary,field_primary_work_activity_otherc_number,field_primary_work_activity_otherc_salary
5588,r001,All fields,All fields,,,,1,6784000,95000,1894000,105000,1547000,100000,1548000,85000,275000,70000,1520000,88000
5588,r002,All fields -> Business or industry,All fields,Business or industry,,,2,5069000,100000,1692000,106000,1213000,104000,900000,100000,25000,65000,1239000,90000
5588,r003,All fields -> 4-year educational institution,All fields,4-year educational institution,,,2,796000,65000,83000,77000,63000,79000,402000,50000,194000,72000,54000,67000
5588,r004,All fields -> 2-year college or precollege educational institution,All fields,2-year college or precollege educational institution,,,2,155000,64000,16000,59000,16000,71000,23000,63000,49000,66000,51000,62000
5588,r005,All fields -> Government,All fields,Government,,,2,764000,89000,103000,93000,255000,98000,223000,80000,S,S,176000,82000
5588,r006,All fields -> S&E fields,All fields,S&E fields,,,2,5211000,96000,1500000,105000,1034000,105000,1291000,86000,207000,72000,1178000,88000
5588,r007,All fields -> S&E fields -> Business or industry,All fields,S&E fields,Business or industry,,3,3865000,102000,1347000,110000,801000,106000,746000,100000,13000,67000,958000,90000
5588,r008,All fields -> S&E fields -> 4-year educational institution,All fields,S&E fields,4-year educational institution,,3,664000,63000,68000,75000,37000,101000,364000,48000,152000,73000,42000,68000
5588,r009,All fields -> S&E fields -> 2-year college or precollege educational institution,All fields,S&E fields,2-year college or precollege educational institution,,3,110000,65000,9000,59000,9000,62000,13000,72000,36000,68000,43000,64000
5588,r010,All fields -> S&E fields -> Government,All fields,S&E fields,Government,,3,572000,92000,75000,98000,188000,100000,168000,85000,S,S,136000,87000
5588,r011,"All fields -> S&E fields -> Biological, agricultural, and environmental life sciences",All fields,S&E fields,"Biological, agricultural, and environmental life sciences",,3,620000,69000,32000,96000,108000,75000,325000,64000,41000,69000,114000,68000
5588,r012,"All fields -> S&E fields -> Biological, agricultural, and environmental life sciences -> Business or industry",All fields,S&E fields,"Biological, agricultural, and environmental life sciences",Business or industry,4,292000,80000,21000,99000,60000,79000,128000,81000,3000,,80000,66000
5588,r013,"All fields -> S&E fields -> Biological, agricultural, and environmental life sciences -> 4-year educational institution",All fields,S&E fields,"Biological, agricultural, and environmental life sciences",4-year educational institution,4,194000,52000,8000,65000,8000,82000,141000,48000,27000,64000,11000,70000
5588,r014,"All fields -> S&E fields -> Biological, agricultural, and environmental life sciences -> 2-year college or precollege educational institution",All fields,S&E fields,"Biological, agricultural, and environmental life sciences",2-year college or precollege educational institution,4,14000,71000,,,,,,,11000,71000,,
5588,r015,"All fields -> S&E fields -> Biological, agricultural, and environmental life sciences -> Government",All fields,S&E fields,"Biological, agricultural, and environmental life sciences",Government,4,120000,68000,2000,86000,40000,70000,55000,68000,,,22000,64000
5588,r016,All fields -> S&E fields -> Computer and mathematical sciences,All fields,S&E fields,Computer and mathematical sciences,,3,1561000,103000,877000,105000,233000,116000,193000,98000,49000,66000,208000,92000
5588,r017,All fields -> S&E fields -> Computer and mathematical sciences -> Business or industry,All fields,S&E fields,Computer and mathematical sciences,Business or industry,4,1311000,108000,788000,108000,200000,120000,147000,104000,S,S,174000,100000
