table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_isic_rev_4_section,field_isic_rev_4_division,field_united_states_2016_,field_france_2016_,field_germany_2016_,field_united_kingdom_2016_,field_china_2016_,field_japan_2016_,field_south_korea_2015_
1883,r001,PPP current $millions,PPP current $millions,,,,,1,,,,,,,,,
1883,r002,Total business enterprise,Total business enterprise,,,,,1,A–U,1–99,374685,40495,81739,31812,349685,129752,59644
1883,r003,Total business enterprise -> Manufacturing,Total business enterprise,Manufacturing,,,,2,C,10–33,250533,20242,69422,13166,304342,112766,53446
1883,r004,Total business enterprise -> Manufacturing -> Chemicals and chemical products,Total business enterprise,Manufacturing,Chemicals and chemical products,,,3,,20,8947,1242,5091,688,26623,8275,3136
1883,r005,"Total business enterprise -> Manufacturing -> Pharmaceuticals, medicinal chemical, and botanical products",Total business enterprise,Manufacturing,"Pharmaceuticals, medicinal chemical, and botanical products",,,3,,21,64628,1068,5878,548,14066,13168,1576
1883,r006,"Total business enterprise -> Manufacturing -> Computer, electronic, and optical products",Total business enterprise,Manufacturing,"Computer, electronic, and optical products",,,3,,26,77385,4836,9936,1560,57494,25599,29893
1883,r007,"Total business enterprise -> Manufacturing -> Motor vehicles, trailers, and semi-trailers",Total business enterprise,Manufacturing,"Motor vehicles, trailers, and semi-trailers",,,3,,29,22042,2904,28478,4220,30198,34042,7550
1883,r008,Total business enterprise -> Manufacturing -> Other transport equipment,Total business enterprise,Manufacturing,Other transport equipment,,,3,,30,29233,3937,2635,2595,13235,1087,1011
1883,r009,Total business enterprise -> Manufacturing -> Other transport equipment -> Air and spacecraft and related machinery,Total business enterprise,Manufacturing,Other transport equipment,Air and spacecraft and related machinery,,4,,303,26645,3590,2194,2369,NA,754,275
1883,r010,Total business enterprise -> Total services,Total business enterprise,Total services,,,,2,G–U,45–99,120230,18897,11779,18015,NA,15310,4802
1883,r011,Total business enterprise -> Total services -> Information and communication,Total business enterprise,Total services,Information and communication,,,3,J,58–63,86495,4926,4334,4573,NA,5706,2470
1883,r012,Total business enterprise -> Total services -> Information and communication -> Publishing activities,Total business enterprise,Total services,Information and communication,Publishing activities,,4,,58,33574,1407,NA,118,NA,18,1620
1883,r013,Total business enterprise -> Total services -> Information and communication -> Publishing activities -> Software publishing,Total business enterprise,Total services,Information and communication,Publishing activities,Software publishing,5,,582,33495,1383,NA,47,NA,NA,1589
1883,r014,"Total business enterprise -> Total services -> Information and communication -> Computer programming, consultancy, and related activities",Total business enterprise,Total services,Information and communication,"Computer programming, consultancy, and related activities",,4,,62,15747,2283,3669,2354,NA,2094,255
1883,r015,"Total business enterprise -> Total services -> Professional, scientific, and technical activities",Total business enterprise,Total services,"Professional, scientific, and technical activities",,,3,M,69–75,21848,10487,6524,10242,NA,8312,1391
1883,r016,"Total business enterprise -> Total services -> Professional, scientific, and technical activities -> Scientific R&D",Total business enterprise,Total services,"Professional, scientific, and technical activities",Scientific R&D,,4,,72,14842,4712,2940,7625,NA,7641,402
1883,r017,Percentage of total business enterprise,Percentage of total business enterprise,,,,,1,,,,,,,,,
1883,r018,Total business enterprise,Total business enterprise,,,,,1,A–U,1–99,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1883,r019,Total business enterprise -> Manufacturing,Total business enterprise,Manufacturing,,,,2,C,10–33,66.9,50.0,84.9,41.4,87.0,86.9,89.6
1883,r020,Total business enterprise -> Manufacturing -> Chemicals and chemical products,Total business enterprise,Manufacturing,Chemicals and chemical products,,,3,,20,2.4,3.1,6.2,2.2,7.6,6.4,5.3
1883,r021,"Total business enterprise -> Manufacturing -> Pharmaceuticals, medicinal chemical, and botanical products",Total business enterprise,Manufacturing,"Pharmaceuticals, medicinal chemical, and botanical products",,,3,,21,17.2,2.6,7.2,1.7,4.0,10.1,2.6
1883,r022,"Total business enterprise -> Manufacturing -> Computer, electronic, and optical products",Total business enterprise,Manufacturing,"Computer, electronic, and optical products",,,3,,26,20.7,11.9,12.2,4.9,16.4,19.7,50.1
1883,r023,"Total business enterprise -> Manufacturing -> Motor vehicles, trailers, and semi-trailers",Total business enterprise,Manufacturing,"Motor vehicles, trailers, and semi-trailers",,,3,,29,5.9,7.2,34.8,13.3,8.6,26.2,12.7
1883,r024,Total business enterprise -> Manufacturing -> Other transport equipment,Total business enterprise,Manufacturing,Other transport equipment,,,3,,30,7.8,9.7,3.2,8.2,3.8,0.8,1.7
1883,r025,Total business enterprise -> Manufacturing -> Other transport equipment -> Air and spacecraft and related machinery,Total business enterprise,Manufacturing,Other transport equipment,Air and spacecraft and related machinery,,4,,303,7.1,8.9,2.7,7.4,NA,0.6,0.5
1883,r026,Total business enterprise -> Total services,Total business enterprise,Total services,,,,2,G–U,45–99,32.1,46.7,14.4,56.6,NA,11.8,8.1
1883,r027,Total business enterprise -> Total services -> Information and communication,Total business enterprise,Total services,Information and communication,,,3,J,58-63,23.1,12.2,5.3,14.4,NA,4.4,4.1
1883,r028,Total business enterprise -> Total services -> Information and communication -> Publishing activities,Total business enterprise,Total services,Information and communication,Publishing activities,,4,,58,9.0,3.5,NA,0.4,NA,0.0,2.7
1883,r029,Total business enterprise -> Total services -> Information and communication -> Publishing activities -> Software publishing,Total business enterprise,Total services,Information and communication,Publishing activities,Software publishing,5,,582,8.9,3.4,NA,0.1,NA,NA,2.7
1883,r030,"Total business enterprise -> Total services -> Information and communication -> Computer programming, consultancy, and related activities",Total business enterprise,Total services,Information and communication,"Computer programming, consultancy, and related activities",,4,,62,4.2,5.6,4.5,7.4,NA,1.6,0.4
