table_id,row_id,directorate,_10_000_or_less,_10_001_30_000,_30_001_60_000,_60_001_or_more
12404,r001,Biological Sciences (BIO),28,26,19,27
12404,r002,Computer and Information Science and Engineering (CISE),31,30,17,22
12404,r003,STEM Education (EDU),12,19,20,49
12404,r004,Engineering (ENG),33,30,18,19
12404,r005,Geosciences (GEO),32,25,20,22
12404,r006,Mathematical and Physical Sciences (MPS),34,28,16,21
12404,r007,"Social, Behavioral and Economic Sciences (SBE)",14,21,18,47
