table_id,row_id,_b_r_d_field_b_full_path,_b_r_d_field_b_level_1,_b_r_d_field_b_level_2,_b_r_d_field_b_level_3,_b_r_d_field_b_hierarchy_depth,field_total_all_r_d_expenditures,field_total_imputed_amount,field_total_imputed_amount_as_of_total,field_federally_financed_all_r_d_expenditures,field_federally_financed_imputed_amount,field_federally_financed_imputed_amount_as_of_total
3212,r001,All R&D fields,All R&D fields,,,1,156858,8026,5.1,78377,3734,4.8
3212,r002,All R&D fields -> All science and engineering,All R&D fields,All science and engineering,,2,123177,9089,7.4,69199,4798,6.9
3212,r003,All R&D fields -> All science and engineering -> Computer and information sciences,All R&D fields,All science and engineering,Computer and information sciences,3,4724,225,4.8,3839,164,4.3
3212,r004,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",3,10061,290,2.9,6749,253,3.7
3212,r005,All R&D fields -> All science and engineering -> Life sciences,All R&D fields,All science and engineering,Life sciences,3,52908,5075,9.6,29309,3067,10.5
3212,r006,All R&D fields -> All science and engineering -> Mathematics and statistics,All R&D fields,All science and engineering,Mathematics and statistics,3,5121,195,3.8,2505,138,5.5
3212,r007,All R&D fields -> All science and engineering -> Physical sciences,All R&D fields,All science and engineering,Physical sciences,3,19748,926,4.7,12370,501,4.1
3212,r008,All R&D fields -> All science and engineering -> Psychology,All R&D fields,All science and engineering,Psychology,3,5203,323,6.2,2898,204,7.0
3212,r009,All R&D fields -> All science and engineering -> Social sciences,All R&D fields,All science and engineering,Social sciences,3,10420,776,7.4,4706,264,5.6
3212,r010,All R&D fields -> All science and engineering -> Sciences nec,All R&D fields,All science and engineering,Sciences nec,3,5000,67,1.3,1553,52,3.3
3212,r011,All R&D fields -> All science and engineering -> Engineering,All R&D fields,All science and engineering,Engineering,3,9992,1212,12.1,5270,155,2.9
3212,r012,All R&D fields -> All non-science and engineering,All R&D fields,All non-science and engineering,,2,33681,1880,5.6,9178,454,4.9
