table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_hierarchy_depth,field_2018_actual,field_2019_preliminarya,field_2020_proposed,field_2018_19_change_,field_2019_20_change_
1715,r001,R&D and R&D plant,R&D and R&D plant,,,,1,144,152,148,5.6,-2.6
1715,r002,R&D and R&D plant -> Department of Housing and Urban Development (451),R&D and R&D plant,Department of Housing and Urban Development (451),,,2,61,64,60,4.9,-6.3
1715,r003,R&D and R&D plant -> Department of the Interior (452),R&D and R&D plant,Department of the Interior (452),,,2,5,5,5,0.0,0.0
1715,r004,R&D and R&D plant -> Department of the Interior (452) -> Bureau of Indian Affairs and Bureau of Indian Education,R&D and R&D plant,Department of the Interior (452),Bureau of Indian Affairs and Bureau of Indian Education,,3,5,5,5,0.0,0.0
1715,r005,R&D and R&D plant -> Appalachian Regional Commission,R&D and R&D plant,Appalachian Regional Commission,,,2,78,83,83,6.4,0.0
1715,r006,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,2,144,152,148,5.6,-2.6
1715,r007,R&D and R&D plant -> R&D -> Department of Housing and Urban Development (451),R&D and R&D plant,R&D,Department of Housing and Urban Development (451),,3,61,64,60,4.9,-6.3
1715,r008,R&D and R&D plant -> R&D -> Department of the Interior (452),R&D and R&D plant,R&D,Department of the Interior (452),,3,5,5,5,0.0,0.0
1715,r009,R&D and R&D plant -> R&D -> Department of the Interior (452) -> Bureau of Indian Affairs and Bureau of Indian Education,R&D and R&D plant,R&D,Department of the Interior (452),Bureau of Indian Affairs and Bureau of Indian Education,4,5,5,5,0.0,0.0
1715,r010,R&D and R&D plant -> R&D -> Appalachian Regional Commission,R&D and R&D plant,R&D,Appalachian Regional Commission,,3,78,83,83,6.4,0.0
