table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_level_3,agency_hierarchy_depth,field_all_federal_obligations,field_computer_sciences_and_mathematics,field_environmental_sciences,field_life_sciences,field_physical_sciences,field_psychology,field_social_sciences,field_other_sciences_nec,field_engineering
1891,r001,$millions,$millions,,,1,,,,,,,,,
1891,r002,All agencies,All agencies,,,1,69871,3894,4470,34090,6581,2081,1027,4521,13207
1891,r003,All agencies -> Departments,All agencies,Departments,,2,,,,,,,,,
1891,r004,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,3,2216,8,19,1828,87,0,209,0,66
1891,r005,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,3,1302,157,437,84,243,0,53,59,269
1891,r006,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,3,7178,1188,216,566,700,98,36,1566,2808
1891,r007,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,3,174,0,0,0,0,0,12,162,0
1891,r008,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,3,9584,1119,336,387,2764,0,0,494,4484
1891,r009,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,3,33677,186,494,28108,106,1825,171,1116,1673
1891,r010,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,3,276,2,12,4,5,0,7,187,60
1891,r011,All agencies -> Departments -> Department of Housing and Urban Development,All agencies,Departments,Department of Housing and Urban Development,3,41,0,0,0,0,0,38,2,1
1891,r012,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,3,722,2,335,237,104,0,24,1,19
1891,r013,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,3,87,1,0,1,1,4,79,0,1
1891,r014,All agencies -> Departments -> Department of Labor,All agencies,Departments,Department of Labor,3,5,0,0,0,0,0,5,0,0
1891,r015,All agencies -> Departments -> Department of State,All agencies,Departments,Department of State,3,2,0,0,0,0,0,2,0,0
1891,r016,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,3,696,38,37,9,5,22,18,72,495
1891,r017,All agencies -> Departments -> Department of the Treasury,All agencies,Departments,Department of the Treasury,3,1,0,0,0,0,0,0,0,1
1891,r018,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,3,669,0,0,561,0,77,0,0,31
1891,r019,All agencies -> Other agencies,All agencies,Other agencies,,2,,,,,,,,,
1891,r020,All agencies -> Other agencies -> Administrative Office of the U.S. Courts,All agencies,Other agencies,Administrative Office of the U.S. Courts,3,8,8,0,0,0,0,0,0,0
1891,r021,All agencies -> Other agencies -> Agency for International Development,All agencies,Other agencies,Agency for International Development,3,192,0,1,172,0,0,19,0,0
1891,r022,All agencies -> Other agencies -> Appalachian Regional Commission,All agencies,Other agencies,Appalachian Regional Commission,3,0,0,0,0,0,0,0,0,0
1891,r023,All agencies -> Other agencies -> Consumer Product Safety Commission,All agencies,Other agencies,Consumer Product Safety Commission,3,2,0,2,0,0,0,0,0,0
1891,r024,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,3,417,9,172,165,10,0,2,0,59
1891,r025,All agencies -> Other agencies -> Federal Communications Commission,All agencies,Other agencies,Federal Communications Commission,3,6,0,0,0,1,0,4,0,1
1891,r026,All agencies -> Other agencies -> Federal Trade Commission,All agencies,Other agencies,Federal Trade Commission,3,6,0,0,0,0,0,6,0,0
1891,r027,All agencies -> Other agencies -> Library of Congress,All agencies,Other agencies,Library of Congress,3,1,0,0,0,1,0,0,0,0
1891,r028,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,3,5745,98,1330,327,1574,21,1,292,2102
1891,r029,All agencies -> Other agencies -> National Archives and Records Administration,All agencies,Other agencies,National Archives and Records Administration,3,1,1,0,0,0,0,0,0,0
1891,r030,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,3,5518,1078,1072,664,922,33,186,568,995
1891,r031,All agencies -> Other agencies -> Nuclear Regulatory Commission,All agencies,Other agencies,Nuclear Regulatory Commission,3,67,0,0,0,0,0,0,1,66
1891,r032,All agencies -> Other agencies -> Patient-Centered Outcomes Research Trust Fund,All agencies,Other agencies,Patient-Centered Outcomes Research Trust Fund,3,884,0,0,884,0,0,0,0,0
1891,r033,All agencies -> Other agencies -> Smithsonian Institution,All agencies,Other agencies,Smithsonian Institution,3,208,0,9,93,60,1,45,0,0
1891,r034,All agencies -> Other agencies -> Social Security Administration,All agencies,Other agencies,Social Security Administration,3,110,0,0,0,0,0,110,0,0
1891,r035,All agencies -> Other agencies -> Tennessee Valley Authority,All agencies,Other agencies,Tennessee Valley Authority,3,3,0,0,0,0,0,0,0,3
1891,r036,All agencies -> Other agencies -> U.S. Postal Service,All agencies,Other agencies,U.S. Postal Service,3,73,0,0,0,0,0,0,0,73
1891,r037,Share by field (%),Share by field (%),,,1,,,,,,,,,
1891,r038,All agencies,All agencies,,,1,100.0,5.6,6.4,48.8,9.4,3.0,1.5,6.5,18.9
1891,r039,All agencies -> Departments,All agencies,Departments,,2,,,,,,,,,
1891,r040,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,3,100.0,0.4,0.9,82.5,3.9,0.0,9.4,0.0,3.0
1891,r041,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,3,100.0,12.1,33.5,6.5,18.7,0.0,4.1,4.5,20.7
1891,r042,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,3,100.0,16.5,3.0,7.9,9.8,1.4,0.5,21.8,39.1
1891,r043,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,3,100.0,0.0,0.0,0.0,0.0,0.0,6.9,93.1,0.0
1891,r044,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,3,100.0,11.7,3.5,4.0,28.8,0.0,0.0,5.2,46.8
1891,r045,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,3,100.0,0.6,1.5,83.5,0.3,5.4,0.5,3.3,5.0
1891,r046,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,3,100.0,0.7,4.2,1.4,1.8,0.1,2.6,67.7,21.6
