table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_level_3,region_country_or_economy_level_4,region_country_or_economy_level_5,region_country_or_economy_hierarchy_depth,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
1993,r051,Imports -> World -> Asia,Imports,World,Asia,,,3,422880,508419,516500,591383,704776,714629,643112,814410,868976,927212,995492,1011852,1005709,1098062,1163852,1315090
1993,r052,Imports -> World -> Asia -> China,Imports,World,Asia,China,,4,142895,179774,211327,251633,283527,285752,264865,344171,374239,409051,459702,468164,465812,551167,538405,626889
1993,r053,Imports -> World -> Asia -> India,Imports,World,Asia,India,,4,7645,9720,13244,19582,20592,27492,26505,27551,30868,31012,32722,34163,39381,38851,50685,63457
1993,r054,Imports -> World -> Asia -> Indonesia,Imports,World,Asia,Indonesia,,4,1507,2402,2903,3458,5682,14197,12301,15632,17236,18752,15678,14041,12857,12995,14971,17084
1993,r055,Imports -> World -> Asia -> Japan,Imports,World,Asia,Japan,,4,66243,76890,81543,83957,86547,91015,82662,106352,114711,124627,121991,121982,112973,113659,118237,125451
1993,r056,Imports -> World -> Asia -> Malaysia,Imports,World,Asia,Malaysia,,4,35839,41693,43817,48519,50807,37382,39209,50898,51599,49971,52261,53555,45629,44818,52685,59038
1993,r057,Imports -> World -> Asia -> Philippines,Imports,World,Asia,Philippines,,4,20908,22283,22978,24496,25902,21560,16179,19875,9811,18437,18946,17759,21967,23931,26545,31296
1993,r058,Imports -> World -> Asia -> Singapore,Imports,World,Asia,Singapore,,4,56563,71725,26798,33618,95378,98417,77870,96737,97702,99213,102504,100088,95143,93103,103580,115222
1993,r059,Imports -> World -> Asia -> South Korea,Imports,World,Asia,South Korea,,4,34399,38462,41442,46078,52081,54015,45937,55620,60750,56759,59712,66884,71842,72820,79872,86830
1993,r060,Imports -> World -> Asia -> Taiwan,Imports,World,Asia,Taiwan,,4,34569,39329,41351,44341,43725,42935,38163,49883,53401,50291,52738,55529,53583,57771,68632,75885
1993,r061,Imports -> World -> Asia -> Thailand,Imports,World,Asia,Thailand,,4,16357,18506,21281,23027,24443,24700,22883,27707,30634,33665,35046,33912,33437,32442,37547,39275
1993,r062,Imports -> World -> Asia -> Vietnam,Imports,World,Asia,Vietnam,,4,2463,3067,3124,3837,6075,7036,8035,9359,13355,21441,29070,30407,38172,41759,54562,56093
1993,r063,Imports -> World -> Asia -> Other Asia,Imports,World,Asia,Other Asia,,4,3492,4569,6693,8838,10018,10127,8502,10625,14671,13993,15121,15367,14911,14745,18132,18571
1993,r064,Imports -> World -> Oceania,Imports,World,Oceania,,,3,20139,25011,27214,28669,32044,33881,29559,35278,40488,39321,36718,36768,34758,35146,38545,41278
1993,r065,Imports -> World -> Oceania -> Australia,Imports,World,Oceania,Australia,,4,17410,21549,23131,24512,27868,29660,25532,31244,35495,34714,31943,31165,29520,30289,33671,36052
1993,r066,Imports -> World -> Oceania -> New Zealand,Imports,World,Oceania,New Zealand,,4,2730,3462,4082,4157,4176,4221,4027,4034,4994,4607,4776,5603,5238,4858,4874,5226
