table_id,row_id,size_of_company_number_of_domestic_employees_full_path,size_of_company_number_of_domestic_employees_level_1,size_of_company_number_of_domestic_employees_level_2,size_of_company_number_of_domestic_employees_level_3,size_of_company_number_of_domestic_employees_hierarchy_depth,field_millions_of_dollars_2010,field_millions_of_dollars_2012,field_millions_of_dollars_2014,field_millions_of_dollars_2015,field_millions_of_dollars_2016,field_millions_of_dollars_2017,field_percentage_of_all_business_r_d_2010,field_percentage_of_all_business_r_d_2012,field_percentage_of_all_business_r_d_2014,field_percentage_of_all_business_r_d_2015,field_percentage_of_all_business_r_d_2016,field_percentage_of_all_business_r_d_2017
1882,r001,All business domestic R&D<sup>a</sup>,All business domestic R&D<sup>a</sup>,,,1,278977,"['302,250', '&#160;']","['340,728', '&#160;']","['355,821', '&#160;']","['374,685', '&nbsp;']","['400,100', '&nbsp;']",100.0,100.0,100.0,100.0,100.0,100.0
1882,r002,All business domestic R&D<sup>a</sup> -> Micro companies<sup>b</sup>,All business domestic R&D<sup>a</sup>,Micro companies<sup>b</sup>,,2,,"['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']",,,,,,
1882,r003,All business domestic R&D<sup>a</sup> -> Micro companies<sup>b</sup> -> 5&#8211;9,All business domestic R&D<sup>a</sup>,Micro companies<sup>b</sup>,5&#8211;9,3,3851,"['2,926', 'i']","['3,295', 'i']","['2,988', 'i']","['1,581', 'i']","['NA', '&nbsp;']",1.4,1.0,1.0,0.8,0.4,NA
1882,r004,All business domestic R&D<sup>a</sup> -> Small companies,All business domestic R&D<sup>a</sup>,Small companies,,2,,"['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']",,,,,,
1882,r005,All business domestic R&D<sup>a</sup> -> Small companies -> 10&#8211;24<sup>c</sup>,All business domestic R&D<sup>a</sup>,Small companies,10&#8211;24<sup>c</sup>,3,8722,"['6,915', 'i']","['7,177', 'i']","['NA', '&#160;']","['NA', '&nbsp;']","['NA', '&nbsp;']",3.1,2.3,2.1,NA,NA,NA
1882,r006,All business domestic R&D<sup>a</sup> -> Small companies -> 25&#8211;49,All business domestic R&D<sup>a</sup>,Small companies,25&#8211;49,3,8624,"['7,195', 'i']","['8,428', 'i']","['NA', '&#160;']","['NA', '&nbsp;']","['NA', '&nbsp;']",3.1,2.4,2.5,NA,NA,NA
1882,r007,All business domestic R&D<sup>a</sup> -> Small companies -> 10&#8211;19<sup>c</sup>,All business domestic R&D<sup>a</sup>,Small companies,10&#8211;19<sup>c</sup>,3,NA,"['NA', '&#160;']","['NA', '&#160;']","['5,680', 'i']","['4,958', 'i']","['3,311', '&nbsp;']",NA,NA,NA,1.6,1.3,0.8
1882,r008,All business domestic R&D<sup>a</sup> -> Small companies -> 20&#8211;49<sup>c</sup>,All business domestic R&D<sup>a</sup>,Small companies,20&#8211;49<sup>c</sup>,3,NA,"['NA', '&#160;']","['NA', '&#160;']","['10,249', 'i']","['9,662', 'i']","['9,435', '&nbsp;']",NA,NA,NA,2.9,2.6,2.4
1882,r009,All business domestic R&D<sup>a</sup> -> Medium companies,All business domestic R&D<sup>a</sup>,Medium companies,,2,,"['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']",,,,,,
1882,r010,All business domestic R&D<sup>a</sup> -> Medium companies -> 50&#8211;99,All business domestic R&D<sup>a</sup>,Medium companies,50&#8211;99,3,8855,"['9,182', 'i']","['10,178', 'i']","['11,509', '&#160;']","['9,298', '&nbsp;']","['10,141', '&nbsp;']",3.2,3.0,3.0,3.2,2.5,2.5
1882,r011,All business domestic R&D<sup>a</sup> -> Medium companies -> 100&#8211;249,All business domestic R&D<sup>a</sup>,Medium companies,100&#8211;249,3,11866,"['12,480', '&#160;']","['13,492', '&#160;']","['13,602', '&#160;']","['14,875', '&nbsp;']","['17,216', '&nbsp;']",4.3,4.1,4.0,3.8,4.0,4.3
