table_id,row_id,activity,2015,2016a,2017b,2018,2019
3440,r001,Units at start of data collection,14845,15202,15853,18745,19592
3440,r002,Units added,774,1611,16274,5512,4493
3440,r003,Units deleted,417,960,13382,4665,3836
3440,r004,Units at end of data collection,15202,15853,18745,19592,20249
3440,r005,Net difference,357,651,2892,847,657
