table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
11219,r001,All institutions,All institutions,,1,-,27652453,27105723,28532827,29805220,32312581,35125136,36569461,39504025,41303924
11219,r002,All institutions -> Johns Hopkins U.,All institutions,Johns Hopkins U.,2,1,1402095,1340730,1805420,1658299,1753500,1856091,1915151,1817726,1753812
11219,r003,All institutions -> U. Washington,All institutions,U. Washington,2,2,658813,611946,590270,612729,665699,726634,728359,787213,873274
11219,r004,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,3,580763,536626,554478,586657,636413,679558,652353,792907,848318
11219,r005,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,4,546278,528494,547197,573522,616954,675389,644405,714877,836277
11219,r006,All institutions -> U. Michigan,All institutions,U. Michigan,2,5,860759,606141,626143,656721,703767,745826,755646,774551,827701
11219,r007,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,6,465500,476126,522581,534659,601764,653357,699887,761354,803388
11219,r008,All institutions -> Stanford U.,All institutions,Stanford U.,2,7,478346,504036,513877,550247,576305,612541,630591,696510,778508
11219,r009,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,8,385625,416667,438819,442173,517162,511533,538927,657760,754809
11219,r010,All institutions -> Duke U.,All institutions,Duke U.,2,9,440787,428530,467848,490343,543712,629089,639338,810504,745052
11219,r011,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,10,487210,481832,490824,492364,509919,555095,750550,686615,737785
11219,r012,All institutions -> U. Pittsburgh,All institutions,U. Pittsburgh,2,11,470597,450011,493568,503566,558248,581756,600173,679319,737138
11219,r013,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,12,542396,494607,512082,509277,540929,625480,593581,681663,723114
11219,r014,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,13,394310,391624,408896,447831,484554,535085,543546,639462,643672
11219,r015,"All institutions -> U. North Carolina, The, Chapel Hill",All institutions,"U. North Carolina, The, Chapel Hill",2,14,450660,416768,452366,430253,475557,535560,522284,541555,623747
11219,r016,All institutions -> Yale U.,All institutions,Yale U.,2,15,398770,370816,425576,431569,466892,530722,552583,596130,598880
11219,r017,All institutions -> U. Minnesota,All institutions,U. Minnesota,2,16,378921,359461,349789,355101,397595,426879,440036,473552,570913
11219,r018,All institutions -> Emory U.,All institutions,Emory U.,2,17,293672,324214,320631,340046,366466,397958,510378,486646,563391
11219,r019,"All institutions -> Northwestern U., Evanston",All institutions,"Northwestern U., Evanston",2,18,296873,337041,367407,357808,421515,470832,477974,508976,534700
11219,r020,"All institutions -> Cornell U., Ithaca",All institutions,"Cornell U., Ithaca",2,19,329576,296351,303589,369063,378105,423722,427158,497611,532256
11219,r021,All institutions -> Vanderbilt U.,All institutions,Vanderbilt U.,2,20,336787,329324,379809,368557,405411,422500,518360,507806,532130
11219,r022,All institutions -> New York U.,All institutions,New York U.,2,21,287717,263766,272971,328463,356173,430178,436813,893817,509567
11219,r023,All institutions -> Pennsylvania State U.,All institutions,Pennsylvania State U.,2,22,384725,362917,362055,428910,459042,519996,462734,508209,469628
11219,r024,All institutions -> Icahn School of Medicine at Mount Sinai,All institutions,Icahn School of Medicine at Mount Sinai,2,23,239510,262365,277187,303700,331149,395678,416304,436107,462027
11219,r025,All institutions -> U. Southern California,All institutions,U. Southern California,2,24,285563,289173,325150,405815,411099,408662,416928,484727,458530
11219,r026,All institutions -> Harvard U.,All institutions,Harvard U.,2,25,460630,425493,448052,447531,463810,486225,439767,484719,439764
11219,r027,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,26,333968,350511,340593,319450,332248,320648,289862,443392,439656
11219,r028,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,27,397471,386613,411833,453756,451402,435608,448223,429065,430747
11219,r029,All institutions -> Baylor C. Medicine,All institutions,Baylor C. Medicine,2,28,226548,227525,234126,254509,266012,302908,349633,394891,401169
11219,r030,"All institutions -> Ohio State U., The",All institutions,"Ohio State U., The",2,29,229590,232525,246198,261784,272198,311614,317978,353315,399476
11219,r031,All institutions -> U. Florida,All institutions,U. Florida,2,30,203233,238976,227828,254677,275400,314864,287640,319865,392174
11219,r032,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,31,307833,315418,278725,315327,331184,328476,341599,385616,379098
11219,r033,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,32,249048,295180,156854,465721,485259,620144,683896,345516,367555
11219,r034,All institutions -> Boston U.,All institutions,Boston U.,2,33,205212,188238,223233,205854,229865,292711,261021,316001,366643
11219,r035,"All institutions -> U. Utah, The",All institutions,"U. Utah, The",2,34,214777,201418,211119,211853,261334,375994,314906,301093,347683
11219,r036,"All institutions -> U. Alabama, The, Birmingham",All institutions,"U. Alabama, The, Birmingham",2,35,238847,254213,247440,249235,306667,348770,336080,336501,344047
11219,r037,All institutions -> U. Arizona,All institutions,U. Arizona,2,36,206746,168890,185962,202668,214445,252782,269346,236890,340488
11219,r038,All institutions -> Case Western Reserve U.,All institutions,Case Western Reserve U.,2,37,257772,273299,290270,287373,299102,308892,310444,205896,338477
11219,r039,"All institutions -> U. Chicago, The",All institutions,"U. Chicago, The",2,38,212001,224188,209139,214453,235039,274077,304750,317243,328234
11219,r040,All institutions -> U. Iowa,All institutions,U. Iowa,2,39,178885,166585,169765,171213,186554,199487,245961,210223,315446
11219,r041,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,40,159252,167846,171263,192228,205607,217585,255737,274656,312207
11219,r042,"All institutions -> U. Texas, The, Austin",All institutions,"U. Texas, The, Austin",2,41,186309,203402,279005,299154,284126,301581,350429,330082,309332
11219,r043,"All institutions -> Rutgers, The State U. New Jersey",All institutions,"Rutgers, The State U. New Jersey",2,42,236767,201749,231293,210943,231992,258720,260753,300545,301830
11219,r044,"All institutions -> Texas A&M U., College Station",All institutions,"Texas A&M U., College Station",2,43,111966,168088,172732,187550,220551,238488,225213,299165,300614
11219,r045,"All institutions -> U. Maryland, College Park",All institutions,"U. Maryland, College Park",2,44,215838,206311,210644,214138,230320,232794,239287,310753,297371
11219,r046,All institutions -> Oregon Health and Science U.,All institutions,Oregon Health and Science U.,2,45,212632,198947,187199,219294,243450,280933,297263,286096,289793
11219,r047,"All institutions -> Scripps Research Institute, The",All institutions,"Scripps Research Institute, The",2,46,220462,190378,239450,184841,230636,221914,205561,245127,275052
11219,r048,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,47,164159,157691,167846,165191,221670,224890,226513,242999,270806
11219,r049,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,48,280101,216463,242707,246468,232651,255206,261652,277801,269871
11219,r050,All institutions -> Association of Universities for Research in Astronomy,All institutions,Association of Universities for Research in Astronomy,2,49,151155,162697,177344,200698,259584,168324,224740,127634,262739
