table_id,row_id,institution_full_path,institution_level_1,institution_level_2,institution_level_3,institution_hierarchy_depth,field_rank,field_doctorate_recipients
1736,r001,All institutions (431 institutions),All institutions (431 institutions),,,1,-,17604
1736,r002,All institutions (431 institutions) -> From top 20 institutions,All institutions (431 institutions),From top 20 institutions,,2,-,5143
1736,r003,"All institutions (431 institutions) -> From top 20 institutions -> Purdue U., West Lafayette",All institutions (431 institutions),From top 20 institutions,"Purdue U., West Lafayette",3,1,386
1736,r004,"All institutions (431 institutions) -> From top 20 institutions -> Texas A&M U., College Station and Health Science Center",All institutions (431 institutions),From top 20 institutions,"Texas A&M U., College Station and Health Science Center",3,2,340
1736,r005,"All institutions (431 institutions) -> From top 20 institutions -> U. Illinois, Urbana-Champaign",All institutions (431 institutions),From top 20 institutions,"U. Illinois, Urbana-Champaign",3,3,336
1736,r006,All institutions (431 institutions) -> From top 20 institutions -> U. Florida,All institutions (431 institutions),From top 20 institutions,U. Florida,3,4,311
1736,r007,"All institutions (431 institutions) -> From top 20 institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions (431 institutions),From top 20 institutions,"Pennsylvania State U., University Park and Hershey Medical Center",3,5,293
1736,r008,"All institutions (431 institutions) -> From top 20 institutions -> U. Michigan, Ann Arbor",All institutions (431 institutions),From top 20 institutions,"U. Michigan, Ann Arbor",3,6,284
1736,r009,"All institutions (431 institutions) -> From top 20 institutions -> Ohio State U., Columbus",All institutions (431 institutions),From top 20 institutions,"Ohio State U., Columbus",3,7,282
1736,r010,All institutions (431 institutions) -> From top 20 institutions -> Massachusetts Institute of Technology,All institutions (431 institutions),From top 20 institutions,Massachusetts Institute of Technology,3,8,262
1736,r011,All institutions (431 institutions) -> From top 20 institutions -> Georgia Institute of Technology,All institutions (431 institutions),From top 20 institutions,Georgia Institute of Technology,3,9,245
1736,r012,"All institutions (431 institutions) -> From top 20 institutions -> U. Minnesota, Twin Cities",All institutions (431 institutions),From top 20 institutions,"U. Minnesota, Twin Cities",3,10,243
1736,r013,All institutions (431 institutions) -> From top 20 institutions -> U. Wisconsin-Madison,All institutions (431 institutions),From top 20 institutions,U. Wisconsin-Madison,3,11,240
1736,r014,All institutions (431 institutions) -> From top 20 institutions -> Columbia U. in the City of New York,All institutions (431 institutions),From top 20 institutions,Columbia U. in the City of New York,3,12,226
1736,r015,All institutions (431 institutions) -> From top 20 institutions -> Cornell U.,All institutions (431 institutions),From top 20 institutions,Cornell U.,3,13,225
1736,r016,"All institutions (431 institutions) -> From top 20 institutions -> U. California, Berkeley",All institutions (431 institutions),From top 20 institutions,"U. California, Berkeley",3,13,225
1736,r017,All institutions (431 institutions) -> From top 20 institutions -> Harvard U.,All institutions (431 institutions),From top 20 institutions,Harvard U.,3,15,224
1736,r018,"All institutions (431 institutions) -> From top 20 institutions -> U. Texas, Austin",All institutions (431 institutions),From top 20 institutions,"U. Texas, Austin",3,16,213
1736,r019,"All institutions (431 institutions) -> From top 20 institutions -> U. Maryland, College Park",All institutions (431 institutions),From top 20 institutions,"U. Maryland, College Park",3,17,208
1736,r020,All institutions (431 institutions) -> From top 20 institutions -> U. Southern California,All institutions (431 institutions),From top 20 institutions,U. Southern California,3,18,201
1736,r021,All institutions (431 institutions) -> From top 20 institutions -> North Carolina State U.,All institutions (431 institutions),From top 20 institutions,North Carolina State U.,3,19,200
1736,r022,"All institutions (431 institutions) -> From top 20 institutions -> U. California, Los Angeles",All institutions (431 institutions),From top 20 institutions,"U. California, Los Angeles",3,20,199
