table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_hierarchy_depth,field_total,field_atmospheric_sciences,field_geological_sciences,field_oceanography,field_other_environmental_sciences
6406,r001,All agencies surveyed,All agencies surveyed,,,,1,1175817.6,179396.3,176447.3,413641.0,406332.9
6406,r002,All agencies surveyed -> Departments,All agencies surveyed,Departments,,,2,,,,,
6406,r003,All agencies surveyed -> Departments -> Department of Agriculture,All agencies surveyed,Departments,Department of Agriculture,,3,5623.8,3884.0,7.8,0.0,1732.0
6406,r004,All agencies surveyed -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies surveyed,Departments,Department of Agriculture,Agricultural Research Service,4,344.5,336.7,7.8,0.0,0.0
6406,r005,All agencies surveyed -> Departments -> Department of Agriculture -> Forest Service,All agencies surveyed,Departments,Department of Agriculture,Forest Service,4,1732.0,0.0,0.0,0.0,1732.0
6406,r006,All agencies surveyed -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies surveyed,Departments,Department of Agriculture,National Institute of Food and Agriculture,4,3547.4,3547.4,0.0,0.0,0.0
6406,r007,All agencies surveyed -> Departments -> Department of Defense,All agencies surveyed,Departments,Department of Defense,,3,58553.1,3669.8,957.1,50420.9,3505.2
6406,r008,All agencies surveyed -> Departments -> Department of Defense -> Department of the Air Force,All agencies surveyed,Departments,Department of Defense,Department of the Air Force,4,1965.6,698.3,0.0,0.0,1267.3
6406,r009,All agencies surveyed -> Departments -> Department of Defense -> Department of the Army,All agencies surveyed,Departments,Department of Defense,Department of the Army,4,1959.0,0.0,759.8,0.0,1199.2
6406,r010,All agencies surveyed -> Departments -> Department of Defense -> Department of the Navy,All agencies surveyed,Departments,Department of Defense,Department of the Navy,4,48952.9,676.0,0.0,47260.7,1016.3
6406,r011,All agencies surveyed -> Departments -> Department of Defense -> Other defense agencies,All agencies surveyed,Departments,Department of Defense,Other defense agencies,4,5675.6,2295.6,197.3,3160.2,22.5
6406,r012,All agencies surveyed -> Departments -> Department of Energy,All agencies surveyed,Departments,Department of Energy,,3,46058.1,38062.6,7247.9,0.0,747.6
6406,r013,All agencies surveyed -> Departments -> Department of Energy -> Office of Science,All agencies surveyed,Departments,Department of Energy,Office of Science,4,46058.1,38062.6,7247.9,0.0,747.6
6406,r014,All agencies surveyed -> Departments -> Department of Health and Human Services,All agencies surveyed,Departments,Department of Health and Human Services,,3,122247.7,0.0,0.0,0.0,122247.7
6406,r015,All agencies surveyed -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies surveyed,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,4,17409.0,0.0,0.0,0.0,17409.0
6406,r016,All agencies surveyed -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies surveyed,Departments,Department of Health and Human Services,National Institutes of Health,4,104838.7,0.0,0.0,0.0,104838.7
6406,r017,All agencies surveyed -> Other agencies,All agencies surveyed,Other agencies,,,2,,,,,
6406,r018,All agencies surveyed -> Other agencies -> National Aeronautics and Space Administration,All agencies surveyed,Other agencies,National Aeronautics and Space Administration,,3,215376.3,0.0,0.0,0.0,215376.3
6406,r019,All agencies surveyed -> Other agencies -> National Science Foundation,All agencies surveyed,Other agencies,National Science Foundation,,3,727958.7,133779.9,168234.5,363220.1,62724.2
