table_id,row_id,question_full_path,question_level_1,question_level_2,question_hierarchy_depth,field_survey_item,field_aggregate_amount
2695,r001,Company and financial information (US$millions),Company and financial information (US$millions),,1,,"['', '']"
2695,r002,Company and financial information (US$millions) -> 1.12,Company and financial information (US$millions),1.12,2,Worldwide net sales and operating revenues,"['14,458,452', '&nbsp;']"
2695,r003,Company and financial information (US$millions) -> 1.13,Company and financial information (US$millions),1.13,2,Net sales and operating revenues from domestic operations,"['10,698,764', '&nbsp;']"
2695,r004,Company and financial information (US$millions) -> &nbsp;,Company and financial information (US$millions),&nbsp;,2,R&D paid for by the company and performed by the company and others,"['&nbsp;', '&nbsp;']"
2695,r005,Company and financial information (US$millions) -> 2.1,Company and financial information (US$millions),2.1,2,"Worldwide R&D paid for by the company (expense), total","['565,066', '&nbsp;']"
2695,r006,Company and financial information (US$millions) -> 2.3,Company and financial information (US$millions),2.3,2,"Worldwide R&D paid for by the company (expense), adjustments","['43,455', '&nbsp;']"
2695,r007,Company and financial information (US$millions) -> 2.4/2.7c,Company and financial information (US$millions),2.4/2.7c,2,Worldwide R&D paid for by the company and performed by the company and others,"['521,611', '&nbsp;']"
2695,r008,Company and financial information (US$millions) -> 2.7a,Company and financial information (US$millions),2.7a,2,Domestic R&D paid for by the company and performed by the company and others,"['420,474', '&nbsp;']"
2695,r009,Company and financial information (US$millions) -> 2.7b,Company and financial information (US$millions),2.7b,2,Foreign R&D paid for by the company and performed by the company and others,"['101,137', '&nbsp;']"
2695,r010,Company and financial information (US$millions) -> 2.5,Company and financial information (US$millions),2.5,2,Indirect R&D charges to be recouped from the U.S. federal government (IR&D or independent R&D)a,"['6,941', '&nbsp;']"
2695,r011,Company and financial information (US$millions) -> 2.8m(1),Company and financial information (US$millions),2.8m(1),2,Domestic R&D paid for by the company and performed by the company and others,"['420,474', '&nbsp;']"
2695,r012,Company and financial information (US$millions) -> 2.8a(1),Company and financial information (US$millions),2.8a(1),2,"Salaries, wages, and fringe benefits","['211,925', '&nbsp;']"
