table_id,row_id,occupation_and_labor_force_status_full_path,occupation_and_labor_force_status_level_1,occupation_and_labor_force_status_level_2,occupation_and_labor_force_status_level_3,occupation_and_labor_force_status_level_4,occupation_and_labor_force_status_hierarchy_depth,field_total,field_female,field_male,field_hispanic_or_latino,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race,field_without_disability,field_with_disability
5590,r001,All occupations,All occupations,,,,1,64234000,34460000,29774000,5839000,230000,6074000,4756000,156000,45780000,1399000,55038000,9196000
5590,r002,All occupations -> Full-time employment status,All occupations,Full-time employment status,,,2,41929000,20577000,21352000,3942000,163000,4249000,3345000,113000,29143000,974000,37280000,4649000
5590,r003,All occupations -> Part-time employment status,All occupations,Part-time employment status,,,2,8595000,5764000,2832000,861000,20000,813000,549000,S,6126000,210000,7437000,1158000
5590,r004,All occupations -> Preference for full-time status,All occupations,Preference for full-time status,,,2,,,,,,,,,,,,
5590,r005,All occupations -> Preference for full-time status -> Did not want full-time employment,All occupations,Preference for full-time status,Did not want full-time employment,,3,6661000,4538000,2124000,461000,18000,497000,353000,S,5150000,168000,5756000,905000
5590,r006,All occupations -> Preference for full-time status -> Wanted full-time employment,All occupations,Preference for full-time status,Wanted full-time employment,,3,1934000,1226000,708000,400000,S,316000,197000,2000,976000,42000,1681000,253000
5590,r007,All occupations -> Reason for part-time status,All occupations,Reason for part-time status,,,2,,,,,,,,,,,,
5590,r008,All occupations -> Reason for part-time status -> Reason worked part time: did not need or want to work more hours,All occupations,Reason for part-time status,Reason worked part time: did not need or want to work more hours,,3,4261000,2927000,1335000,209000,S,257000,170000,S,3493000,105000,3736000,525000
5590,r009,All occupations -> Reason for part-time status -> Reason worked part time: family responsibilities,All occupations,Reason for part-time status,Reason worked part time: family responsibilities,,3,3257000,2664000,593000,322000,S,308000,147000,S,2395000,60000,2905000,352000
5590,r010,All occupations -> Reason for part-time status -> Reason worked part time: full-time job not available,All occupations,Reason for part-time status,Reason worked part time: full-time job not available,,3,2114000,1418000,696000,308000,3000,214000,131000,S,1348000,98000,1756000,358000
5590,r011,All occupations -> Reason for part-time status -> Reason worked part time: held another job,All occupations,Reason for part-time status,Reason worked part time: held another job,,3,1167000,773000,393000,97000,S,69000,68000,,853000,77000,998000,169000
5590,r012,All occupations -> Reason for part-time status -> Reason worked part time: previously retired or semi-retired,All occupations,Reason for part-time status,Reason worked part time: previously retired or semi-retired,,3,1994000,998000,996000,113000,S,80000,115000,,1656000,25000,1637000,357000
5590,r013,All occupations -> Reason for part-time status -> Reason worked part time: student,All occupations,Reason for part-time status,Reason worked part time: student,,3,858000,567000,291000,133000,2000,176000,84000,S,429000,32000,777000,81000
5590,r014,All occupations -> Reason for part-time status -> Reason worked part time: other,All occupations,Reason for part-time status,Reason worked part time: other,,3,990000,619000,371000,185000,S,144000,101000,S,545000,14000,804000,186000
5590,r015,"All occupations -> Not working, not looking for work",All occupations,"Not working, not looking for work",,,2,12338000,7409000,4929000,796000,45000,870000,659000,26000,9779000,164000,9292000,3046000
5590,r016,"All occupations -> Not working, looking for work",All occupations,"Not working, looking for work",,,2,1372000,710000,662000,240000,S,142000,202000,,732000,51000,1029000,343000
5590,r017,All occupations -> Reason for not working,All occupations,Reason for not working,,,2,,,,,,,,,,,,
5590,r018,All occupations -> Reason for not working -> Reason for not working: illness or disability,All occupations,Reason for not working,Reason for not working: illness or disability,,3,1345000,754000,591000,148000,11000,77000,170000,,897000,38000,360000,985000
5590,r019,All occupations -> Reason for not working -> Reason for not working: did not need or want to work,All occupations,Reason for not working,Reason for not working: did not need or want to work,,3,2928000,2024000,903000,166000,10000,181000,125000,12000,2373000,60000,2379000,549000
5590,r020,All occupations -> Reason for not working -> Reason for not working: family responsibilities,All occupations,Reason for not working,Reason for not working: family responsibilities,,3,2471000,2100000,371000,262000,S,332000,137000,S,1659000,57000,2104000,367000
5590,r021,All occupations -> Reason for not working -> Reason for not working: layoff,All occupations,Reason for not working,Reason for not working: layoff,,3,604000,257000,347000,64000,,76000,82000,,369000,13000,472000,133000
5590,r022,All occupations -> Reason for not working -> Reason for not working: retired,All occupations,Reason for not working,Reason for not working: retired,,3,8610000,4455000,4155000,431000,19000,371000,481000,S,7202000,94000,6345000,2265000
5590,r023,All occupations -> Reason for not working -> Reason for not working: student,All occupations,Reason for not working,Reason for not working: student,,3,616000,352000,264000,87000,S,102000,64000,,325000,31000,552000,64000
5590,r024,All occupations -> Reason for not working -> Reason for not working: suitable job not available,All occupations,Reason for not working,Reason for not working: suitable job not available,,3,1090000,622000,468000,209000,S,144000,113000,,590000,32000,767000,323000
5590,r025,All occupations -> Reason for not working -> Reason for not working: other,All occupations,Reason for not working,Reason for not working: other,,3,685000,474000,210000,85000,,119000,59000,,411000,9000,522000,163000
5590,r026,All occupations -> S&E occupations,All occupations,S&E occupations,,,2,8978000,2726000,6252000,644000,25000,1780000,452000,21000,5878000,178000,7979000,999000
5590,r027,All occupations -> S&E occupations -> Full-time employment status,All occupations,S&E occupations,Full-time employment status,,3,6784000,1861000,4922000,511000,S,1391000,344000,16000,4353000,148000,6215000,568000
5590,r028,All occupations -> S&E occupations -> Part-time employment status,All occupations,S&E occupations,Part-time employment status,,3,683000,331000,351000,54000,,152000,35000,,431000,10000,580000,103000
5590,r029,All occupations -> S&E occupations -> Preference for full-time status,All occupations,S&E occupations,Preference for full-time status,,3,,,,,,,,,,,,
5590,r030,All occupations -> S&E occupations -> Preference for full-time status -> Did not want full-time employment,All occupations,S&E occupations,Preference for full-time status,Did not want full-time employment,4,487000,250000,237000,25000,,84000,22000,,347000,9000,409000,79000
5590,r031,All occupations -> S&E occupations -> Preference for full-time status -> Wanted full-time employment,All occupations,S&E occupations,Preference for full-time status,Wanted full-time employment,4,196000,81000,114000,29000,,68000,13000,,84000,S,171000,25000
5590,r032,All occupations -> S&E occupations -> Reason for part-time status,All occupations,S&E occupations,Reason for part-time status,,3,,,,,,,,,,,,
5590,r033,All occupations -> S&E occupations -> Reason for part-time status -> Reason worked part time: did not need or want to work more hours,All occupations,S&E occupations,Reason for part-time status,Reason worked part time: did not need or want to work more hours,4,287000,149000,139000,14000,,35000,10000,,223000,5000,240000,48000
5590,r034,All occupations -> S&E occupations -> Reason for part-time status -> Reason worked part time: family responsibilities,All occupations,S&E occupations,Reason for part-time status,Reason worked part time: family responsibilities,4,211000,133000,78000,15000,,39000,10000,,145000,2000,182000,29000
5590,r035,All occupations -> S&E occupations -> Reason for part-time status -> Reason worked part time: full-time job not available,All occupations,S&E occupations,Reason for part-time status,Reason worked part time: full-time job not available,4,148000,68000,80000,19000,,21000,7000,,98000,2000,124000,24000
5590,r036,All occupations -> S&E occupations -> Reason for part-time status -> Reason worked part time: held another job,All occupations,S&E occupations,Reason for part-time status,Reason worked part time: held another job,4,79000,45000,33000,14000,,3000,2000,,55000,3000,69000,10000
5590,r037,All occupations -> S&E occupations -> Reason for part-time status -> Reason worked part time: previously retired or semi-retired,All occupations,S&E occupations,Reason for part-time status,Reason worked part time: previously retired or semi-retired,4,143000,33000,111000,4000,,6000,8000,,124000,S,106000,38000
5590,r038,All occupations -> S&E occupations -> Reason for part-time status -> Reason worked part time: student,All occupations,S&E occupations,Reason for part-time status,Reason worked part time: student,4,151000,77000,75000,14000,,49000,8000,,76000,4000,137000,14000
5590,r039,All occupations -> S&E occupations -> Reason for part-time status -> Reason worked part time: other,All occupations,S&E occupations,Reason for part-time status,Reason worked part time: other,4,103000,47000,55000,9000,,41000,8000,,43000,S,87000,16000
5590,r040,"All occupations -> S&E occupations -> Not working, not looking for work",All occupations,S&E occupations,"Not working, not looking for work",,3,1322000,472000,851000,59000,4000,194000,53000,S,990000,17000,1013000,310000
5590,r041,"All occupations -> S&E occupations -> Not working, looking for work",All occupations,S&E occupations,"Not working, looking for work",,3,190000,62000,128000,20000,,42000,20000,,104000,3000,171000,18000
5590,r042,All occupations -> S&E occupations -> Reason for not working,All occupations,S&E occupations,Reason for not working,,3,,,,,,,,,,,,
5590,r043,All occupations -> S&E occupations -> Reason for not working -> Reason for not working: illness or disability,All occupations,S&E occupations,Reason for not working,Reason for not working: illness or disability,4,115000,50000,65000,7000,,11000,12000,,82000,S,30000,85000
