table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_hierarchy_depth,field_2021,field_2022_preliminary_
10251,r001,All fields,All fields,,,1,86244258,88464235
10251,r002,All fields -> Computer and information sciences,All fields,Computer and information sciences,,2,5349660,5876825
10251,r003,"All fields -> Geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",,2,3569077,6051877
10251,r004,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,3,888365,NA
10251,r005,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,3,602193,NA
10251,r006,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,3,1095816,NA
10251,r007,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Other geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences","Other geosciences, atmospheric sciences, and ocean sciences",3,982703,NA
10251,r008,All fields -> Life sciences,All fields,Life sciences,,2,38177668,38511237
10251,r009,All fields -> Life sciences -> Agricultural sciences,All fields,Life sciences,Agricultural sciences,3,1073374,NA
10251,r010,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,3,18232787,NA
10251,r011,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,3,15007812,NA
10251,r012,All fields -> Life sciences -> Natural resources and conservation,All fields,Life sciences,Natural resources and conservation,3,227170,NA
10251,r013,All fields -> Life sciences -> Other life sciences,All fields,Life sciences,Other life sciences,3,3636525,NA
10251,r014,All fields -> Mathematics and statistics,All fields,Mathematics and statistics,,2,715493,732546
10251,r015,All fields -> Physical sciences,All fields,Physical sciences,,2,8044401,11112001
10251,r016,All fields -> Physical sciences -> Astronomy and astrophysics,All fields,Physical sciences,Astronomy and astrophysics,3,307541,NA
10251,r017,All fields -> Physical sciences -> Chemistry,All fields,Physical sciences,Chemistry,3,1140891,NA
10251,r018,All fields -> Physical sciences -> Materials science,All fields,Physical sciences,Materials science,3,552275,NA
10251,r019,All fields -> Physical sciences -> Physics,All fields,Physical sciences,Physics,3,3139200,NA
10251,r020,All fields -> Physical sciences -> Other physical sciences,All fields,Physical sciences,Other physical sciences,3,2904494,NA
10251,r021,All fields -> Psychology,All fields,Psychology,,2,3769968,3775941
10251,r022,All fields -> Psychology -> Biological aspects,All fields,Psychology,Biological aspects,3,13953,NA
10251,r023,All fields -> Psychology -> Social aspects,All fields,Psychology,Social aspects,3,50459,NA
10251,r024,All fields -> Psychology -> Other psychological sciences,All fields,Psychology,Other psychological sciences,3,3705556,NA
10251,r025,All fields -> Social sciences,All fields,Social sciences,,2,1369741,1449146
10251,r026,All fields -> Social sciences -> Anthropology,All fields,Social sciences,Anthropology,3,41957,NA
10251,r027,All fields -> Social sciences -> Economics,All fields,Social sciences,Economics,3,227999,NA
10251,r028,All fields -> Social sciences -> Political science and government,All fields,Social sciences,Political science and government,3,10541,NA
10251,r029,"All fields -> Social sciences -> Sociology, demography, and population studies",All fields,Social sciences,"Sociology, demography, and population studies",3,110796,NA
10251,r030,All fields -> Social sciences -> Other social sciences,All fields,Social sciences,Other social sciences,3,978447,NA
10251,r031,All fields -> Engineering,All fields,Engineering,,2,13374364,13860763
10251,r032,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,1717013,NA
10251,r033,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,3,39678,NA
10251,r034,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,733101,NA
10251,r035,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,648951,NA
10251,r036,"All fields -> Engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,"Electrical, electronics, and communications engineering",3,887145,NA
10251,r037,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,3,291018,NA
10251,r038,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,289150,NA
10251,r039,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,3,811117,NA
10251,r040,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,7957190,NA
10251,r041,All fields -> Other fields,All fields,Other fields,,2,11873886,7093900
10251,r042,All fields -> Other fields -> Business management and business administration,All fields,Other fields,Business management and business administration,3,119810,NA
10251,r043,All fields -> Other fields -> Communication and communications technologies,All fields,Other fields,Communication and communications technologies,3,12257,NA
10251,r044,All fields -> Other fields -> Education research,All fields,Other fields,Education research,3,987034,NA
10251,r045,All fields -> Other fields -> Humanities,All fields,Other fields,Humanities,3,67,NA
10251,r046,All fields -> Other fields -> Law,All fields,Other fields,Law,3,6940,NA
10251,r047,All fields -> Other fields -> Social work,All fields,Other fields,Social work,3,0,NA
10251,r048,All fields -> Other fields -> Visual and performing arts,All fields,Other fields,Visual and performing arts,3,0,NA
10251,r049,All fields -> Other fields -> All other fields,All fields,Other fields,All other fields,3,10747777,NA
